start_time	end_time	syllable
22.8867	23.063865	['W', 'IY1']
23.12292	23.300086	['K', 'UH1', 'D']
23.359141	23.595361	['B', 'R', 'IH1', 'NG']
23.654417	23.772527	['AH0']
23.890637	24.185913	['B', 'L', 'AE1', 'NG']
24.304023	24.599298	['K', 'AH0', 'T']
24.717409	25.071739	['F', 'AO1', 'R']
25.18985	25.367015	['DH', 'AH0']
25.485125	26.075676	['G', 'R', 'AE1', 'S']
26.607172	26.725283	['K', 'AH1']
26.902448	27.079613	['V', 'ER0']
27.138669	27.256779	['AH1', 'P']
27.315834	27.552054	['Y', 'AO1', 'R']
27.670165	27.96544	['AY1', 'Z']
28.08355	28.319771	['S', 'OW1']
28.437881	28.674102	['Y', 'UW1']
28.792212	29.028432	['D', 'OW1', 'N', 'T']
29.264653	29.855204	['S', 'IY1']
30.445755	30.62292	['IH1', 'F']
30.681976	30.800086	['Y', 'UW1']
30.859141	31.036306	['L', 'EH1', 'T']
31.095361	31.213472	['M', 'IY1']
31.331582	31.685913	['G', 'OW1']
31.804023	32.099298	['AY1', 'M']
32.217409	32.571739	['R', 'AH1']
32.630794	32.867015	['N', 'IH0', 'NG']
32.985125	33.516621	['F', 'AE1', 'S', 'T']
34.225283	34.579613	['W', 'AH1', 'N']
34.697724	34.992999	['T', 'UW1']
35.170165	35.524495	['TH', 'R', 'IY1']
35.642606	35.996936	['K', 'AW1', 'N', 'T']
36.055991	36.292212	['W', 'AH1', 'N']
36.351267	36.646543	['T', 'UW1']
36.823708	37.178039	['TH', 'R', 'IY1']
37.945755	38.12292	['W', 'IY1']
38.181976	38.359141	['K', 'UH1', 'D']
38.418196	38.654417	['W', 'AA1', 'CH']
38.713472	38.890637	['DH', 'AH0']
38.949692	39.304023	['B', 'L', 'AE1', 'K']
39.422133	39.776464	['B', 'ER1', 'D', 'Z']
39.894574	40.30796	['K', 'R', 'AO1', 'S']
40.42607	40.485125	['DH', 'AH0']
40.603235	41.311897	['S', 'K', 'AY1', 'Z']
41.725283	41.902448	['W', 'IY1']
41.961503	42.138669	['K', 'UH1', 'D']
42.197724	42.433944	['K', 'AW1', 'N', 'T']
42.492999	42.670165	['DH', 'AH0']
42.72922	43.08355	['L', 'IY1', 'V', 'Z']
43.201661	43.615046	['L', 'EH1', 'F', 'T']
43.733157	44.087487	['AA1', 'N']
44.146543	44.264653	['DH', 'AH0']
44.382763	45.091424	['T', 'R', 'IY1', 'Z']
45.563865	45.741031	['W', 'IY1']
45.800086	45.977251	['K', 'UH1', 'D']
46.036306	46.213472	['K', 'AW1', 'N', 'T']
46.272527	46.390637	['DH', 'AH0']
46.508747	46.744968	['T', 'EH1', 'R']
46.922133	47.335519	['D', 'R', 'AA1', 'P', 'S']
47.512684	47.748905	['IH0', 'N']
47.80796	48.162291	['AW1']
47.80796	48.162291	['ER0']
48.280401	48.752842	['AY1', 'Z']
49.343393	49.697724	['W', 'AH1', 'N']
49.815834	50.111109	['T', 'UW1']
50.288275	50.642606	['TH', 'R', 'IY1']
50.760716	51.115046	['Y', 'AE1']
51.174102	51.410322	['W', 'AH1', 'N']
51.469377	51.764653	['T', 'UW1']
51.941818	52.296149	['TH', 'R', 'IY1']
53.12292	53.536306	['W', 'AH1', 'N']
53.595361	53.949692	['T', 'UW1']
54.126857	54.481188	['TH', 'R', 'IY1']
54.540243	54.835519	['Y', 'AE1']
55.012684	55.248905	['W', 'AH1', 'N']
55.30796	55.54418	['T', 'UW1']
55.721346	56.370952	['TH', 'R', 'IY1']
56.843393	57.138669	['N', 'AW1']
57.197724	57.433944	['Y', 'UW1']
57.611109	58.378826	['N', 'OW1']
58.733157	59.205598	['N', 'AW1']
59.264653	59.441818	['Y', 'UW1']
59.559928	60.327645	['N', 'OW1']
60.681976	60.918196	['HH', 'AW1']
60.977251	61.154417	['AY1']
61.449692	62.158354	['F', 'IY1', 'L']
62.512684	62.80796	['AH0', 'N', 'D']
62.867015	63.280401	['AY1']
63.516621	64.343393	['W', 'OW1', 'N', 'T']
64.461503	65.111109	['B', 'AE1', 'K']
65.22922	65.878826	['D', 'AW1', 'N']
66.233157	66.528432	['P', 'R', 'IH1', 'K']
66.646543	66.882763	['Y', 'AO1', 'R']
67.059928	67.355204	['F', 'IH1', 'NG']
67.473314	67.709535	['G', 'ER0']
67.76859	67.945755	['AA1', 'N']
68.00481	68.063865	['AH0']
68.241031	68.477251	['S', 'P', 'IH1']
68.595361	68.831582	['N', 'IH0', 'NG']
69.008747	69.658354	['W', 'IY1', 'L']
70.071739	70.30796	['B', 'AH1', 'T']
70.42607	70.957566	['D', 'OW1', 'N', 'T']
71.134731	71.961503	['M', 'EY1', 'K']
72.079613	72.670165	['AH0']
72.906385	73.733157	['S', 'AW1', 'N', 'D']
73.910322	74.146543	['D', 'R', 'AA1', 'P']
74.205598	74.500873	['AH1', 'V']
74.618983	75.209535	['B', 'L', 'AH1', 'D']
75.327645	75.62292	['AH0', 'N', 'D']
75.741031	75.977251	['N', 'AW1']
76.095361	76.331582	['Y', 'UH1', 'R']
76.508747	76.863078	['T', 'EY1']
76.981188	77.335519	['K', 'AH0', 'N']
78.693787	79.284338	['F', 'AO1', 'R']
79.579613	80.111109	['AO1', 'L']
80.288275	80.937881	['T', 'AY1', 'M']
81.410322	81.705598	['W', 'IH1', 'DH']
81.764653	82.059928	['AH0']
82.178039	82.709535	['K', 'IH1', 'S']
82.945755	83.241031	['Y', 'UW1']
83.359141	83.595361	['W', 'IH1', 'L']
83.654417	83.831582	['AH0']
84.008747	84.422133	['W', 'EY1']
84.540243	84.953629	['K', 'AH0', 'N']
85.780401	86.016621	['AH0', 'N', 'D']
86.193787	87.020558	['Y', 'UW1', 'L']
87.197724	87.788275	['B', 'IY1']
88.08355	88.851267	['M', 'AY1', 'N']
89.973314	90.800086	['Y', 'UW1', 'L']
90.977251	91.567802	['B', 'IY1']
91.863078	92.92607	['M', 'AY1', 'N']
93.752842	94.579613	['Y', 'UW1', 'L']
94.756779	95.34733	['B', 'IY1']
95.642606	96.351267	['M', 'AY1', 'N']
102.256779	102.433944	['AY1']
102.492999	102.670165	['K', 'UH1', 'D']
102.72922	102.906385	['AO1', 'L']
102.96544	103.08355	['W', 'EY2', 'Z']
103.201661	103.555991	['S', 'T', 'EY1']
103.733157	104.028432	['AH0', 'N', 'D']
104.146543	104.618983	['W', 'ER1', 'K']
104.678039	104.855204	['IH1', 'T']
104.914259	105.563865	['AW1', 'T']
105.977251	106.213472	['W', 'AH1', 'N']
106.272527	106.449692	['D', 'ER0']
106.508747	106.685913	['IH0', 'NG']
106.744968	106.922133	['IH1', 'F']
107.040243	107.217409	['Y', 'UW1']
107.394574	107.80796	['S', 'T', 'IH1', 'L']
107.867015	108.280401	['W', 'AA1', 'N']
108.398511	108.516621	['T', 'AH0', 'D']
108.575676	109.225283	['M', 'IY1']
109.756779	109.933944	['B', 'AH1', 'T']
109.992999	110.170165	['DH', 'EH1', 'R']
110.22922	110.406385	['AA1', 'R']
110.524495	110.642606	['S', 'OW1']
110.701661	110.996936	['M', 'EH1']
111.174102	111.528432	['N', 'IY0']
111.646543	112.059928	['TH', 'IH1', 'NG', 'Z']
112.237094	112.296149	['T', 'UW1']
112.414259	113.12292	['D', 'AW1', 'T']
113.595361	113.949692	['W', 'AH1', 'N']
114.067802	114.363078	['T', 'UW1']
114.540243	114.894574	['TH', 'R', 'IY1']
115.012684	115.367015	['K', 'AW1', 'N', 'T']
115.42607	115.662291	['W', 'AH1', 'N']
115.721346	116.016621	['T', 'UW1']
116.193787	116.548117	['TH', 'R', 'IY1']
117.315834	117.492999	['TH', 'IH1', 'NG', 'K']
117.611109	117.72922	['DH', 'AE1', 'T']
117.788275	118.024495	['F', 'AO1', 'R']
118.142606	118.201661	['AH0']
118.260716	118.555991	['M', 'OW1']
118.674102	119.087487	['M', 'AH0', 'N', 'T']
119.205598	119.500873	['Y', 'UW1']
119.796149	119.855204	['W', 'ER0']
119.973314	120.681976	['M', 'AY1', 'N']
121.154417	121.331582	['AY1']
121.390637	121.508747	['N', 'OW1']
121.567802	121.744968	['DH', 'AE1', 'T']
121.804023	121.922133	['Y', 'UW1']
122.099298	122.394574	['S', 'AO1']
122.512684	122.867015	['W', 'AH1', 'T']
122.985125	123.339456	['W', 'IY1']
123.457566	123.693787	['K', 'UH1', 'D']
123.752842	124.402448	['B', 'IY1']
124.874889	125.34733	['B', 'AH1', 'T']
125.46544	125.58355	['DH', 'EH1', 'N']
125.642606	125.819771	['Y', 'UW1']
125.937881	126.233157	['W', 'EH1', 'N', 'T']
126.410322	126.587487	['AH0', 'N', 'D']
126.764653	127.296149	['CH', 'EY1', 'N', 'JH', 'D']
127.355204	127.473314	['Y', 'AO1', 'R']
127.532369	128.181976	['M', 'AY1', 'N', 'D']
128.713472	129.067802	['W', 'AH1', 'N']
129.185913	129.481188	['T', 'UW1']
129.658354	130.012684	['TH', 'R', 'IY1']
130.130794	130.485125	['Y', 'AE1']
130.54418	130.780401	['W', 'AH1', 'N']
130.839456	131.134731	['T', 'UW1']
131.311897	131.666228	['TH', 'R', 'IY1']
132.492999	132.906385	['W', 'AH1', 'N']
132.96544	133.319771	['T', 'UW1']
133.496936	133.851267	['TH', 'R', 'IY1']
133.910322	134.205598	['Y', 'AE1']
134.382763	134.618983	['W', 'AH1', 'N']
134.678039	134.914259	['T', 'UW1']
135.091424	135.741031	['TH', 'R', 'IY1']
136.213472	136.508747	['N', 'AW1']
136.567802	136.804023	['Y', 'UW1']
136.981188	137.630794	['N', 'OW1']
138.103235	138.575676	['N', 'AW1']
138.634731	138.811897	['Y', 'UW1']
138.870952	139.638669	['N', 'OW1']
139.992999	140.22922	['HH', 'AW1']
140.288275	140.46544	['AY1']
140.760716	141.469377	['F', 'IY1', 'L']
141.882763	142.118983	['AH0', 'N', 'D']
142.237094	142.591424	['AY1']
142.8867	143.654417	['W', 'OW1', 'N', 'T']
143.831582	144.422133	['B', 'AE1', 'K']
144.540243	145.18985	['D', 'AW1', 'N']
145.603235	145.898511	['P', 'R', 'IH1', 'K']
146.016621	146.252842	['Y', 'AO1', 'R']
146.430007	146.725283	['F', 'IH1', 'NG']
146.843393	147.079613	['G', 'ER0']
147.138669	147.315834	['AA1', 'N']
147.374889	147.433944	['AH0']
147.552054	147.788275	['S', 'P', 'IH1']
147.906385	148.142606	['N', 'IH0', 'NG']
148.319771	148.969377	['W', 'IY1', 'L']
149.382763	149.618983	['B', 'AH1', 'T']
149.737094	150.26859	['D', 'OW1', 'N', 'T']
150.3867	151.331582	['M', 'EY1', 'K']
151.390637	151.981188	['AH0']
152.335519	153.04418	['S', 'AW1', 'N', 'D']
153.280401	153.516621	['D', 'R', 'AA1', 'P']
153.575676	153.870952	['AH1', 'V']
153.989062	154.579613	['B', 'L', 'AH1', 'D']
154.697724	154.992999	['AH0', 'N', 'D']
155.111109	155.34733	['N', 'AW1']
155.406385	155.642606	['Y', 'UH1', 'R']
155.878826	156.233157	['T', 'EY1']
156.351267	156.764653	['K', 'AH0', 'N']
157.945755	158.595361	['F', 'AO1', 'R']
158.949692	159.481188	['AO1', 'L']
159.658354	160.30796	['T', 'AY1', 'M']
160.721346	160.957566	['W', 'IH1', 'DH']
161.075676	161.370952	['AH0']
161.489062	162.020558	['K', 'IH1', 'S']
162.256779	162.552054	['Y', 'UW1']
162.670165	162.906385	['W', 'IH1', 'L']
162.96544	163.142606	['AH0']
163.378826	163.792212	['W', 'EY1']
163.910322	164.441818	['K', 'AH0', 'N']
165.15048	165.3867	['AH0', 'N', 'D']
165.563865	166.390637	['Y', 'UW1', 'L']
166.567802	167.158354	['B', 'IY1']
167.453629	168.103235	['M', 'AY1', 'N']
169.343393	170.170165	['Y', 'UW1', 'L']
