start_time	end_time	syllable
14.109	14.904455	['UW1']
15.018091	15.188545	['DH', 'IH1', 'S']
15.188545	15.529455	['OW1', 'L', 'D']
15.586273	15.984	['HH', 'AA1', 'R', 'T']
16.040818	16.268091	['AH1', 'V']
16.268091	16.552182	['M', 'AY1', 'N']
16.722636	16.949909	['B', 'IH1', 'N']
16.949909	17.120364	['B', 'R', 'OW1', 'K']
17.120364	17.404455	['AH0']
17.404455	17.859	['TH', 'AW1']
17.859	18.086273	['Z', 'AH0', 'N', 'D']
18.086273	18.427182	['T', 'AY1', 'M', 'Z']
18.540818	18.768091	['IY1', 'CH']
18.768091	18.995364	['T', 'AY1', 'M']
18.995364	19.222636	['Y', 'UW1']
19.222636	19.449909	['B', 'R', 'EY1', 'K']
19.449909	19.620364	['AH0']
19.677182	20.188545	['W', 'EY1']
20.359	20.586273	['AY1']
20.586273	20.813545	['TH', 'IH1', 'NG', 'K']
20.813545	21.040818	['Y', 'UH1', 'R']
21.097636	21.495364	['G', 'AA1']
21.495364	21.722636	['N', 'AH0']
21.722636	22.177182	['S', 'T', 'EY1']
22.518091	22.688545	['L', 'OW1', 'N']
22.688545	22.915818	['L', 'IY0']
22.915818	23.199909	['N', 'AY1', 'T', 'S']
23.313545	23.540818	['DH', 'AE1', 'T']
23.540818	23.995364	['K', 'AH1', 'M']
24.336273	24.506727	['M', 'EH1']
24.506727	24.734	['M', 'ER0']
24.734	25.074909	['IY0', 'Z']
25.188545	25.472636	['DH', 'AE1', 'T']
25.472636	25.756727	['F', 'L', 'OW1']
25.927182	26.097636	['B', 'R', 'IH1', 'NG']
26.097636	26.381727	['IH0', 'NG']
26.381727	26.609	['Y', 'UW1']
26.609	26.779455	['B', 'AE1', 'K']
26.779455	26.949909	['AH0']
27.063545	27.518091	['G', 'EH1', 'N']
27.745364	27.972636	['HH', 'ER1']
27.972636	28.199909	['T', 'IH0', 'NG']
28.199909	28.370364	['M', 'IY1']
28.427182	28.938545	['M', 'AO1', 'R']
28.995364	29.336273	['AH0', 'N', 'D']
29.449909	30.359	['M', 'AO1', 'R']
30.927182	31.893091	['M', 'EY1']
31.381727	31.665818	['B', 'IY0']
31.893091	32.177182	['IH1', 'T', 'S']
32.290818	32.688545	['M', 'AY1']
32.745364	33.029455	['M', 'IH0']
33.029455	33.313545	['S', 'T', 'EY1', 'K']
33.427182	33.654455	['T', 'UW1']
33.654455	33.938545	['SH', 'OW1']
33.938545	34.222636	['DH', 'IH1', 'S']
34.336273	34.847636	['L', 'AH1', 'V']
34.847636	35.131727	['AY1']
35.245364	35.756727	['F', 'IY1', 'L']
35.813545	36.154455	['IH0', 'N']
36.154455	37.404455	['S', 'AY1', 'D']
37.972636	38.256727	['K', 'AA1', 'Z']
38.256727	38.540818	['IY1', 'CH']
38.654455	39.165818	['D', 'EY1']
39.336273	39.563545	['DH', 'AE1', 'T']
39.563545	39.961273	['P', 'AE1']
40.018091	40.302182	['S', 'AH0', 'Z']
40.302182	40.699909	['B', 'AY1']
41.154455	41.381727	['Y', 'UW1', 'V']
41.381727	41.609	['G', 'AA1', 'T']
41.609	41.836273	['M', 'IY1']
41.893091	42.063545	['N', 'EH1']
42.063545	42.290818	['V', 'ER0']
42.290818	42.518091	['N', 'OW1']
42.518091	42.688545	['IH0', 'NG']
42.745364	42.972636	['IH1', 'F']
42.972636	43.199909	['AY1', 'M']
43.199909	43.427182	['K', 'AH1']
43.427182	43.654455	['M', 'IH0', 'NG']
