start_time	end_time	syllable
15.001	15.556487	['AY1']
15.741649	16.065683	['K', 'AE1', 'N', 'T']
16.111974	16.436008	['T', 'EY1', 'K']
16.482299	16.760042	['Y', 'AO1', 'R']
16.852623	17.176657	['HH', 'AE1', 'N', 'D']
17.222948	17.593273	['AH0', 'N', 'D']
17.963597	18.519084	['L', 'EH1', 'D']
18.704247	19.028281	['Y', 'UW1']
19.074571	19.398605	['T', 'UW1']
19.444896	19.722639	['DH', 'AH0']
19.81522	20.092964	['W', 'AO1']
20.185545	20.463289	['T', 'ER0']
20.926194	21.481681	['AY1']
21.666844	21.990878	['K', 'AE1', 'N', 'T']
22.037168	22.361202	['M', 'EY1', 'K']
22.407493	22.592655	['Y', 'UW1']
22.777818	23.101852	['F', 'IY1', 'L']
23.148142	23.333305	['W', 'AH1', 'T']
23.518467	23.79621	['Y', 'UW1']
23.888792	24.166535	['D', 'OW1', 'N', 'T']
24.259116	24.53686	['F', 'IY1', 'L']
24.629441	24.722022	['B', 'AH1', 'T']
24.814603	24.907184	['Y', 'UW1']
24.999766	25.277509	['N', 'OW1']
25.37009	25.647834	['Y', 'UW1']
25.740415	26.018158	['W', 'AA1']
26.11074	26.388483	['N', 'AH0']
27.221713	27.453166	['F', 'AY1', 'N', 'D']
27.592038	27.869782	['AW1', 'T']
28.332687	28.425269	['HH', 'AW1']
28.51785	28.610431	['T', 'UW1']
28.703012	28.980756	['K', 'R', 'AE1', 'K']
29.073337	29.35108	['M', 'IY1']
30.184311	30.462054	['L', 'AO1', 'G']
30.554635	30.832379	['IH0', 'N']
31.295285	31.434156	['T', 'R', 'AY1']
31.480447	31.619319	['T', 'UW1']
31.665609	31.989643	['HH', 'AE1', 'K']
32.035934	32.267387	['M', 'IY1']
32.406259	32.684002	['AH2', 'N']
32.776583	33.054327	['D', 'ER0']
33.146908	33.424651	['N', 'IY1', 'TH']
33.517233	33.609814	['DH', 'AH0']
33.887557	34.07272	['S', 'ER1']
34.257882	34.350463	['F', 'AH0', 'S']
34.628207	34.90595	['DH', 'EH1', 'R', 'Z']
34.998531	35.276275	['S', 'OW1']
35.368856	35.646599	['M', 'AH1', 'CH']
35.924343	36.016924	['Y', 'UW1']
36.109505	36.202086	['N', 'IY1', 'D']
36.294667	36.387249	['T', 'UW1']
36.47983	37.220479	['N', 'OW1']
37.961128	38.05371	['AH0', 'N', 'D']
38.146291	38.238872	['Y', 'UW1']
38.331453	38.609197	['M', 'AY1', 'T']
38.701778	38.979521	['F', 'IY1', 'L']
39.072102	39.349846	['L', 'AY1', 'K']
39.442427	39.72017	['Y', 'AO1', 'R']
39.812752	40.090495	['D', 'R', 'AW1']
40.183076	40.275657	['N', 'IH0', 'NG']
40.553401	40.831144	['B', 'AH1', 'T']
40.923726	41.201469	['TH', 'AE1', 'T', 'S']
41.29405	41.571794	['W', 'AH1', 'T']
41.664375	41.942118	['AY1']
42.0347	42.312443	['N', 'IY1', 'D']
42.960511	43.053092	['T', 'UW1']
43.145673	43.423417	['L', 'EH1', 'T']
43.515998	44.071485	['G', 'OW1']
44.256647	44.395519	['T', 'EH1', 'L']
44.44181	44.580682	['M', 'IY1']
44.626972	44.765844	['W', 'AH1', 'T']
44.812134	44.951006	['Y', 'UW1', 'V']
44.997297	45.27504	['G', 'AA1', 'T']
45.367621	45.413912	['T', 'UW1']
45.552784	45.830527	['B', 'R', 'EY1', 'K']
45.923108	46.200852	['D', 'AW1', 'N']
46.293433	46.386014	['DH', 'AH0']
46.478595	46.84892	['W', 'AO1', 'L', 'Z']
47.404407	47.543279	['Y', 'UW1']
47.589569	47.913603	['JH', 'AH1', 'S', 'T']
47.959894	48.283928	['M', 'AY1', 'T']
48.330219	48.561672	['N', 'IY1', 'D']
48.700543	49.024577	['D', 'AY1']
49.070868	49.20974	['N', 'AH0']
49.25603	49.441193	['M', 'AY2', 'T']
49.626355	50.135551	['Y', 'AE1']
50.181842	50.320714	['T', 'EH1', 'L']
50.367004	50.505876	['M', 'IY1']
50.552167	50.691038	['W', 'AH1', 'T']
50.737329	50.876201	['Y', 'UW1', 'V']
50.922491	51.246525	['G', 'AA1', 'T']
51.292816	51.339106	['T', 'UW1']
51.477978	51.802012	['B', 'R', 'EY1', 'K']
51.848303	52.172337	['D', 'AW1', 'N']
52.218627	52.357499	['DH', 'AH0']
52.40379	52.820405	['W', 'AO1', 'L', 'Z']
53.514764	53.653635	['K', 'IH1', 'K']
53.885088	54.02396	['S', 'EH1', 'N']
54.255413	54.394285	['S', 'L', 'AH0', 'S']
54.625738	54.903481	['M', 'AY1']
54.949772	54.996062	['D', 'IH0']
55.181225	55.366387	['F', 'EH1', 'N']
55.551549	55.829293	['S', 'IH0', 'Z']
56.107036	56.245908	['T', 'EH1', 'L']
56.292199	56.43107	['M', 'IY1']
56.477361	56.616233	['W', 'AH1', 'T']
56.662523	56.801395	['Y', 'AO1', 'R']
56.847686	57.17172	['G', 'AA1']
57.21801	57.356882	['N', 'AH0']
57.403173	57.95866	['D', 'UW1']
58.328984	58.421565	['AY1']
58.514147	58.79189	['N', 'IY1', 'D']
59.069634	59.532539	['Y', 'UW1']
59.62512	59.717702	['T', 'UW1']
59.810283	59.995445	['L', 'AY1', 'T']
60.088026	60.180607	['DH', 'AH0']
60.36577	61.106419	['F', 'Y', 'UW1', 'Z']
62.032231	62.124812	['T', 'EH1', 'L']
62.217393	62.309974	['M', 'IY1']
62.402555	62.495137	['W', 'AH1', 'T']
62.587718	62.680299	['Y', 'UW1', 'V']
62.77288	63.050624	['G', 'AA1', 'T']
63.096914	63.143205	['T', 'UW1']
63.328367	63.467239	['B', 'R', 'EY1', 'K']
63.698692	63.837563	['D', 'AW1', 'N']
64.022726	64.161597	['DH', 'AH0']
64.254179	64.717084	['W', 'AO1', 'L', 'Z']
65.087409	65.17999	['Y', 'UW1']
65.365153	65.689187	['JH', 'AH1', 'S', 'T']
65.735477	66.059511	['M', 'AY1', 'T']
66.105802	66.290964	['N', 'IY1', 'D']
66.476127	66.800161	['D', 'AY1']
66.846451	66.985323	['N', 'AH0']
67.031614	67.401938	['M', 'AY2', 'T']
69.809048	70.133082	['G', 'AA1', 'T']
70.179373	70.503407	['D', 'AY1']
70.549698	70.688569	['N', 'AH0']
70.73486	71.660672	['M', 'AY2', 'T']
74.252944	74.808431	['AY1']
74.993594	75.317628	['K', 'AE1', 'N', 'T']
75.363918	75.641662	['P', 'EY1', 'N', 'T']
75.734243	75.873115	['DH', 'IH1', 'S']
76.104567	76.28973	['P', 'IH1', 'K']
76.474892	76.845217	['CH', 'ER0']
77.215541	77.771028	['JH', 'AH1', 'S', 'T']
77.956191	78.280225	['S', 'OW1']
78.326515	78.604259	['Y', 'UW1']
78.69684	78.974584	['K', 'AE1', 'N']
79.067165	79.344908	['HH', 'AE1', 'NG']
79.437489	79.715233	['IH1', 'T']
80.178139	80.733626	['AY1']
80.918788	81.242822	['K', 'AE1', 'N', 'T']
81.289113	81.520565	['W', 'EY1', 'T']
81.659437	81.89089	['F', 'AO1', 'R']
82.029762	82.261215	['Y', 'UW1']
82.400087	82.585249	['T', 'UW1']
82.770411	83.094445	['AH2', 'N']
83.140736	83.46477	['D', 'ER0']
83.51106	83.835095	['S', 'T', 'AE1', 'N', 'D']
83.881385	84.020257	['IH1', 'F']
84.066547	84.205419	['Y', 'UW1']
84.25171	84.575744	['JH', 'AH1', 'S', 'T']
84.622034	84.946069	['D', 'OW1', 'N', 'T']
84.992359	85.316393	['G', 'EH1', 'T']
85.362684	85.686718	['IH1', 'T']
86.473658	86.797692	['F', 'AY1', 'N', 'D']
86.843982	87.168016	['AW1', 'T']
87.584632	87.723503	['HH', 'AW1']
87.769794	87.908666	['T', 'UW1']
87.954956	88.27899	['K', 'R', 'AE1', 'K']
88.325281	88.649315	['M', 'IY1']
89.436255	89.760289	['L', 'AO1', 'G']
89.80658	90.130614	['IH0', 'N']
90.547229	90.686101	['T', 'R', 'AY1']
90.732391	90.871263	['T', 'UW1']
90.917554	91.241588	['HH', 'AE1', 'K']
91.287878	91.42675	['M', 'IY1']
91.658203	91.982237	['AH2', 'N']
92.028527	92.352562	['D', 'ER0']
