start_time	end_time	syllable
25.19854	25.638681	['W', 'EH1', 'N']
25.693698	25.968786	['L', 'AY1', 'T', 'S']
26.243875	26.57398	['G', 'OW1']
26.794051	27.674332	['D', 'AW1', 'N']
28.719667	29.10479	['AY1']
29.159808	29.489913	['S', 'IY1']
29.599948	29.930054	['N', 'OW1']
30.095107	30.920371	['R', 'IY1']
30.975389	31.470547	['Z', 'AH0', 'N']
32.295811	32.515882	['F', 'AO1', 'R']
32.570899	33.341146	['Y', 'UW1']
33.451181	33.891322	['T', 'UW1']
34.056375	34.881639	['K', 'R', 'AY1']
35.76192	36.037008	['W', 'IY1', 'V']
36.202061	36.532167	['B', 'IH1', 'N']
36.642202	36.91729	['TH', 'R', 'UW1']
37.082343	37.907607	['DH', 'IH1', 'S']
37.962625	38.29273	['B', 'IH0']
38.402765	39.007959	['F', 'AO1', 'R']
39.283047	39.503117	['IH0', 'N']
39.613153	40.053294	['EH1']
40.053294	40.163329	['V', 'ER0']
40.328382	40.713505	['IY0']
40.933575	42.19898	['T', 'AY1', 'M']
42.804174	43.024244	['IH0', 'N']
43.244315	43.464385	['EH1']
43.464385	43.57442	['V', 'ER0']
43.684455	43.959544	['IY0']
44.124596	44.839825	['S', 'IY1']
44.94986	45.665089	['Z', 'AH0', 'N']
46.325301	46.600389	['G', 'AA1', 'D']
46.820459	47.315617	['N', 'OW1', 'Z']
47.48067	47.755758	['AY1', 'V']
47.975829	48.85611	['T', 'R', 'AY1', 'D']
49.846427	50.176533	['S', 'OW1']
50.286568	50.616674	['P', 'L', 'IY1', 'Z']
50.726709	51.001797	['D', 'OW1', 'N', 'T']
51.16685	51.772044	['AE1', 'S', 'K']
52.047132	52.652325	['F', 'AO1', 'R']
52.872396	55.018082	['M', 'AO1', 'R']
55.788329	56.008399	['K', 'AE1', 'N', 'T']
56.118434	56.283487	['Y', 'UW1']
56.44854	56.778646	['S', 'IY1']
56.833663	56.998716	['IH1', 'T']
57.108751	57.328822	['IH0', 'N']
57.493875	57.713945	['M', 'AY1']
57.82398	58.539209	['AY1', 'Z']
59.694579	59.914649	['DH', 'AE1', 'T']
60.024684	60.299772	['DH', 'IH1', 'S']
60.35479	60.519843	['M', 'AY1', 'T']
60.629878	60.904966	['B', 'IY1']
61.070019	61.345107	['AW1']
61.070019	61.345107	['ER0']
61.455142	62.005318	['L', 'AE1', 'S', 'T']
62.555494	63.325741	['G', 'UH2', 'D']
63.435776	65.306375	['B', 'AY1']
67.837184	69.927853	['K', 'EH1']
70.037889	70.863153	['R', 'IY0']
71.358311	73.559015	['K', 'EH1']
73.559015	74.274244	['R', 'IY0']
76.640001	76.915089	['TH', 'IH1', 'NG', 'Z']
77.080142	77.35523	['DH', 'EY1']
77.520283	78.125477	['CH', 'EY1', 'N', 'JH']
78.840705	79.005758	['M', 'AY1']
79.280846	79.996075	['F', 'R', 'EH1', 'N', 'D']
80.161128	80.876357	['W', 'OW1']
81.921691	84.067378	['K', 'EH1']
84.122396	84.617554	['R', 'IY0']
85.442818	87.69854	['K', 'EH1']
87.69854	88.578822	['R', 'IY0']
90.284367	90.669491	['M', 'EY1']
90.724508	91.054614	['B', 'IY0']
91.164649	91.439737	['W', 'IY1', 'L']
91.60479	92.98023	['M', 'IY1', 'T']
94.685776	94.795811	['AH0']
94.960864	96.116234	['G', 'EH1', 'N']
97.766762	99.967466	['S', 'AH1', 'M']
98.647044	99.032167	['W', 'EH2', 'R']
101.728029	101.838065	['AH0']
101.9481	102.718346	['G', 'EH1', 'N']
104.423892	104.753998	['AY1']
104.809015	105.139121	['R', 'EH1', 'D']
105.249156	105.524244	['Y', 'AO1', 'R']
105.689297	106.789649	['M', 'AY1', 'N', 'D']
107.890001	108.165089	['W', 'IH1', 'DH']
108.330142	108.660248	['N', 'OW1']
108.825301	109.100389	['IH0', 'N']
109.265441	110.805934	['T', 'EH1', 'N']
110.090705	110.310776	['CH', 'AH0', 'N']
111.411128	111.686216	['AH1', 'V']
111.851269	112.401445	['B', 'IY1']
111.851269	112.401445	['IH0', 'NG']
112.566498	112.841586	['AH0', 'N']
113.116674	113.941938	['K', 'AY1', 'N', 'D']
114.987272	115.317378	['AY1']
115.427413	115.702501	['W', 'IH1', 'SH']
115.867554	116.307695	['AY1']
116.307695	116.802853	['K', 'UH1', 'D']
117.132959	117.848188	['IH0', 'K']
118.013241	118.453382	['S', 'P', 'L', 'EY1', 'N']
118.673452	118.783487	['IH1', 'T']
118.893522	119.278646	['AO1', 'L']
119.333663	119.553734	['T', 'EY1', 'K', 'S']
119.773804	121.589385	['T', 'AY1', 'M']
121.974508	122.304614	['HH', 'OW1', 'L']
122.414649	122.744755	['L', 'AA1', 'T']
122.85479	123.184896	['AH1', 'V']
123.294931	124.725389	['P', 'EY1']
124.175213	124.395283	['SH', 'AH0', 'N', 'S']
125.440617	125.660688	['IH1', 'F']
