start_time	end_time	syllable
27.594	27.848237	['K', 'AH1', 'M']
27.911797	28.038915	['AH0']
28.102475	28.356712	['L', 'IH1']
28.420271	28.54739	['T', 'AH0', 'L']
28.674508	28.992305	['B', 'IH1', 'T']
29.182983	29.627898	['K', 'L', 'OW1']
29.755017	30.199932	['Z', 'ER0']
31.852475	32.29739	['HH', 'IY1', 'R']
32.424508	32.615186	['W', 'AH1', 'T']
32.678746	33.18722	['AY1']
33.314339	33.886373	['HH', 'AE1', 'V']
34.013492	34.14061	['T', 'UW1']
34.267729	35.030441	['S', 'EY1']
44.50078	44.755017	['JH', 'AH1', 'S', 'T']
44.882136	45.136373	['L', 'AY1', 'K']
45.327051	45.581288	['CH', 'IH1', 'L']
45.708407	45.962644	['D', 'R', 'AH0', 'N']
46.153322	46.471119	['S', 'L', 'IY1']
46.661797	47.233831	['P', 'IH0', 'NG']
48.949932	49.077051	['W', 'IY1']
49.267729	49.394847	['K', 'UH1', 'D']
49.458407	49.903322	['D', 'R', 'IY1', 'M']
50.030441	50.348237	['DH', 'IH1', 'S']
50.538915	51.04739	['N', 'AY1', 'T']
51.110949	51.238068	['AH0']
51.365186	52.127898	['W', 'EY1']
61.153322	61.280441	['B', 'AH1', 'T']
61.534678	61.916034	['DH', 'EH1', 'R', 'Z']
61.979593	62.106712	['AH0']
62.233831	62.488068	['F', 'UH1', 'L']
62.615186	62.932983	['M', 'UW1', 'N']
63.060102	63.759254	['R', 'AY1']
63.822814	64.14061	['Z', 'IH0', 'NG']
65.411797	65.666034	['L', 'EH1', 'T', 'S']
65.729593	66.110949	['G', 'OW1']
66.238068	66.873661	['D', 'AE1', 'N']
67.064339	67.255017	['S', 'IH0', 'NG']
67.318576	67.954169	['IH0', 'N']
68.081288	68.208407	['DH', 'AH0']
68.335525	69.733831	['L', 'AY1', 'T']
78.18722	78.441458	['W', 'IY1']
78.505017	78.759254	['N', 'OW1']
78.822814	79.013492	['W', 'EH1', 'R']
79.077051	79.204169	['DH', 'AH0']
79.267729	79.521966	['M', 'Y', 'UW1']
79.585525	79.903322	['Z', 'IH0', 'K', 'S']
80.094	80.793153	['P', 'L', 'EY1']
80.856712	81.04739	['IH0', 'NG']
82.445695	82.636373	['L', 'EH1', 'T', 'S']
82.763492	83.208407	['G', 'OW1']
83.271966	83.971119	['AW1', 'T']
84.034678	84.225356	['AH0', 'N', 'D']
84.543153	84.988068	['F', 'IY1', 'L']
85.115186	85.242305	['DH', 'AH0']
85.369424	86.132136	['N', 'AY1', 'T']
95.030441	95.157559	['B', 'IH0']
95.284678	95.475356	['K', 'AO1', 'Z']
95.538915	95.983831	['AY1', 'M']
96.301627	96.555864	['S', 'T', 'IH1', 'L']
96.619424	97.00078	['IH0', 'N']
97.127898	97.763492	['L', 'AH1', 'V']
97.89061	98.081288	['W', 'IH1', 'DH']
98.208407	98.844	['Y', 'UW1']
99.79739	99.924508	['AY1']
99.988068	100.242305	['W', 'AA1', 'N', 'T']
100.305864	100.369424	['T', 'UW1']
100.496542	100.941458	['S', 'IY1']
101.005017	101.386373	['Y', 'UW1']
101.577051	102.021966	['D', 'AE1', 'N', 'S']
102.149085	102.276203	['AH0']
102.403322	103.038915	['G', 'EH1', 'N']
103.738068	103.865186	['B', 'IH0']
103.992305	104.310102	['K', 'AO1', 'Z']
104.43722	104.691458	['AY1', 'M']
104.945695	105.199932	['S', 'T', 'IH1', 'L']
105.263492	105.517729	['IH0', 'N']
105.644847	106.216881	['L', 'AH1', 'V']
106.344	106.534678	['W', 'IH1', 'DH']
106.661797	106.916034	['Y', 'UW1']
108.759254	109.394847	['AA1', 'N']
109.458407	109.839763	['DH', 'IH1', 'S']
110.030441	110.348237	['HH', 'AA1', 'R']
110.411797	110.729593	['V', 'AH0', 'S', 'T']
110.920271	114.225356	['M', 'UW1', 'N']
129.988068	130.305864	['W', 'EH1', 'N']
130.432983	130.623661	['W', 'IY1']
130.75078	130.941458	['W', 'ER0']
131.259254	131.704169	['S', 'T', 'R', 'EY1', 'N']
131.831288	132.339763	['JH', 'ER0', 'Z']
134.182983	134.373661	['AY1']
134.50078	134.755017	['W', 'AA1', 'CH', 'T']
135.072814	135.454169	['Y', 'UW1']
135.708407	136.216881	['F', 'R', 'AH1', 'M']
136.280441	136.407559	['AH0']
136.598237	138.123661	['F', 'AA1', 'R']
146.894847	147.276203	['W', 'EH1', 'N']
147.530441	147.721119	['W', 'IY1']
147.784678	148.166034	['W', 'ER0']
148.293153	148.801627	['L', 'AH1']
148.928746	149.691458	['V', 'ER0', 'Z']
150.962644	151.216881	['AY1']
