start_time	end_time	syllable
12.678	12.818647	['DH', 'EH1', 'R', 'Z']
12.865529	12.959294	['AH0']
13.053059	13.334353	['S', 'M', 'AO1', 'L']
13.428117	13.756293	['T', 'AW1', 'N']
13.850058	14.037587	['IH0', 'N']
14.225117	14.318881	['DH', 'AH0']
14.412646	14.600175	['M', 'AW1', 'N']
14.740822	15.022116	['T', 'AH0', 'N', 'Z']
15.678469	15.772233	['W', 'EH1', 'R']
15.865998	15.91288	['DH', 'AH0']
16.053527	16.287939	['S', 'T', 'R', 'IY1', 'T', 'S']
16.428586	16.522351	['AA1', 'R']
16.616115	17.084939	['W', 'AY1', 'D']
17.272468	17.413115	['AH0', 'N', 'D']
17.600644	17.881938	['S', 'T', 'IH1', 'L']
18.678938	18.819585	['DH', 'EH1', 'R']
18.866467	18.960232	['AA1', 'R']
19.053996	19.33529	['CH', 'IH1', 'L']
19.429055	19.663466	['D', 'R', 'AH0', 'N']
19.850996	19.991643	['M', 'EY1']
20.085407	20.179172	['K', 'IH0', 'NG']
20.319819	20.835525	['EY1', 'N']
20.929289	21.023054	['JH', 'AH0', 'L', 'Z']
21.116819	21.444995	['IH0', 'N']
21.632524	21.726289	['DH', 'AH0']
21.913818	22.195112	['S', 'N', 'OW1']
24.867405	24.961169	['DH', 'AH0']
25.054934	25.242463	['S', 'AH1', 'N']
25.429992	25.617522	['S', 'EH2', 'T']
25.805051	26.086345	['P', 'EY1', 'N', 'T', 'S']
26.18011	26.273874	['DH', 'AH0']
26.414521	26.742698	['S', 'K', 'AY1']
26.930227	27.023992	['AE1', 'T']
27.117756	27.445932	['N', 'AY1', 'T']
27.914756	28.00852	['AH0', 'N', 'D']
28.102285	28.336697	['OW1', 'L', 'D']
28.477344	28.711755	['M', 'AE1', 'N']
28.852402	28.993049	['W', 'ER1', 'K', 'S']
29.180579	29.41499	['B', 'AY1']
29.555637	29.836931	['K', 'AE1', 'N']
29.930696	30.02446	['D', 'AH0', 'L']
30.118225	30.399519	['L', 'AY2', 'T']
30.868342	30.962107	['AH0']
31.055872	31.290283	['T', 'AY1']
31.43093	31.524695	['N', 'IY0']
31.618459	32.0404	['B', 'EY1']
32.181047	32.274812	['B', 'IY0']
32.368577	32.931165	['S', 'M', 'AY1', 'L', 'Z']
33.071812	33.165576	['AH0', 'N', 'D']
33.306223	33.728164	['W', 'EY1', 'V', 'Z']
33.868811	33.962576	['HH', 'AH0']
34.05634	34.431399	['L', 'OW1']
36.681751	36.775515	['IH0', 'N']
36.86928	36.963045	['DH', 'AH0']
37.056809	37.291221	['K', 'OW1', 'L', 'D']
37.431868	37.666279	['G', 'R', 'EY1']
37.806926	38.041338	['L', 'AY1', 'T']
38.181985	38.27575	['AH1', 'V']
38.369514	38.697691	['D', 'AO1', 'N']
39.119632	39.260278	['AE1', 'N']
39.307161	39.447808	['IY1']
39.541572	39.869749	['G', 'AH0', 'L']
40.057278	41.604395	['F', 'L', 'AY1', 'Z']
42.682688	42.823335	['AH0', 'N', 'D']
42.870218	42.963982	['DH', 'AH0']
43.057747	43.339041	['M', 'EH1', 'N']
43.432805	43.52657	['AA1', 'R']
43.620335	43.807864	['HH', 'AE1']
43.995393	44.417334	['P', 'IY0']
44.557981	44.792393	['W', 'EH1']
44.93304	45.120569	['R', 'IH0', 'NG']
45.308098	45.448745	['M', 'AE1']
45.495628	45.917569	['CH', 'IH0', 'NG']
46.058216	47.089627	['T', 'AY1', 'Z']
48.074156	48.16792	['AH0']
48.308567	48.449214	['P', 'EH1', 'R']
48.542979	48.683626	['AH1', 'V']
48.871155	49.199331	['P', 'UW1']
49.339978	49.621272	['D', 'AH0', 'L', 'Z']
51.121507	51.215271	['AH0']
51.355918	51.59033	['B', 'R', 'OW1']
51.684095	51.871624	['K', 'AH0', 'N']
52.059153	52.340447	['F', 'IH1', 'NG']
52.434212	52.668624	['G', 'ER0']
52.809271	52.949917	['W', 'IH1', 'L']
52.9968	53.278094	['N', 'AA1', 'T']
53.418741	53.746917	['B', 'EH1', 'N', 'D']
54.309505	54.590799	['S', 'UW1', 'P']
54.684564	54.778328	['W', 'IH1', 'DH']
54.872093	55.340916	['N', 'UW1']
55.434681	55.762857	['D', 'AH0', 'L', 'Z']
57.122444	57.216209	['AH0']
57.309974	57.450621	['F', 'IY1']
57.497503	57.778797	['M', 'EY2', 'L']
58.060091	58.200738	['K', 'L', 'IH1', 'NG']
58.24762	58.43515	['G', 'AH0', 'N', 'Z']
58.622679	58.763326	['D', 'R', 'AH1', 'NG', 'K']
58.997737	59.232149	['B', 'OY1']
59.372796	59.65409	['F', 'R', 'EH2', 'N', 'D']
60.076031	60.169796	['AH0']
60.310443	60.497972	['S', 'EH1', 'K']
60.638619	60.779266	['S', 'IY0']
60.87303	61.341854	['L', 'EY1']
61.435618	61.716912	['D', 'IY0']
62.935853	63.029617	['DH', 'IH1', 'S']
63.310911	63.592205	['P', 'AA1', 'R']
63.68597	63.873499	['T', 'IY0', 'Z']
64.061029	64.201676	['B', 'EH1']
64.29544	64.48297	['T', 'ER0']
64.670499	64.951793	['DH', 'AE1', 'N']
65.045557	65.233087	['IH1', 'T']
65.420616	65.748792	['S', 'IY1', 'M', 'Z']
66.31138	66.452027	['W', 'AO1']
66.545792	66.733321	['R', 'AH0', 'N']
66.873968	67.389674	['B', 'IY1']
67.436556	67.71785	['T', 'IY0']
68.186673	68.32732	['D', 'IH1', 'R']
68.561732	68.796143	['S', 'L', 'IY1']
68.93679	69.171202	['P', 'IH0', 'NG']
69.311849	69.499378	['JH', 'AY1']
69.546261	69.686908	['AH0', 'N', 'T']
69.874437	70.249496	['P', 'AE1', 'N']
70.437025	71.234024	['D', 'AH0']
72.312318	72.452965	['P', 'L', 'EH1']
72.499847	72.874906	['Z', 'AH0', 'N', 'T']
73.062435	75.406551	['D', 'R', 'IY1', 'M', 'Z']
84.876781	84.970546	['AH0']
85.06431	85.158075	['V', 'IH1']
85.25184	85.580016	['Z', 'AH0', 'T']
85.814428	86.048839	['T', 'UW1']
86.142604	86.236368	['DH', 'AH0']
86.377015	86.564545	['D', 'EH1', 'N']
86.705192	86.939603	['T', 'AH0', 'S', 'T']
87.87725	87.971015	['AH0']
88.064779	88.439838	['P', 'L', 'EY1', 'S']
88.627367	88.721132	['T', 'UW1']
88.814896	88.908661	['G', 'EH1', 'T']
89.002426	89.377484	['S', 'AH1', 'M']
89.565014	90.033837	['P', 'AY1']
90.877719	90.971483	['AH0']
91.065248	91.29966	['R', 'EY1', 'N']
91.440307	91.674718	['B', 'OW2']
91.815365	92.049777	['F', 'L', 'OW1', 'T', 'S']
92.190424	92.284188	['AH0']
92.377953	92.987423	['B', 'AH1', 'V']
93.12807	93.268717	['AH0']
93.3156	93.456247	['W', 'AO1']
93.503129	93.596894	['T', 'ER0']
93.690658	94.112599	['F', 'AO2', 'L']
96.831774	96.925539	['AH0']
97.066186	97.206833	['F', 'EH1']
97.253715	97.34748	['R', 'IH0', 'S']
97.441244	98.050714	['W', 'IY1', 'L']
98.191361	98.285126	['AH0']
98.378891	98.847714	['K', 'EH1']
98.941479	99.035243	['R', 'AH0']
99.129008	99.410302	['S', 'EH2', 'L']
99.879125	99.97289	['DH', 'AH0']
100.066654	100.347948	['L', 'AE1', 'N', 'D']
100.441713	100.723007	['L', 'AO2', 'R', 'D']
101.004301	101.144948	['N', 'EH1']
101.19183	101.285595	['V', 'ER0']
101.37936	101.848183	['L', 'ER1', 'N', 'T']
101.941947	102.035712	['T', 'UW1']
102.129477	102.410771	['S', 'P', 'EH1', 'L']
103.067123	103.254653	['S', 'AH1', 'M']
103.442182	103.770358	['W', 'AH2', 'N']
104.00477	104.192299	['P', 'UH1', 'T']
104.332946	104.473593	['G', 'R', 'AH0']
104.567358	104.848652	['F', 'IY1']
