start_time	end_time	syllable
25.413	25.642568	['T', 'EY1', 'K']
25.719091	25.872137	['AH0']
25.94866	26.101705	['W', 'EY1']
26.178228	26.331274	['Y', 'AO1', 'R']
26.407796	26.637365	['TH', 'IH1', 'NG', 'Z']
26.713888	26.866933	['AH0', 'N', 'D']
26.943456	27.32607	['G', 'OW1']
28.626958	28.703481	['Y', 'UW1']
28.856526	29.009572	['K', 'AE1', 'N', 'T']
29.086095	29.315663	['T', 'EY1', 'K']
29.392186	29.545231	['B', 'AE1', 'K']
29.698277	29.927845	['W', 'AH1', 'T']
30.004368	30.157414	['Y', 'UW1']
30.310459	30.693073	['S', 'EH1', 'D']
32.453098	32.682666	['AY1']
32.759189	33.218326	['N', 'OW1']
33.677463	33.830508	['AY1', 'V']
33.983554	34.289645	['HH', 'ER1', 'D']
34.366168	34.595736	['IH1', 'T']
34.672259	34.825305	['AO1', 'L']
34.901828	35.054873	['B', 'IH0']
35.207919	35.437487	['F', 'AO1', 'R']
35.51401	35.590533	['AE1', 'T']
35.667056	35.820101	['L', 'IY1', 'S', 'T']
35.973147	36.04967	['AH0']
36.202715	36.355761	['M', 'IH1', 'L']
36.432284	36.585329	['Y', 'AH0', 'N']
36.661852	37.044466	['T', 'AY1', 'M', 'Z']
38.651445	38.804491	['AY1', 'M']
38.881013	39.034059	['N', 'AA1', 'T']
39.187105	39.416673	['W', 'AH1', 'N']
39.569719	39.722764	['T', 'UW1']
39.799287	39.952333	['F', 'ER0']
40.105378	40.487992	['G', 'EH1', 'T']
42.32454	42.477585	['Y', 'UW1']
42.554108	43.013245	['N', 'OW1']
45.079361	45.232406	['AY1']
45.385452	45.768066	['D', 'OW1', 'N', 'T']
45.921111	46.227203	['B', 'IH0']
46.303725	46.915908	['L', 'IY1', 'V']
47.52809	47.681136	['AY1']
47.834182	48.216796	['D', 'OW1', 'N', 'T']
48.369841	48.59941	['B', 'IH0']
48.752455	49.288115	['L', 'IY1', 'V']
49.364638	49.670729	['IH1', 'T']
49.900297	50.053343	['Y', 'UW1']
50.206388	50.589002	['L', 'EH1', 'F', 'T']
50.742048	51.048139	['IH0', 'N']
51.124662	51.583799	['P', 'IY1', 'S']
52.349027	52.731641	['L', 'EH1', 'F', 'T']
52.808164	53.190778	['M', 'IY1']
53.267301	53.496869	['IH0', 'N']
53.649915	54.185574	['P', 'IY1']
