start_time	end_time	syllable
10.418	10.536241	['K', 'AH1', 'M']
10.595361	10.713601	['HH', 'IY1', 'R']
10.772722	10.890962	['B', 'EY1']
10.950083	11.127443	['B', 'IY0']
11.363925	11.600406	['EH1']
11.659526	11.777767	['B', 'IY1']
11.836887	11.955128	['M', 'AY1']
12.014248	12.132488	['B', 'EY1']
12.191609	12.309849	['B', 'IY0']
12.664571	12.901052	['EH1']
12.960172	13.078413	['B', 'IY1']
13.137533	13.255774	['M', 'AY1']
13.314894	13.433135	['B', 'EY1']
13.492255	13.669616	['B', 'IY0']
13.965217	14.201699	['OW1']
14.43818	14.674661	['OW1']
14.911142	15.206743	['OW1']
15.502345	15.620586	['K', 'AH1', 'M']
15.679706	15.797946	['HH', 'IY1', 'R']
15.857067	15.975307	['B', 'EY1']
16.034428	16.093548	['B', 'IY0']
16.211788	16.270909	['P', 'UH1', 'T']
16.330029	16.389149	['Y', 'AO1', 'R']
16.44827	16.743871	['HH', 'AE1', 'N', 'D', 'Z']
16.802991	16.862112	['AA1', 'N']
16.980352	17.039472	['M', 'AY1']
17.157713	17.216833	['B', 'AA1']
17.335074	17.453315	['D', 'IY0']
17.748916	17.985397	['HH', 'AE1', 'N', 'D', 'Z']
18.103638	18.162758	['AA1', 'N']
18.221878	18.280999	['M', 'AY1']
18.399239	18.458359	['B', 'AA1']
18.5766	18.813081	['D', 'IY0']
18.990442	19.226923	['OW1']
19.463404	19.699886	['OW1']
19.936367	20.231968	['OW1']
20.52757	20.823171	['R', 'AY1', 'T']
20.882291	21.177893	['DH', 'EH1', 'R']
21.591735	21.650855	['K', 'IY1', 'P']
21.709975	21.769096	['IH1', 'T']
21.887336	22.064697	['R', 'AY1', 'T']
22.182938	22.419419	['DH', 'EH1', 'R']
22.6559	22.71502	['AY1']
22.774141	22.951501	['L', 'AH1', 'V']
23.010622	23.069742	['IH1', 'T']
23.128862	23.247103	['W', 'EH1', 'N']
23.306223	23.365344	['Y', 'UW1']
23.424464	23.542704	['P', 'UH1', 'T']
23.601825	23.660945	['IH1', 'T']
23.720065	23.897426	['R', 'AY1', 'T']
24.015667	25.138952	['DH', 'EH1', 'R']
25.375433	25.611915	['OW1']
25.848396	26.084877	['OW1']
26.321358	26.616959	['OW1']
26.912561	27.149042	['Y', 'AE1']
27.503764	27.799365	['Y', 'AE1']
27.917606	28.154087	['OW1']
28.390568	28.627049	['OW1']
28.863531	29.159132	['OW1']
29.336493	29.691215	['Y', 'AE1']
30.8145	30.932741	['M', 'IY1']
30.991861	31.169222	['L', 'AY1', 'K']
