start_time	end_time	syllable
31.168	31.426472	['B', 'IH1', 'N']
31.426472	31.771102	['W', 'ER1']
31.771102	32.029574	['K', 'IH0', 'NG']
32.374203	32.718833	['S', 'OW1']
32.718833	33.063462	['HH', 'AA1', 'R', 'D']
33.925036	34.183508	['AY1', 'M']
34.183508	34.528138	['P', 'AH1', 'N']
34.528138	34.78661	['CH', 'IH0', 'NG']
35.13124	35.475869	['M', 'AY1']
35.475869	35.820499	['K', 'AA1', 'R', 'D']
36.682072	36.940545	['EY1', 'T']
36.940545	37.285174	['AW1']
37.285174	37.543646	['ER0', 'Z']
37.888276	38.232905	['F', 'AO1', 'R']
38.232905	38.577535	['W', 'AH1', 'T']
39.439109	39.697581	['OW1']
39.697581	40.04221	['T', 'EH1', 'L']
40.04221	40.300682	['M', 'IY1']
40.300682	40.472997	['W', 'AH1', 'T']
40.472997	40.645312	['AY1']
40.645312	41.334571	['G', 'AA1', 'T']
42.196145	42.454617	['AY1']
42.454617	42.799246	['G', 'EH1', 'T']
42.799246	43.057719	['DH', 'IH1', 'S']
43.057719	43.746978	['F', 'IY1']
43.746978	44.263922	['L', 'IH0', 'NG']
44.953181	45.211653	['DH', 'AE1', 'T']
45.211653	45.556283	['T', 'AY1', 'M', 'Z']
45.556283	45.814755	['JH', 'AH1', 'S', 'T']
45.814755	46.245542	['HH', 'OW1', 'L']
46.245542	46.504014	['D', 'IH0', 'NG']
46.504014	46.848643	['M', 'IY1']
46.848643	47.710217	['D', 'AW1', 'N']
53.224289	53.482762	['AY1', 'L']
53.482762	53.827391	['HH', 'IH1', 'T']
53.827391	54.085863	['DH', 'AH0']
54.085863	54.775122	['S', 'IY1']
54.775122	55.464381	['L', 'IH0', 'NG']
55.981326	56.239798	['AO1', 'R']
56.239798	56.584427	['EH1', 'L', 'S']
56.584427	56.842899	['AY1', 'L']
56.842899	57.187529	['T', 'EH1', 'R']
57.187529	57.532159	['AH1', 'P']
57.532159	57.876788	['DH', 'IH1', 'S']
57.876788	58.910677	['T', 'AW1', 'N']
62.873916	62.960074	['N', 'AW1']
62.960074	63.132388	['AY1']
63.132388	63.218546	['G', 'AA1']
63.218546	63.477018	['T', 'AH0']
63.477018	63.73549	['K', 'AH1', 'T']
63.73549	64.424749	['L', 'UW1', 'S']
64.941693	65.286323	['F', 'UH1', 'T']
65.286323	65.630952	['L', 'UW2', 'S']
66.320211	66.578684	['K', 'IH1', 'K']
66.578684	66.923313	['AO1', 'F']
66.923313	67.181785	['Y', 'AO1', 'R']
67.181785	67.440257	['S', 'AH1', 'N']
67.440257	67.871044	['D', 'EY2']
67.871044	68.215674	['SH', 'UW1', 'Z']
69.421877	69.766507	['P', 'L', 'IY1', 'Z']
70.455766	70.800395	['L', 'UW0']
70.800395	71.058867	['IY1', 'Z']
72.006599	72.351228	['HH', 'OW1', 'L', 'D']
72.351228	72.695858	['M', 'IY1']
72.695858	72.95433	['AO1', 'F']
72.95433	73.126644	['AH1', 'V']
73.126644	73.471274	['M', 'AY1']
73.471274	73.815904	['N', 'IY1', 'Z']
74.935949	75.194422	['JH', 'AE1', 'K']
75.969838	76.314468	['G', 'EH1', 'T']
76.314468	76.57294	['B', 'AE1', 'K']
77.520671	77.779143	['K', 'AH1', 'M']
77.779143	78.123773	['AA1', 'N']
78.123773	78.296087	['B', 'IH0']
78.296087	78.640717	['F', 'AO1', 'R']
78.640717	78.985346	['W', 'IY1']
78.985346	79.329976	['K', 'R', 'AE1', 'K']
80.277707	80.622337	['L', 'UW1', 'Z']
81.311596	81.656225	['Y', 'AO1', 'R']
81.656225	82.000855	['B', 'L', 'UW1', 'Z']
83.034743	83.207058	['EH1', 'V']
83.207058	83.379373	['R', 'IY0']
83.379373	83.551688	['B', 'AA2']
83.551688	83.724002	['D', 'IY0']
83.724002	84.068632	['K', 'AH1', 'T']
84.068632	84.413261	['F', 'UH1', 'T']
84.413261	84.757891	['L', 'UW2', 'S']
90.444278	90.70275	['Y', 'UH1', 'R']
90.70275	91.04738	['P', 'L', 'EY1']
91.04738	91.305852	['IH0', 'NG']
91.650481	91.995111	['S', 'OW1']
91.995111	92.33974	['K', 'UW1', 'L']
93.201314	93.459786	['OW0']
93.459786	93.804416	['B', 'EY1']
93.804416	94.062888	['IH0', 'NG']
94.062888	94.235203	['EH1']
94.235203	94.407518	['V', 'ER0']
94.235203	94.407518	['IY0']
94.407518	94.752147	['R', 'UW1', 'L']
95.95835	96.216823	['D', 'IH1', 'G']
96.216823	96.561452	['W', 'EY1']
96.561452	96.992239	['D', 'AW1', 'N']
96.992239	97.336868	['IH0', 'N']
97.336868	97.681498	['Y', 'AO1', 'R']
97.681498	98.026128	['HH', 'AA1', 'R', 'T']
98.715387	98.973859	['Y', 'UH1', 'R']
98.973859	99.318488	['B', 'ER1']
99.318488	99.57696	['N', 'IH0', 'NG']
99.57696	99.92159	['Y', 'ER1']
99.92159	100.266219	['N', 'IH0', 'NG']
100.266219	100.610849	['F', 'AO1', 'R']
100.610849	101.300108	['S', 'AH1', 'M']
101.300108	101.644738	['S', 'AH1', 'M']
101.644738	101.817052	['B', 'AA2']
101.817052	101.989367	['D', 'IY0']
101.989367	102.333997	['T', 'UW1']
102.333997	103.023256	['T', 'EH1', 'L']
103.023256	103.367885	['Y', 'UW1']
104.401774	104.574088	['DH', 'AE1', 'T']
104.574088	104.918718	['L', 'AY1', 'F']
104.918718	105.263348	['EY1', 'N', 'T']
105.263348	105.607977	['P', 'AE1']
105.607977	105.952607	['S', 'IH0', 'NG']
105.952607	106.297236	['Y', 'UW1']
106.297236	107.15881	['B', 'AY1']
109.829689	110.088161	['AY1', 'M']
110.088161	110.260476	['T', 'R', 'AY1']
110.260476	110.43279	['IH0', 'NG']
110.43279	110.691262	['T', 'UW1']
110.691262	111.380522	['T', 'EH1', 'L']
111.380522	112.155938	['Y', 'UW1']
112.500567	112.75904	['IH1', 'T']
112.75904	113.103669	['W', 'IH1', 'L']
113.103669	113.362141	['IH1', 'F']
113.362141	113.706771	['Y', 'UW1']
113.706771	114.0514	['D', 'OW1', 'N', 'T']
114.0514	114.39603	['IY1']
114.39603	114.740659	['V', 'IH0', 'N']
114.740659	117.497696	['T', 'R', 'AY1']
118.531584	118.703899	['Y', 'UW1', 'L']
118.703899	118.876214	['G', 'EH1', 'T']
118.876214	119.393158	['B', 'AY1']
119.393158	119.565473	['IH1', 'F']
119.565473	119.737787	['Y', 'UW1', 'D']
119.737787	119.823945	['OW1', 'N']
119.823945	119.910102	['L', 'IY0']
119.99626	120.340889	['K', 'AH1', 'T']
120.340889	121.116306	['L', 'UW1', 'S']
121.460935	121.805565	['F', 'UH1', 'T']
121.805565	122.494824	['L', 'UW2', 'S']
122.925611	123.184083	['K', 'IH1', 'K']
123.184083	123.528712	['AO1', 'F']
123.528712	123.787184	['Y', 'AO1', 'R']
123.787184	124.045657	['S', 'AH1', 'N']
124.045657	124.476443	['D', 'EY2']
124.476443	124.90723	['SH', 'UW1', 'Z']
125.596489	125.768804	['OW1']
125.768804	126.113434	['W', 'EY1']
126.975007	127.319637	['M', 'ER0']
127.319637	127.664267	['IY1']
128.52584	128.87047	['SH', 'EY1', 'K']
128.87047	129.042785	['IH1', 'T']
129.042785	129.387414	['SH', 'EY1', 'K']
129.387414	129.559729	['IH1', 'T']
129.559729	129.904358	['F', 'AO1', 'R']
129.904358	130.248988	['M', 'IY1']
131.455191	131.799821	['OW1']
132.48908	132.833709	['M', 'AY1']
132.833709	133.178339	['L', 'OW0']
133.867598	134.212227	['K', 'AH1', 'M']
134.212227	134.556857	['AA1', 'N']
134.556857	134.901487	['K', 'AH1', 'M']
134.901487	135.246116	['AA1', 'N']
135.246116	135.590746	['L', 'EH1', 'T', 'S']
135.590746	135.935375	['G', 'OW1']
136.796949	137.141578	['L', 'UW1', 'Z']
137.830837	138.175467	['Y', 'AO1', 'R']
138.175467	138.520096	['B', 'L', 'UW1', 'Z']
139.553985	139.7263	['EH1', 'V']
139.7263	139.898615	['R', 'IY0']
139.898615	140.070929	['B', 'AA2']
140.070929	140.243244	['D', 'IY0']
140.243244	140.587874	['K', 'AH1', 'T']
140.587874	140.932503	['F', 'UH1', 'T']
140.932503	141.277133	['L', 'UW2', 'S']
152.477592	152.649907	['Y', 'UW1']
152.649907	152.822222	['G', 'AA1', 'T']
152.822222	152.994536	['T', 'UW1']
153.166851	153.339166	['T', 'ER1', 'N']
153.511481	153.683796	['M', 'IY1']
153.85611	154.028425	['ER0']
154.114582	154.803841	['AW1', 'N', 'D']
155.234628	155.406943	['AH0', 'N', 'D']
155.406943	155.493101	['P', 'UH1', 'T']
155.579258	155.83773	['Y', 'AO1', 'R']
155.923887	156.18236	['F', 'IY1', 'T']
156.268517	156.699304	['AA1', 'N']
156.699304	156.957776	['DH', 'AH0']
156.957776	157.81935	['G', 'R', 'AW1', 'N', 'D']
157.991665	158.163979	['G', 'AA1']
158.163979	158.336294	['T', 'AH0']
158.336294	158.680924	['T', 'EY1', 'K']
158.680924	158.853238	['DH', 'AH0']
158.853238	159.284025	['HH', 'OW1', 'L', 'D']
159.284025	159.628655	['AH1', 'V']
159.628655	160.059442	['AO1', 'L']
170.398327	170.742957	['AY1', 'M']
170.742957	170.915272	['T', 'ER1']
170.915272	171.173744	['N', 'IH0', 'NG']
171.432216	171.94916	['L', 'UW1', 'S']
172.466105	172.810734	['K', 'AH1', 'T']
172.810734	173.155364	['L', 'UW1', 'S']
174.016937	174.27541	['K', 'IH1', 'K']
174.27541	174.620039	['AO1', 'F']
174.620039	174.878511	['Y', 'AO1', 'R']
174.878511	175.136983	['S', 'AH1', 'N']
175.136983	175.56777	['D', 'EY2']
175.56777	175.9124	['SH', 'UW1', 'Z']
176.946288	177.290918	['P', 'L', 'IY1', 'Z']
177.980177	178.324806	['L', 'UW0']
178.324806	178.583279	['IY1', 'Z']
179.53101	179.875639	['HH', 'OW1', 'L', 'D']
179.875639	180.220269	['M', 'IY1']
180.220269	180.478741	['AO1', 'F']
180.478741	180.651056	['AH1', 'V']
180.651056	180.995685	['M', 'AY1']
180.995685	181.340315	['N', 'IY1', 'Z']
182.460361	182.718833	['JH', 'AE1', 'K']
183.494249	183.838879	['G', 'EH1', 'T']
183.838879	184.097351	['B', 'AE1', 'K']
185.045082	185.303554	['K', 'AH1', 'M']
185.303554	185.648184	['AA1', 'N']
185.648184	185.820499	['B', 'IH0']
185.820499	186.165128	['F', 'AO1', 'R']
186.165128	186.509758	['W', 'IY1']
186.509758	186.854387	['K', 'R', 'AE1', 'K']
187.802118	188.146748	['L', 'UW1', 'Z']
188.836007	189.180636	['Y', 'AO1', 'R']
189.180636	189.525266	['B', 'L', 'UW1', 'Z']
190.559155	190.731469	['EH1', 'V']
190.731469	190.903784	['R', 'IY0']
190.903784	191.076099	['B', 'AA2']
