start_time	end_time	syllable
7.086	7.213129	['HH', 'EY1']
7.340259	7.467388	['HH', 'EY1']
7.594518	7.721647	['HH', 'EY1']
7.848777	8.230165	['Y', 'UW1']
8.611553	8.738682	['AH0', 'N', 'D']
8.865812	9.120071	['M', 'IY1']
9.37433	9.501459	['K', 'IY1', 'P']
9.628588	9.755718	['AA1', 'N']
9.882847	10.009977	['D', 'AE1', 'N']
10.137106	10.264235	['S', 'IH0', 'NG']
10.391365	10.518494	['IH0', 'N']
10.645624	10.709188	['DH', 'AH0']
10.772753	11.154141	['D', 'AA1', 'R', 'K']
11.4084	11.53553	['IH1', 'T', 'S']
11.662659	11.789788	['B', 'IH1', 'N']
11.916918	12.044047	['T', 'EH1']
12.171177	12.298306	['R', 'IH0', 'NG']
12.425436	12.552565	['M', 'IY1']
12.679694	12.743259	['AH0']
12.806824	13.188212	['P', 'AA1', 'R', 'T']
13.442471	13.5696	['N', 'EH1']
13.69673	13.823859	['V', 'ER0']
13.950989	14.078118	['N', 'OW1']
14.205247	14.332377	['IH0', 'NG']
14.459506	14.586636	['W', 'AH1', 'T']
14.713765	14.77733	['W', 'IY1']
14.840894	14.968024	['AA1', 'R']
15.222283	15.349412	['HH', 'EY1']
15.476542	15.603671	['HH', 'EY1']
15.7308	15.85793	['HH', 'EY1']
15.985059	16.366447	['Y', 'UW1']
16.747836	16.874965	['AH0', 'N', 'D']
17.002095	17.256353	['M', 'IY1']
17.510612	17.637742	['K', 'IY1', 'P']
17.764871	17.892001	['AA1', 'N']
18.01913	18.146259	['T', 'R', 'AY1']
18.01913	18.146259	['IH0', 'NG']
18.273389	18.400518	['T', 'UW1']
18.527648	18.654777	['P', 'L', 'EY1']
18.781906	18.845471	['IH1', 'T']
18.909036	19.290424	['K', 'UW1', 'L']
19.544683	19.671812	['N', 'AW1']
19.798942	19.926071	['IH1', 'T', 'S']
20.053201	20.18033	['T', 'AY1', 'M']
20.307459	20.434589	['T', 'UW1']
20.561718	20.688848	['M', 'EY1', 'K']
20.815977	20.879542	['AH0']
20.943107	21.324495	['M', 'UW1', 'V']
21.578754	21.705883	['AH0', 'N', 'D']
21.833012	21.960142	['DH', 'AE1', 'T', 'S']
22.087271	22.214401	['W', 'AH1', 'T']
22.34153	22.46866	['AY1', 'M']
22.595789	22.722918	['G', 'AA1']
22.850048	22.913613	['N', 'AH0']
22.977177	23.358565	['D', 'UW1']
23.612824	23.739954	['L', 'EY1']
23.867083	23.994213	['IH1', 'T']
24.121342	24.375601	['AO1', 'L']
24.50273	25.774024	['D', 'AW1', 'N']
26.155413	26.282542	['G', 'AA1', 'T']
26.409671	26.536801	['S', 'AH1', 'M']
26.66393	26.79106	['TH', 'IH0', 'NG']
26.918189	26.981754	['T', 'UW1']
27.045319	27.426707	['S', 'EY1']
27.680966	27.808095	['L', 'EY1']
27.935225	28.062354	['IH1', 'T']
28.189483	28.443742	['AO1', 'L']
28.570872	29.842166	['D', 'AW1', 'N']
30.223554	30.350683	['TH', 'R', 'OW1']
30.477813	30.604942	['Y', 'AO1', 'R']
30.732072	30.859201	['D', 'AW1', 'T']
30.986331	31.049895	['AH0']
31.11346	31.494848	['W', 'EY1']
31.749107	31.876236	['D', 'UW1']
32.003366	32.130495	['AO1', 'R']
32.257625	32.511884	['D', 'AY1']
32.639013	33.910307	['N', 'AW1']
34.291695	34.418825	['S', 'T', 'EH1', 'P']
34.545954	34.673084	['AA1', 'N']
34.800213	34.927342	['T', 'UW1']
35.054472	35.118037	['DH', 'AH0']
35.181601	35.56299	['P', 'L', 'EY1']
35.817248	35.944378	['B', 'L', 'OW1']
36.071507	36.198637	['DH', 'AH0']
36.325766	36.707154	['D', 'AO1', 'R']
