start_time	end_time	syllable
8.79946	8.93977	['DH', 'EH1', 'R']
8.98654	9.126849	['W', 'AA1', 'Z']
9.173619	9.267158	['AH0']
9.313928	9.594547	['M', 'AE1', 'N']
9.641316	9.875165	['B', 'AE1', 'K']
9.968705	10.202554	['IH0', 'N']
10.342863	10.623481	['N', 'AY1', 'N']
10.623481	10.9041	['T', 'IH0', 'F']
10.9041	11.184719	['W', 'IH0']
11.184719	11.605647	['T', 'ER0']
12.073344	12.166884	['HH', 'UW1', 'Z']
12.353963	12.681351	['HH', 'AA1', 'R', 'T']
12.774891	12.9152	['R', 'AE1', 'N']
12.96197	13.055509	['AW1', 'T']
13.102279	13.195819	['AH1', 'V']
13.289358	13.382898	['S', 'AH1']
13.523207	13.897365	['M', 'ER0', 'Z']
13.990905	14.037674	['B', 'AH1', 'T']
14.084444	14.224754	['B', 'IH0']
14.318293	14.598912	['F', 'AO1', 'R']
14.785991	15.066609	['HH', 'IY1']
15.300458	15.674616	['D', 'AY1', 'D']
16.095544	16.235854	['AY1']
16.376163	16.750321	['AE1', 'S', 'K', 'T']
16.89063	17.124479	['HH', 'IH1', 'M']
17.311558	17.685716	['W', 'EY1', 'T']
17.872795	17.966335	['W', 'AH1', 'T', 'S']
18.059875	18.153414	['DH', 'AH0']
18.387263	18.714651	['S', 'EH1', 'N', 'S']
18.90173	19.182349	['IH0', 'N']
19.369428	19.930665	['L', 'AY1', 'F']
20.351593	20.445133	['K', 'AH1', 'M']
20.585442	20.725751	['OW1']
20.866061	21.05314	['V', 'ER0']
21.333758	21.754686	['M', 'IY1']
22.269154	22.409463	['K', 'AH1', 'M']
22.596542	22.736851	['OW1']
22.830391	23.157779	['V', 'ER0']
23.344858	23.952865	['M', 'IY1']
24.9818	25.02857	['HH', 'IY1']
25.12211	25.215649	['S', 'EH1', 'D']
25.402728	25.543037	['S', 'AH1', 'N']
25.823656	25.917196	['W', 'AY1']
25.963965	26.057505	['Y', 'UW1']
26.151044	26.244584	['G', 'AA1', 'T']
26.338123	26.431663	['T', 'UW1']
26.525203	26.759051	['S', 'IH1', 'NG']
26.9929	27.13321	['DH', 'AE1', 'T']
27.413828	27.928296	['T', 'UW1', 'N']
28.349223	28.442763	['K', 'AE1', 'CH']
28.583072	28.676612	['AH0']
28.770151	28.863691	['D', 'IH1']
29.004	29.14431	['L', 'AH0', 'N']
29.378158	29.518468	['S', 'AO1', 'NG']
29.845856	29.986165	['AO1', 'R']
30.173244	30.313554	['S', 'AH1', 'M']
30.407093	30.500633	['IH0']
30.687712	30.781251	['K', 'L', 'IH1', 'P', 'S']
30.874791	30.968331	['AH1', 'V']
31.06187	31.15541	['DH', 'AH0']
31.202179	31.763417	['M', 'UW1', 'N']
32.184344	32.277884	['L', 'EH1', 'T']
32.418193	32.511733	['AE1', 'N']
32.605272	32.698812	['EY1', 'N']
32.885891	33.0262	['JH', 'AH0', 'L']
33.400358	33.680977	['S', 'W', 'IH1', 'NG']
33.774517	34.242214	['AH0', 'N', 'D']
34.335754	34.803451	['M', 'EY1', 'K']
34.990531	35.364689	['Y', 'UW1']
35.364689	35.879156	['S', 'W', 'UW1', 'N']
36.533933	36.627472	['DH', 'EH1', 'N']
36.767782	36.861321	['Y', 'UW1']
37.001631	37.14194	['W', 'IH1', 'L']
37.422558	37.937026	['S', 'IY1']
38.778882	38.919191	['Y', 'UW1']
39.0595	39.19981	['W', 'IH1', 'L']
39.527198	40.041666	['S', 'IY1']
42.239845	42.286614	['DH', 'EH1', 'N']
42.380154	42.473693	['HH', 'IY1']
42.754312	43.0817	['S', 'EH1', 'D']
43.315549	43.970326	['HH', 'IH1', 'R', 'Z']
44.157405	44.625103	['AH0']
44.812182	44.952491	['R', 'IH1']
45.0928	45.326649	['D', 'AH0', 'L']
45.513728	45.841117	['F', 'AO1', 'R']
46.028196	46.355584	['Y', 'UW1']
47.337749	48.086066	['F', 'AY1', 'N', 'D']
48.273145	48.413454	['DH', 'AH0']
48.600533	48.974691	['AE1', 'N']
49.115	49.535928	['S', 'ER0']
49.816547	50.237475	['DH', 'EH1', 'R', 'Z']
50.377784	50.518094	['AH0']
50.658403	51.17287	['R', 'IY1']
51.31318	51.593798	['Z', 'AH0', 'N']
51.780877	52.155035	['F', 'AO1', 'R']
52.295345	52.388884	['DH', 'AH0']
52.575963	53.32428	['W', 'ER1', 'L', 'D']
54.166135	54.259675	['Y', 'UW1']
54.446754	54.540294	['AH0', 'N', 'D']
54.774142	56.036926	['AY1']
63.005622	63.28624	['P', 'IH1', 'K', 'T']
63.28624	63.473319	['AH1', 'P']
63.473319	63.707168	['M', 'AY1']
63.753938	63.987787	['K', 'IH1', 'D']
64.128096	64.361945	['F', 'R', 'AH1', 'M']
64.782873	65.25057	['S', 'K', 'UW1', 'L']
65.43765	65.531189	['T', 'AH0']
65.671498	66.045657	['D', 'EY1']
66.560124	66.653664	['D', 'IH1', 'D']
66.747203	66.840743	['Y', 'UW1']
66.934282	67.074591	['L', 'ER1', 'N']
67.214901	67.30844	['EH1']
67.40198	67.495519	['N', 'IY0']
67.682598	68.009987	['TH', 'IH2', 'NG']
68.150296	68.243836	['K', 'AA1', 'Z']
68.337375	68.430915	['IH0', 'N']
68.617994	68.711533	['DH', 'AH0']
68.898612	69.272771	['W', 'ER1', 'L', 'D']
69.41308	69.506619	['T', 'AH0']
69.693698	70.254936	['D', 'EY1']
70.348475	70.582324	['Y', 'UW1']
70.629094	70.722633	['K', 'AE1', 'N', 'T']
70.862943	71.003252	['L', 'AY1', 'V']
71.190331	71.283871	['IH0', 'N']
71.42418	71.517719	['AH0']
71.658029	71.938647	['K', 'AE1']
72.125726	72.453115	['S', 'AH0', 'L']
72.640194	72.967582	['F', 'AA1', 'R']
73.154661	73.38851	['AH0']
73.622359	74.136826	['W', 'EY1']
74.604524	74.698064	['N', 'AW1']
74.838373	74.931912	['T', 'AO1', 'K']
75.118992	75.306071	['T', 'UW1']
75.586689	76.147926	['M', 'IY1']
76.381775	76.662394	['K', 'AH1', 'M']
76.943012	77.036552	['T', 'AO1', 'K']
77.176861	77.317171	['T', 'UW1']
77.597789	78.252566	['M', 'IY1']
78.252566	78.392875	['HH', 'IY1']
78.486415	78.767033	['S', 'EH1', 'D']
78.907343	79.094422	['D', 'AE1', 'D']
79.234731	79.328271	['AY1', 'M']
79.608889	79.842738	['B', 'IH1', 'G']
80.029817	80.216896	['B', 'AH1', 'T']
80.403975	80.684594	['W', 'IY1', 'R']
80.731364	80.871673	['S', 'M', 'AO1']
80.965213	81.105522	['L', 'ER0']
81.199061	81.47968	['DH', 'AE1', 'N']
81.57322	81.994147	['S', 'M', 'AO1', 'L']
82.555385	82.648924	['IH0', 'N']
82.695694	82.789233	['DH', 'AH0']
82.882773	82.976313	['S', 'K', 'IY1', 'M']
83.256931	83.39724	['AH1', 'V']
83.631089	83.911708	['TH', 'IH1', 'NG', 'Z']
