start_time	end_time	syllable
4.8623	5.362777	['UW1']
8.866113	9.938563	['OW1']
12.869926	13.584893	['OW1']
14.013873	14.51435	['OW1']
16.301766	17.016733	['OW1']
17.517209	18.017686	['Y', 'AE1']
19.090136	19.161633	['Y', 'UW1']
19.161633	19.233129	['HH', 'AE1', 'V']
19.304626	19.447619	['S', 'OW1']
19.447619	19.662109	['M', 'EH1']
19.662109	19.805103	['N', 'IY0']
19.876599	20.091089	['R', 'IY0']
20.091089	20.234083	['L', 'EY1']
20.305579	20.448573	['SH', 'AH0', 'N']
20.520069	20.663063	['SH', 'IH2', 'P', 'S']
20.734559	20.806056	['IH0', 'N']
20.877553	20.949049	['DH', 'IH1', 'S']
21.092043	21.378029	['L', 'AY1', 'F']
21.807009	22.021499	['OW1', 'N']
22.092996	22.235989	['L', 'IY0']
22.378983	22.521976	['W', 'AH1', 'N']
22.593473	22.664969	['AO1', 'R']
22.807963	23.022453	['T', 'UW1']
23.093949	23.308439	['W', 'IH1', 'L']
23.379936	23.522929	['L', 'AE1', 'S', 'T']
23.880412	24.023406	['Y', 'UW1']
24.023406	24.166399	['G', 'OW1']
24.309392	24.523882	['TH', 'R', 'UW1']
24.595379	24.809869	['AO1', 'L']
24.881366	25.024359	['DH', 'AH0']
25.024359	25.310346	['P', 'EY1', 'N']
25.381842	25.524836	['AH0', 'N', 'D']
25.667829	25.882319	['S', 'T', 'R', 'AY1', 'F']
26.025312	26.096809	['DH', 'EH1', 'N']
26.168306	26.239802	['Y', 'UW1']
26.311299	26.525789	['T', 'ER1', 'N']
26.597286	26.668782	['Y', 'AO1', 'R']
26.740279	26.883272	['B', 'AE1', 'K']
27.026266	27.097762	['AH0', 'N', 'D']
27.169259	27.240756	['DH', 'EH1', 'R']
27.312252	27.598239	['G', 'AO1', 'N']
27.669736	27.812729	['S', 'OW1']
27.884226	28.527696	['F', 'AE1', 'S', 'T']
29.457152	29.671642	['OW1']
29.743139	29.957629	['Y', 'AE1']
31.602052	31.673549	['AH0', 'N', 'D']
31.673549	31.745045	['DH', 'EH1', 'R']
31.959535	32.531509	['G', 'AO1', 'N']
32.674502	33.031985	['S', 'OW1']
33.174979	33.675455	['F', 'AE1', 'S', 'T']
34.604912	35.534369	['Y', 'AE1']
36.964302	37.250289	['OW1']
37.464779	37.679269	['S', 'OW1']
37.679269	37.750765	['HH', 'OW1', 'L', 'D']
37.822262	37.965255	['AA1', 'N']
38.036752	38.108249	['T', 'UW1']
38.179745	38.251242	['DH', 'AH0']
38.394235	38.608725	['W', 'AH1', 'N', 'Z']
38.680222	38.823215	['HH', 'UW1']
38.823215	39.037705	['R', 'IH1']
39.109202	39.395188	['L', 'IY0']
39.395188	39.681175	['K', 'EH1', 'R']
40.038658	40.253148	['IH0', 'N']
40.324645	40.467638	['DH', 'AH0']
40.467638	40.682128	['EH1', 'N', 'D']
40.753625	40.825122	['DH', 'EY1', 'L']
40.896618	40.968115	['B', 'IY1']
41.039612	41.111108	['DH', 'AH0']
41.182605	41.325598	['OW1', 'N']
41.325598	41.468592	['L', 'IY0']
41.468592	41.611585	['W', 'AH1', 'N', 'Z']
41.683082	41.897572	['DH', 'EH1', 'R']
42.326552	42.398048	['W', 'EH1', 'N']
42.469545	42.541042	['Y', 'UW1']
42.612538	42.684035	['G', 'EH1', 'T']
42.755532	42.970022	['OW1', 'L', 'D']
43.184512	43.399002	['S', 'T', 'AA1', 'R', 'T']
43.470498	43.613492	['L', 'UW1']
43.613492	43.684988	['Z', 'IH0', 'NG']
43.756485	43.899478	['Y', 'AO1', 'R']
43.970975	44.328458	['HH', 'EH1', 'R']
44.900432	44.971928	['K', 'AE1', 'N']
45.043425	45.114922	['Y', 'UW1']
45.186418	45.329412	['T', 'EH1', 'L']
45.329412	45.543902	['M', 'IY1']
45.615398	46.187371	['HH', 'UW1']
46.258868	46.401861	['W', 'IH1', 'L']
46.473358	46.687848	['S', 'T', 'IH1', 'L']
46.902338	48.904245	['K', 'EH1', 'R']
49.476218	49.547715	['K', 'AE1', 'N']
49.619211	49.762205	['Y', 'UW1']
49.833701	49.905198	['T', 'EH1', 'L']
49.976695	50.119688	['M', 'IY1']
50.262681	50.763158	['HH', 'UW1']
50.834655	50.906151	['W', 'IH1', 'L']
51.120641	51.335131	['S', 'T', 'IH1', 'L']
51.478125	52.050098	['K', 'EH1', 'R']
52.908058	53.766018	['OW1']
54.123501	54.194998	['OW1']
54.409488	54.766971	['K', 'EY1']
54.981461	55.410441	['Y', 'AE1']
55.553434	55.982414	['EH1', 'M']
56.125408	56.268401	['B', 'AA1', 'P']
56.554388	56.625884	['B', 'AA1']
56.697381	56.768878	['D', 'UW1']
56.840374	56.911871	['B', 'AA1']
56.983368	57.054864	['D', 'AA1', 'P']
57.412348	57.769831	['B', 'AA1']
57.841328	58.270308	['D', 'UW1']
58.413301	58.627791	['W', 'AA1']
58.842281	58.913778	['B', 'AA1']
58.985274	59.056771	['D', 'UW1']
59.128268	59.199764	['B', 'AA1']
59.271261	59.557248	['D', 'AA1']
59.700241	60.057724	['B', 'AA1']
60.129221	60.629698	['D', 'UW1']
