start_time	end_time	syllable
15.874	15.983489	['AY1']
16.092978	16.421445	['K', 'AE1', 'N', 'T']
16.530934	16.640423	['G', 'EH1', 'T']
16.749912	16.859401	['Y', 'UW1']
16.968891	17.297358	['AW1', 'T']
17.406847	17.516336	['AH1', 'V']
17.625825	17.735314	['DH', 'AH0']
17.844803	18.17327	['S', 'AH1', 'N']
18.282759	18.611226	['L', 'AY2', 'T']
19.37765	19.487139	['AY1']
19.596628	19.925095	['K', 'AE1', 'N', 'T']
20.034584	20.144073	['G', 'EH1', 'T']
20.253562	20.363051	['Y', 'UW1']
20.47254	20.801007	['AW1', 'T']
20.910496	21.019985	['AH1', 'V']
21.129474	21.238964	['DH', 'AH0']
21.348453	21.67692	['R', 'EY1', 'N']
22.881299	22.990788	['AY1']
23.100277	23.428745	['K', 'AE1', 'N', 'T']
23.538234	23.647723	['G', 'EH1', 'T']
23.757212	23.866701	['Y', 'UW1']
23.97619	24.304657	['B', 'AE1', 'K']
24.414146	24.523635	['T', 'UW1']
24.633124	24.742613	['DH', 'AE1', 'T']
24.852102	25.180569	['W', 'AH1', 'N']
25.290058	25.618526	['T', 'AY1', 'M']
26.384949	26.494438	['K', 'AO1', 'S']
26.603927	26.713416	['Y', 'UW1']
26.822905	26.932394	['AH0', 'N', 'D']
27.041883	27.151372	['M', 'IY1']
27.260861	27.37035	['AA1', 'R']
27.479839	27.589328	['S', 'T', 'IH1', 'L']
27.698818	27.808307	['R', 'AH0']
27.917796	28.027285	['K', 'AH1']
28.136774	28.246263	['V', 'ER0']
28.355752	28.684219	['IH0', 'NG']
28.793708	28.903197	['S', 'OW1']
29.012686	29.341153	['L', 'EH1', 'T', 'S']
29.450642	29.779109	['JH', 'AH1', 'S', 'T']
30.107577	30.436044	['T', 'R', 'AY1']
30.545533	30.655022	['T', 'UW1']
30.764511	31.092978	['K', 'UW1', 'L']
31.202467	31.749912	['IH1', 'T']
31.859401	32.406847	['D', 'AW1', 'N']
33.17327	33.282759	['DH', 'AH0']
33.392248	33.720715	['F', 'AY1']
33.830204	33.939693	['T', 'IH0', 'NG']
34.049182	34.158672	['DH', 'IH1', 'S']
34.268161	34.596628	['F', 'IY1']
34.706117	34.815606	['L', 'IH0', 'NG']
34.925095	35.253562	['AH1', 'V']
35.363051	35.691518	['F', 'L', 'EY1', 'M', 'Z']
35.801007	35.910496	['S', 'OW1']
36.019985	36.348453	['L', 'EH1', 'T', 'S']
36.457942	36.786409	['JH', 'AH1', 'S', 'T']
37.114876	37.443343	['T', 'R', 'AY1']
37.552832	37.662321	['T', 'UW1']
37.77181	38.100277	['S', 'L', 'OW1']
38.209766	38.757212	['IH1', 'T']
38.866701	39.414146	['D', 'AW1', 'N']
40.180569	40.290058	['W', 'IY1']
40.399547	40.728015	['K', 'R', 'AE1', 'SH']
40.837504	40.946993	['W', 'EH1', 'N']
41.056482	41.165971	['W', 'IY1']
41.27546	44.012686	['R', 'EY1', 'S']
45.436044	45.545533	['OW1']
45.655022	45.983489	['DH', 'IH1', 'S']
46.092978	46.202467	['IH1', 'Z']
46.311956	46.421445	['N', 'AA1', 'T']
46.530934	46.640423	['DH', 'AH0']
46.749912	46.859401	['W', 'EY1']
46.968891	47.07838	['DH', 'AE1', 'T']
47.187869	47.297358	['IH1', 'T']
47.406847	47.516336	['SH', 'UH1']
47.625825	47.954292	['D', 'AH0', 'N', 'T']
48.063781	48.17327	['IH1', 'T', 'S']
48.282759	48.392248	['DH', 'AH0']
48.501737	48.611226	['W', 'EY1']
48.720715	48.830204	['IH1', 'T']
48.939693	49.049182	['SH', 'UH1', 'D']
49.158672	49.268161	['B', 'IH0']
49.37765	49.706117	['G', 'IH1', 'N']
49.815606	49.925095	['IH1', 'T', 'S']
50.034584	50.144073	['DH', 'AH0']
50.253562	50.363051	['W', 'EY1']
50.47254	50.582029	['IH1', 'T']
50.691518	50.801007	['SH', 'UH1', 'D']
50.910496	51.019985	['B', 'IH0']
51.129474	51.457942	['G', 'IH1', 'N']
51.786409	52.114876	['AH0']
52.224365	52.552832	['G', 'EH1', 'N']
52.662321	52.77181	['N', 'OW1']
53.100277	53.209766	['AY1']
53.319255	53.428745	['N', 'EH1']
53.538234	53.647723	['V', 'ER0']
53.757212	53.866701	['W', 'AA1']
53.97619	54.085679	['N', 'AH0']
54.195168	54.304657	['F', 'AO1', 'L']
54.414146	54.523635	['AH0']
54.633124	54.961591	['P', 'AA1', 'R', 'T']
55.07108	55.180569	['N', 'EH1']
55.290058	55.399547	['V', 'ER0']
55.509036	55.618526	['W', 'AA1']
55.728015	55.837504	['N', 'AH0']
55.946993	56.056482	['B', 'R', 'EY1', 'K']
56.165971	56.27546	['Y', 'AO1', 'R']
56.384949	56.713416	['HH', 'AA1', 'R', 'T']
56.822905	56.932394	['N', 'EH1']
57.041883	57.151372	['V', 'ER0']
57.260861	57.37035	['W', 'AA1']
57.479839	57.589328	['N', 'AH0']
57.698818	57.808307	['L', 'EH1', 'T']
57.917796	58.027285	['Y', 'UW1']
58.136774	58.465241	['B', 'R', 'EY1', 'K']
58.793708	59.122175	['M', 'AY1']
59.231664	59.560131	['OW1', 'N']
59.66962	59.998088	['Y', 'EH1', 'S']
60.107577	60.217066	['AY1']
60.326555	60.436044	['N', 'OW1']
60.545533	60.655022	['W', 'IY1', 'V']
60.764511	60.874	['S', 'EH1', 'D']
60.983489	61.092978	['AH0']
61.202467	61.311956	['L', 'AA1', 'T']
61.421445	61.530934	['AH1', 'V']
61.640423	61.968891	['TH', 'IH1', 'NG', 'Z']
62.07838	62.187869	['DH', 'AE1', 'T']
62.297358	62.406847	['W', 'IY1']
62.516336	62.625825	['P', 'R', 'AA1']
62.735314	62.844803	['B', 'AH0']
62.735314	62.844803	['B', 'L', 'IY0']
62.954292	63.282759	['D', 'IH1']
62.954292	63.282759	['D', 'AH0', 'N', 'T']
63.392248	63.720715	['M', 'IY1', 'N']
63.830204	63.939693	['B', 'AH1', 'T']
64.049182	64.158672	['IH1', 'T', 'S']
64.268161	64.37765	['N', 'AA1', 'T']
64.487139	64.596628	['T', 'UW1']
64.706117	64.815606	['L', 'EY1', 'T']
64.925095	65.034584	['T', 'UW1']
65.144073	65.47254	['T', 'EY1', 'K']
65.801007	66.129474	['DH', 'EH1', 'M']
66.238964	66.567431	['B', 'AE1', 'K']
66.67692	66.786409	['S', 'OW1']
67.114876	67.224365	['B', 'IH0']
67.333854	67.443343	['F', 'AO1', 'R']
67.552832	67.662321	['Y', 'UW1']
67.77181	67.881299	['S', 'EY1']
67.990788	68.100277	['Y', 'UH1', 'R']
68.209766	68.319255	['G', 'AA1']
68.428745	68.538234	['N', 'AH0']
68.647723	68.97619	['G', 'OW1']
69.085679	69.195168	['AY1']
69.304657	69.414146	['SH', 'UH1', 'D']
69.523635	69.633124	['P', 'R', 'AA1']
69.742613	69.852102	['B', 'AH0']
69.742613	69.852102	['B', 'L', 'IY0']
69.961591	70.07108	['L', 'EH1', 'T']
70.180569	70.290058	['Y', 'UW1']
70.399547	70.728015	['N', 'OW1']
70.837504	70.946993	['DH', 'AE1', 'T']
71.056482	71.165971	['AY1']
71.27546	71.384949	['N', 'EH1']
71.494438	71.603927	['V', 'ER0']
71.713416	72.041883	['N', 'UW1']
72.151372	72.479839	['W', 'AH1', 'T']
72.808307	73.136774	['AY1']
73.246263	73.793708	['HH', 'AE1', 'D']
74.560131	74.66962	['AY1']
74.779109	74.888599	['N', 'EH1']
74.998088	75.107577	['V', 'ER0']
75.217066	75.545533	['N', 'UW1']
75.655022	75.983489	['W', 'AH1', 'T']
76.311956	76.640423	['AY1']
76.749912	78.17327	['HH', 'AE1', 'D']
82.443343	82.552832	['S', 'IY1']
82.662321	82.990788	['AY1']
83.100277	83.209766	['L', 'UH1', 'K']
83.319255	83.428745	['F', 'AO1', 'R']
83.538234	83.866701	['Y', 'UW1']
83.97619	84.085679	['IH0', 'N']
84.195168	84.304657	['DH', 'AH0']
84.414146	84.742613	['M', 'AO1', 'R']
84.852102	85.180569	['N', 'IH0', 'NG']
85.946993	86.056482	['K', 'AO1', 'S']
86.165971	86.494438	['DH', 'AE1', 'T', 'S']
86.603927	86.713416	['W', 'AH1', 'T']
86.822905	86.932394	['M', 'AY1']
87.041883	87.37035	['M', 'AY1', 'N', 'D']
87.479839	87.589328	['AO1', 'L']
87.698818	88.027285	['W', 'EY2', 'Z']
88.136774	88.465241	['K', 'AO1', 'L', 'Z']
89.450642	89.560131	['AH0', 'N', 'D']
89.66962	89.779109	['AY1']
89.888599	89.998088	['K', 'AE1', 'N', 'T']
90.107577	90.217066	['W', 'EY1', 'T']
90.326555	90.436044	['T', 'UW1']
90.545533	90.874	['G', 'EH1', 'T']
90.983489	91.092978	['T', 'UW1']
91.202467	91.311956	['DH', 'AH0']
91.421445	91.749912	['IY1', 'V']
91.859401	92.625825	['N', 'IH0', 'NG']
92.954292	93.063781	['K', 'AO1', 'S']
93.17327	93.501737	['DH', 'AE1', 'T', 'S']
93.611226	93.720715	['W', 'EH1', 'N']
93.830204	93.939693	['AY1']
94.049182	94.37765	['W', 'AA1', 'N', 'T']
94.487139	94.596628	['Y', 'UW1']
94.706117	94.815606	['DH', 'AH0']
94.925095	95.253562	['M', 'OW1', 'S', 'T']
95.363051	95.47254	['S', 'OW1']
95.582029	95.910496	['L', 'EH1', 'T', 'S']
96.019985	96.348453	['JH', 'AH1', 'S', 'T']
96.67692	97.005387	['T', 'R', 'AY1']
97.114876	97.224365	['T', 'UW1']
97.333854	97.662321	['K', 'UW1', 'L']
97.77181	98.319255	['IH1', 'T']
98.428745	98.97619	['D', 'AW1', 'N']
99.742613	99.852102	['DH', 'AH0']
99.961591	100.290058	['F', 'AY1']
100.399547	100.509036	['T', 'IH0', 'NG']
100.618526	100.728015	['DH', 'IH1', 'S']
100.837504	101.165971	['F', 'IY1']
101.27546	101.384949	['L', 'IH0', 'NG']
101.494438	101.822905	['AH1', 'V']
101.932394	102.260861	['F', 'L', 'EY1', 'M', 'Z']
102.37035	102.479839	['S', 'OW1']
102.589328	102.917796	['L', 'EH1', 'T', 'S']
103.027285	103.355752	['JH', 'AH1', 'S', 'T']
103.684219	104.012686	['T', 'R', 'AY1']
104.122175	104.231664	['T', 'UW1']
104.341153	104.66962	['S', 'L', 'OW1']
104.779109	105.326555	['IH1', 'T']
105.436044	105.983489	['D', 'AW1', 'N']
106.749912	106.859401	['W', 'IY1']
106.968891	107.297358	['K', 'R', 'AE1', 'SH']
107.406847	107.516336	['W', 'EH1', 'N']
107.625825	107.735314	['W', 'IY1']
107.844803	110.363051	['R', 'EY1', 'S']
112.005387	112.114876	['OW1']
112.224365	112.552832	['DH', 'IH1', 'S']
112.662321	112.77181	['IH1', 'Z']
112.881299	112.990788	['N', 'AA1', 'T']
113.100277	113.209766	['DH', 'AH0']
113.319255	113.428745	['W', 'EY1']
113.538234	113.647723	['DH', 'AE1', 'T']
113.757212	113.866701	['IH1', 'T']
113.97619	114.085679	['SH', 'UH1']
114.195168	114.523635	['D', 'AH0', 'N', 'T']
114.633124	114.742613	['IH1', 'T', 'S']
114.852102	114.961591	['DH', 'AH0']
115.07108	115.180569	['W', 'EY1']
115.290058	115.399547	['IH1', 'T']
115.509036	115.618526	['SH', 'UH1', 'D']
115.728015	115.837504	['B', 'IH0']
115.946993	116.27546	['G', 'IH1', 'N']
116.384949	116.494438	['IH1', 'T', 'S']
116.603927	116.713416	['DH', 'AH0']
116.822905	116.932394	['W', 'EY1']
117.041883	117.151372	['IH1', 'T']
117.260861	117.37035	['SH', 'UH1', 'D']
117.479839	117.589328	['B', 'IH0']
117.698818	118.027285	['G', 'IH1', 'N']
118.355752	118.684219	['AH0']
118.793708	119.122175	['G', 'EH1', 'N']
119.231664	119.341153	['N', 'OW1']
119.66962	119.779109	['AY1']
119.888599	119.998088	['N', 'EH1']
120.107577	120.217066	['V', 'ER0']
120.326555	120.436044	['W', 'AA1']
120.545533	120.655022	['N', 'AH0']
120.764511	120.874	['F', 'AO1', 'L']
120.983489	121.092978	['AH0']
121.202467	121.530934	['P', 'AA1', 'R', 'T']
121.640423	121.749912	['N', 'EH1']
121.859401	121.968891	['V', 'ER0']
122.07838	122.187869	['W', 'AA1']
122.297358	122.406847	['N', 'AH0']
122.516336	122.625825	['B', 'R', 'EY1', 'K']
122.735314	122.844803	['Y', 'AO1', 'R']
122.954292	123.282759	['HH', 'AA1', 'R', 'T']
123.392248	123.501737	['N', 'EH1']
123.611226	123.720715	['V', 'ER0']
123.830204	123.939693	['W', 'AA1']
124.049182	124.158672	['N', 'AH0']
124.268161	124.37765	['L', 'EH1', 'T']
124.487139	124.596628	['Y', 'UW1']
124.706117	125.034584	['B', 'R', 'EY1', 'K']
125.363051	125.691518	['M', 'AY1']
125.801007	126.129474	['OW1', 'N']
126.238964	126.567431	['Y', 'EH1', 'S']
126.67692	126.786409	['AY1']
126.895898	127.005387	['N', 'OW1']
127.114876	127.224365	['W', 'IY1', 'V']
127.333854	127.443343	['S', 'EH1', 'D']
127.552832	127.662321	['AH0']
127.77181	127.881299	['L', 'AA1', 'T']
127.990788	128.100277	['AH1', 'V']
128.209766	128.538234	['TH', 'IH1', 'NG', 'Z']
128.647723	128.757212	['DH', 'AE1', 'T']
128.866701	128.97619	['W', 'IY1']
129.085679	129.195168	['P', 'R', 'AA1']
129.304657	129.414146	['B', 'AH0']
129.304657	129.414146	['B', 'L', 'IY0']
129.523635	129.852102	['D', 'IH1']
129.523635	129.852102	['D', 'AH0', 'N', 'T']
129.961591	130.290058	['M', 'IY1', 'N']
130.399547	130.509036	['B', 'AH1', 'T']
130.618526	130.728015	['IH1', 'T', 'S']
130.837504	130.946993	['N', 'AA1', 'T']
131.056482	131.165971	['T', 'UW1']
131.27546	131.384949	['L', 'EY1', 'T']
131.494438	131.603927	['T', 'UW1']
131.713416	132.041883	['T', 'EY1', 'K']
132.37035	132.698818	['DH', 'EH1', 'M']
132.808307	133.136774	['B', 'AE1', 'K']
133.246263	133.355752	['S', 'OW1']
133.684219	133.793708	['B', 'IH0']
133.903197	134.012686	['F', 'AO1', 'R']
134.122175	134.231664	['Y', 'UW1']
134.341153	134.450642	['S', 'EY1']
134.560131	134.66962	['Y', 'UH1', 'R']
134.779109	134.888599	['G', 'AA1']
134.998088	135.107577	['N', 'AH0']
135.217066	135.545533	['G', 'OW1']
135.655022	135.764511	['AY1']
135.874	135.983489	['SH', 'UH1', 'D']
136.092978	136.202467	['P', 'R', 'AA1']
136.311956	136.421445	['B', 'AH0']
136.311956	136.421445	['B', 'L', 'IY0']
136.530934	136.640423	['L', 'EH1', 'T']
136.749912	136.859401	['Y', 'UW1']
136.968891	137.297358	['N', 'OW1']
137.406847	137.516336	['DH', 'AE1', 'T']
137.625825	137.735314	['AY1']
137.844803	137.954292	['N', 'EH1']
138.063781	138.17327	['V', 'ER0']
138.282759	138.611226	['N', 'UW1']
138.720715	139.049182	['W', 'AH1', 'T']
139.37765	139.706117	['AY1']
139.815606	140.363051	['HH', 'AE1', 'D']
141.129474	141.238964	['AY1']
141.348453	141.457942	['N', 'EH1']
141.567431	141.67692	['V', 'ER0']
141.786409	142.114876	['N', 'UW1']
142.224365	142.552832	['W', 'AH1', 'T']
142.881299	143.209766	['AY1']
143.319255	144.742613	['HH', 'AE1', 'D']
147.698818	147.808307	['B', 'AH1', 'T']
147.917796	148.027285	['AY1']
148.136774	148.465241	['N', 'OW1']
148.57473	148.903197	['IH1', 'T']
149.012686	150.436044	['N', 'AW1']
152.516336	152.625825	['AY1']
152.735314	152.844803	['W', 'IH1', 'SH']
152.954292	153.063781	['AY1']
153.17327	153.282759	['W', 'UH1']
153.392248	153.501737	['D', 'AH0', 'V']
153.611226	153.939693	['N', 'OW1']
154.049182	154.158672	['B', 'IH0']
154.268161	154.37765	['F', 'AO1', 'R']
155.363051	155.691518	['HH', 'AW1']
155.801007	156.348453	['G', 'UH1', 'D']
157.114876	157.443343	['W', 'IY1']
157.552832	158.538234	['W', 'ER0']
161.494438	161.603927	['AO1', 'R']
161.713416	161.822905	['IH1', 'Z']
161.932394	162.041883	['IH1', 'T']
162.151372	162.479839	['T', 'UW1']
162.589328	163.136774	['L', 'EY1', 'T']
163.684219	163.793708	['T', 'UW1']
163.903197	164.231664	['K', 'AH1', 'M']
164.341153	165.326555	['B', 'AE1', 'K']
166.530934	166.640423	['AO1', 'R']
166.749912	166.859401	['IH1', 'Z']
166.968891	167.07838	['IH1', 'T', 'S']
167.187869	167.297358	['R', 'IH1']
167.406847	167.516336	['L', 'IY0']
167.625825	167.954292	['OW1']
168.063781	168.611226	['V', 'ER0']
170.253562	170.363051	['IH1', 'F']
170.47254	170.582029	['IH1', 'T', 'S']
170.691518	170.801007	['R', 'IH1']
170.910496	171.019985	['L', 'IY0']
171.129474	171.457942	['OW1']
171.567431	174.085679	['V', 'ER0']
175.07108	175.180569	['OW1']
175.290058	175.618526	['DH', 'IH1', 'S']
175.728015	175.837504	['IH1', 'Z']
175.946993	176.056482	['N', 'AA1', 'T']
176.165971	176.27546	['DH', 'AH0']
176.384949	176.494438	['W', 'EY1']
176.603927	176.713416	['DH', 'AE1', 'T']
176.822905	176.932394	['IH1', 'T']
177.041883	177.151372	['SH', 'UH1']
177.260861	177.589328	['D', 'AH0', 'N', 'T']
177.698818	177.808307	['IH1', 'T', 'S']
177.917796	178.027285	['DH', 'AH0']
178.136774	178.246263	['W', 'EY1']
178.355752	178.465241	['IH1', 'T']
178.57473	178.684219	['SH', 'UH1', 'D']
178.793708	178.903197	['B', 'IH0']
179.012686	179.341153	['G', 'IH1', 'N']
179.450642	179.560131	['IH1', 'T', 'S']
179.66962	179.779109	['DH', 'AH0']
179.888599	179.998088	['W', 'EY1']
180.107577	180.217066	['IH1', 'T']
180.326555	180.436044	['SH', 'UH1', 'D']
180.545533	180.655022	['B', 'IH0']
180.764511	181.092978	['G', 'IH1', 'N']
181.421445	181.749912	['AH0']
181.859401	182.187869	['G', 'EH1', 'N']
182.297358	182.406847	['N', 'OW1']
182.735314	182.844803	['AY1']
182.954292	183.063781	['N', 'EH1']
183.17327	183.282759	['V', 'ER0']
183.392248	183.501737	['W', 'AA1']
183.611226	183.720715	['N', 'AH0']
183.830204	183.939693	['F', 'AO1', 'L']
184.049182	184.158672	['AH0']
184.268161	184.596628	['P', 'AA1', 'R', 'T']
184.706117	184.815606	['N', 'EH1']
184.925095	185.034584	['V', 'ER0']
185.144073	185.253562	['W', 'AA1']
185.363051	185.47254	['N', 'AH0']
185.582029	185.691518	['B', 'R', 'EY1', 'K']
185.801007	185.910496	['Y', 'AO1', 'R']
186.019985	186.348453	['HH', 'AA1', 'R', 'T']
186.457942	186.567431	['N', 'EH1']
186.67692	186.786409	['V', 'ER0']
186.895898	187.005387	['W', 'AA1']
187.114876	187.224365	['N', 'AH0']
187.333854	187.443343	['L', 'EH1', 'T']
187.552832	187.662321	['Y', 'UW1']
187.77181	188.100277	['B', 'R', 'EY1', 'K']
188.428745	188.757212	['M', 'AY1']
188.866701	189.195168	['OW1', 'N']
189.304657	189.633124	['Y', 'EH1', 'S']
189.742613	189.852102	['AY1']
189.961591	190.07108	['N', 'OW1']
190.180569	190.290058	['W', 'IY1', 'V']
190.399547	190.509036	['S', 'EH1', 'D']
190.618526	190.728015	['AH0']
190.837504	190.946993	['L', 'AA1', 'T']
191.056482	191.165971	['AH1', 'V']
191.27546	191.603927	['TH', 'IH1', 'NG', 'Z']
191.713416	191.822905	['DH', 'AE1', 'T']
191.932394	192.041883	['W', 'IY1']
192.151372	192.260861	['P', 'R', 'AA1']
192.37035	192.479839	['B', 'AH0']
192.37035	192.479839	['B', 'L', 'IY0']
192.589328	192.917796	['D', 'IH1']
192.589328	192.917796	['D', 'AH0', 'N', 'T']
193.027285	193.355752	['M', 'IY1', 'N']
193.465241	193.57473	['B', 'AH1', 'T']
193.684219	193.793708	['IH1', 'T', 'S']
193.903197	194.012686	['N', 'AA1', 'T']
194.122175	194.231664	['T', 'UW1']
194.341153	194.450642	['L', 'EY1', 'T']
194.560131	194.66962	['T', 'UW1']
194.779109	195.107577	['T', 'EY1', 'K']
195.436044	195.764511	['DH', 'EH1', 'M']
195.874	196.202467	['B', 'AE1', 'K']
196.311956	196.421445	['S', 'OW1']
196.749912	196.859401	['B', 'IH0']
196.968891	197.07838	['F', 'AO1', 'R']
197.187869	197.297358	['Y', 'UW1']
197.406847	197.516336	['S', 'EY1']
197.625825	197.735314	['Y', 'UH1', 'R']
197.844803	197.954292	['G', 'AA1']
198.063781	198.17327	['N', 'AH0']
198.282759	198.611226	['G', 'OW1']
198.720715	198.830204	['AY1']
198.939693	199.049182	['SH', 'UH1', 'D']
199.158672	199.268161	['P', 'R', 'AA1']
199.37765	199.487139	['B', 'AH0']
199.37765	199.487139	['B', 'L', 'IY0']
199.596628	199.706117	['L', 'EH1', 'T']
199.815606	199.925095	['Y', 'UW1']
200.034584	200.363051	['N', 'OW1']
200.47254	200.582029	['DH', 'AE1', 'T']
200.691518	200.801007	['AY1']
200.910496	201.019985	['N', 'EH1']
201.129474	201.238964	['V', 'ER0']
201.348453	201.67692	['N', 'UW1']
201.786409	202.114876	['W', 'AH1', 'T']
202.443343	202.77181	['AY1']
202.881299	203.428745	['HH', 'AE1', 'D']
204.195168	204.304657	['AY1']
204.414146	204.523635	['N', 'EH1']
204.633124	204.742613	['V', 'ER0']
204.852102	205.180569	['N', 'UW1']
205.290058	205.618526	['W', 'AH1', 'T']
205.946993	206.27546	['AY1']
206.384949	206.713416	['HH', 'AE1', 'D']
207.698818	207.808307	['AY1']
207.917796	208.027285	['N', 'EH1']
208.136774	208.246263	['V', 'ER0']
208.355752	208.684219	['N', 'UW1']
208.793708	209.122175	['W', 'AH1', 'T']
209.450642	209.779109	['AY1']
209.888599	210.655022	['HH', 'AE1', 'D']
211.202467	211.311956	['AY1']
211.421445	211.530934	['N', 'EH1']
211.640423	211.749912	['V', 'ER0']
211.859401	212.187869	['N', 'UW1']
212.297358	212.625825	['W', 'AH1', 'T']
212.954292	213.282759	['AY1']
213.392248	213.939693	['HH', 'AE1', 'D']
214.706117	214.815606	['AY1']
214.925095	215.034584	['N', 'EH1']
215.144073	215.253562	['V', 'ER0']
215.363051	215.691518	['N', 'UW1']
215.801007	216.129474	['W', 'AH1', 'T']
216.457942	216.786409	['AY1']
216.895898	217.881299	['HH', 'AE1', 'D']
219.742613	219.852102	['AY1']
219.961591	220.290058	['N', 'EH1']
220.399547	220.728015	['V', 'ER0']
