start_time	end_time	syllable
5.6	5.749447	['IH0']
5.898894	6.048341	['M', 'AE1']
6.197788	6.347235	['JH', 'AH0']
6.496682	6.646129	['N', 'IH0', 'NG']
6.795576	6.945023	['Y', 'UH1', 'R']
7.09447	7.692259	['F', 'AA1', 'R']
7.766982	7.991153	['AH0']
8.065876	8.962559	['W', 'EY1']
10.830647	11.054817	['S', 'ER1']
11.129541	11.353711	['CH', 'IH0', 'NG']
11.428435	11.577882	['F', 'AO1', 'R']
11.727329	11.876776	['DH', 'AH0']
12.026223	12.549288	['W', 'ER1', 'D', 'Z']
12.624011	12.698735	['T', 'UW1']
12.922905	14.193205	['S', 'EY1']
15.388782	15.463505	['AY1']
15.687676	15.911846	['F', 'IY1', 'L']
15.98657	16.136017	['IH1', 'T']
16.285464	16.509634	['W', 'EH1', 'N']
16.584358	16.733805	['Y', 'UW1']
16.883252	17.48104	['F', 'AO1', 'L']
17.555764	17.705211	['AH0']
17.854658	19.423852	['P', 'AA1', 'R', 'T']
20.320534	20.544705	['AW1']
20.320534	20.544705	['ER0']
20.619428	20.843599	['L', 'IH1', 'V', 'Z']
20.918322	21.142493	['AA1', 'R']
21.217216	21.366663	['AH0']
21.51611	22.338069	['G', 'R', 'EY1']
22.412793	22.56224	['T', 'AH0', 'S', 'T']
22.711687	23.533646	['AA1', 'R', 'T']
24.280881	24.803945	['AY1']
24.878669	25.32701	['D', 'OW1', 'N', 'T']
25.476457	25.999522	['W', 'AA1']
26.074245	26.373139	['N', 'AH0']
26.746757	27.195098	['CH', 'EY1', 'N', 'JH']
27.269822	27.419269	['Y', 'AO1', 'R']
27.568716	28.315951	['M', 'AY1', 'N', 'D']
28.839016	28.988463	['K', 'AA1', 'Z']
29.13791	29.660974	['AY1']
29.735698	30.109316	['AE0', 'K']
30.333486	30.781827	['S', 'EH1', 'P', 'T']
30.931274	31.155445	['Y', 'UW1']
31.230168	32.052127	['F', 'AO1', 'R']
32.799362	33.023533	['EH1', 'V']
33.098256	33.322427	['R', 'IY0']
33.397151	33.621321	['TH', 'IH2', 'NG']
33.696045	33.920215	['Y', 'UW1']
33.994939	34.144386	['AA1', 'R']
34.592727	34.966345	['AH0', 'N', 'D']
35.190515	35.564133	['W', 'IH1', 'L']
35.788303	36.087197	['B', 'IY1']
36.386091	36.909156	['S', 'T', 'EY1']
36.98388	37.357497	['HH', 'IY1', 'R']
37.581668	38.030009	['W', 'IH1', 'DH']
38.179456	38.328903	['M', 'IY1']
38.47835	39.74865	['N', 'AW1']
40.346438	41.691462	['HH', 'AA1']
42.139803	42.363973	['DH', 'AH0']
42.438697	42.662867	['OW1', 'N']
42.737591	42.887038	['L', 'IY0']
43.036485	43.260656	['TH', 'IH1', 'NG']
43.335379	44.232061	['DH', 'AE1', 'T']
44.530955	44.755126	['AA1', 'R']
44.82985	44.979297	['HH', 'AA1', 'R', 'T', 'S']
45.128744	45.352914	['AA1', 'R']
45.427638	45.651808	['M', 'EY1', 'D']
45.726532	47.071555	['AH1', 'V']
47.445173	47.744067	['AA1', 'R']
47.81879	47.968238	['DH', 'AH0']
48.042961	48.491302	['AE1', 'K', 'T', 'S']
48.715473	48.86492	['AH1', 'V']
49.014367	49.163814	['F', 'ER0']
49.238537	49.686879	['G', 'IH1', 'V']
49.985773	50.13522	['N', 'AH0', 'S']
50.284667	50.434114	['AH0', 'N', 'D']
50.508837	51.181349	['L', 'AH1', 'V']
51.704414	51.928584	['DH', 'AH0']
52.003308	52.227478	['OW1', 'N']
52.302202	52.451649	['L', 'IY0']
52.601096	52.825267	['TH', 'IH1', 'NG']
52.89999	53.796672	['R', 'IY1', 'L']
54.095566	54.319737	['W', 'EH1', 'N']
54.39446	54.543908	['P', 'UH1', 'SH']
54.693355	54.917525	['K', 'AH1', 'M', 'Z']
54.992249	55.216419	['T', 'UW1']
55.291143	56.71089	['SH', 'AH1', 'V']
57.084507	57.308678	['AA1', 'R']
57.458125	57.682296	['DH', 'AH0']
57.757019	58.130637	['AE1', 'K', 'T', 'S']
58.354807	58.504254	['AH1', 'V']
58.653701	58.877872	['F', 'ER0']
58.952595	59.326213	['G', 'IH1', 'V']
59.47566	59.699831	['N', 'AH0', 'S']
59.774554	59.998725	['AH0', 'N', 'D']
60.073448	60.820683	['L', 'AH1', 'V']
61.269025	61.493195	['K', 'AA1', 'Z']
61.567919	61.792089	['IH0', 'N']
61.866813	62.389877	['DH', 'AH0']
62.464601	63.137113	['EH1', 'N', 'D']
63.361283	63.585454	['N', 'OW1']
63.660177	63.884348	['W', 'AH1', 'N']
63.959071	64.183242	['L', 'UW1']
64.257966	64.407413	['Z', 'AH0', 'Z']
64.55686	64.706307	['AO1', 'R']
64.855754	65.528265	['W', 'IH1', 'N', 'Z']
65.976607	66.05133	['DH', 'AH0']
66.275501	66.499671	['S', 'T', 'AO1']
66.574395	66.723842	['R', 'IY0']
66.873289	67.097459	['B', 'IH0']
67.172183	68.143589	['G', 'IH1', 'N', 'Z']
68.367759	68.59193	['AH0']
68.666653	68.890824	['G', 'EH1', 'N']
68.965547	69.189718	['AH0', 'N', 'D']
69.264442	69.488612	['AH0']
69.563336	71.805041	['G', 'EH1', 'N']
72.851171	73.075341	['W', 'IH1', 'DH']
73.150065	73.374235	['F', 'ER0']
73.448959	73.673129	['G', 'IH1', 'V']
73.747853	73.972024	['N', 'AH0', 'S']
74.046747	74.270918	['AH0', 'N', 'D']
74.345641	75.39177	['L', 'AH1', 'V']
75.615941	75.690665	['AH1']
75.765388	76.139006	['OW1']
76.213729	77.334582	['AH1']
77.857647	78.007094	['Y', 'UW1']
78.081817	78.305988	['D', 'OW1', 'N', 'T']
78.380711	78.604882	['EH1']
78.679605	78.903776	['V', 'ER0']
78.9785	79.20267	['HH', 'AE1', 'V']
79.277394	79.501564	['T', 'UW1']
79.576288	80.099352	['R', 'EH1', 'D']
80.174076	80.323523	['M', 'AY1']
80.47297	81.817993	['M', 'AY1', 'N', 'D']
82.714676	82.938846	['Y', 'UW1']
83.01357	83.23774	['K', 'AE1', 'N']
83.312464	83.461911	['S', 'IY1']
83.611358	83.760805	['IH1', 'T']
83.910252	84.059699	['W', 'EH1', 'N']
84.209146	84.358593	['Y', 'UW1']
84.50804	85.031105	['K', 'L', 'OW1', 'S']
85.105828	85.180552	['Y', 'AO1', 'R']
85.404723	86.675022	['AY1', 'Z']
87.571705	87.795875	['D', 'OW1', 'N', 'T']
87.870599	88.094769	['B', 'IH0']
88.169493	88.393663	['L', 'IY1', 'V']
88.468387	88.692558	['IH1', 'T']
88.767281	88.991452	['W', 'EH1', 'N']
89.066175	89.290346	['Y', 'UW1']
89.365069	90.112304	['L', 'UW1', 'S']
90.261752	90.336475	['Y', 'AO1', 'R']
90.635369	91.457328	['F', 'EY1', 'T']
92.204563	92.428734	['AH0']
92.503457	92.727628	['N', 'AH1']
92.802351	93.026522	['DH', 'ER0']
93.101245	93.250692	['M', 'OW1']
93.400139	93.62431	['M', 'AH0', 'N', 'T']
93.699034	93.923204	['IH1', 'Z']
93.997928	94.222098	['AH0']
94.296822	94.520992	['M', 'OW1']
94.595716	94.819886	['M', 'AH0', 'N', 'T']
94.89461	95.118781	['AH0']
95.193504	96.015463	['W', 'EY1']
96.762698	97.285763	['AY1']
97.360486	97.808827	['K', 'AE1', 'N', 'T']
97.958274	98.481339	['T', 'EH1', 'L']
98.556063	98.854957	['Y', 'UW1']
99.153851	99.676915	['W', 'AH1', 'T']
99.751639	100.125257	['DH', 'AH0']
100.349427	100.797768	['F', 'Y', 'UW1']
100.947215	101.171386	['CH', 'ER0']
101.619727	102.142792	['HH', 'OW1', 'L', 'D', 'Z']
102.516409	102.665856	['AO1', 'R']
102.815303	103.338368	['HH', 'AW1']
103.413092	103.562539	['T', 'UW1']
103.711986	104.832838	['L', 'AY1', 'V']
105.28118	105.50535	['AO1', 'L']
105.580074	105.804244	['AY1']
105.878968	106.103138	['N', 'OW1']
106.177862	106.402032	['IH1', 'Z']
106.476756	106.850374	['W', 'AH1', 'T']
106.999821	107.373438	['F', 'IY1', 'L', 'Z']
107.597609	108.04595	['R', 'AY1', 'T']
