start_time	end_time	syllable
0.452	0.792909	['AE1', 'K']
0.963364	1.304273	['S', 'AH0']
1.474727	1.730409	['D', 'AH0', 'N', 'T', 'S']
1.815636	2.071318	['AW1', 'T']
2.327	2.753136	['AA1', 'N']
2.838364	2.923591	['DH', 'AH0']
3.179273	3.605409	['HH', 'AY1']
3.690636	4.116773	['W', 'EY2']
4.202	4.287227	['T', 'UW1']
4.542909	4.969045	['S', 'AH1', 'M']
5.054273	5.224727	['W', 'EH2', 'R']
5.565636	5.821318	['DH', 'EY1']
5.906545	6.332682	['T', 'EH1', 'L']
6.417909	6.758818	['AH1', 'S']
6.929273	7.184955	['AH0']
7.270182	7.696318	['B', 'AW1', 'T']
7.781545	8.207682	['W', 'EH1', 'N']
8.292909	8.8895	['W', 'IY1', 'R']
8.974727	9.741773	['Y', 'AH1', 'NG']
11.361091	11.702	['R', 'EH1']
11.872455	12.298591	['S', 'K', 'Y', 'UW2']
12.383818	12.6395	['ER0', 'Z']
12.724727	13.150864	['W', 'ER1']
13.236091	13.662227	['K', 'IH0', 'NG']
13.747455	13.917909	['T', 'UW1']
14.088364	14.5145	['K', 'L', 'IY1', 'N']
14.599727	15.025864	['AH1', 'P']
15.111091	15.281545	['DH', 'AH0']
15.452	15.878136	['K', 'R', 'AE1']
15.963364	16.133818	['SH', 'IH0', 'Z']
16.559955	16.730409	['B', 'IH0']
16.815636	17.241773	['F', 'AO1', 'R']
17.327	17.753136	['SH', 'IY1']
17.838364	18.094045	['K', 'AE1', 'N']
18.179273	18.605409	['S', 'IY1']
18.690636	19.116773	['W', 'AH1', 'T']
19.202	19.798591	['DH', 'EY1', 'V']
20.054273	20.906545	['D', 'AH1', 'N']
22.270182	22.696318	['N', 'OW1']
22.781545	23.207682	['B', 'AA2']
23.292909	23.548591	['D', 'IY2']
23.633818	24.059955	['T', 'OW1', 'L', 'D']
24.145182	24.571318	['HH', 'ER0']
24.656545	24.912227	['SH', 'IY1', 'D']
24.997455	25.423591	['L', 'UW1', 'Z']
25.508818	25.934955	['IH0', 'N']
26.020182	26.275864	['DH', 'AH0']
26.361091	26.787227	['F', 'ER1', 'S', 'T']
26.872455	27.042909	['R', 'AW1', 'N', 'D']
27.383818	27.6395	['DH', 'AH0']
27.724727	28.150864	['L', 'AE1', 'S', 'T']
28.236091	28.662227	['F', 'AY1', 'T']
