start_time	end_time	syllable
32.216	32.4162	['AY1']
32.4162	32.6164	['TH', 'AO1', 'T']
32.6164	32.816601	['AY1']
32.916701	33.116901	['F', 'AW1', 'N', 'D']
33.217001	34.318102	['L', 'AH1', 'V']
35.118903	35.319103	['W', 'IH1', 'DH']
35.319103	35.819604	['S', 'AH1', 'M']
35.819604	36.019804	['B', 'AA2']
36.119904	36.320104	['D', 'IY0']
36.320104	36.520304	['EH1', 'L']
36.520304	37.020805	['S', 'IH0', 'Z']
37.020805	37.821606	['G', 'ER1', 'L']
38.021806	38.522306	['Y', 'AE1']
39.523307	39.923708	['W', 'AO1']
39.923708	40.123908	['K', 'IH0', 'NG']
40.123908	40.524308	['R', 'AW1', 'N', 'D']
40.524308	40.924709	['F', 'IY1']
40.924709	41.024809	['L', 'IH0', 'NG']
41.124909	41.525309	['S', 'OW1']
41.525309	41.82561	['B', 'R', 'OW1']
41.82561	42.02581	['K', 'AH0', 'N']
42.12591	42.52631	['HH', 'AA2']
42.52631	42.726511	['DH', 'ER0', 'D']
43.026811	43.527311	['L', 'AO1', 'S', 'T']
43.527311	43.827612	['IH0', 'N']
43.827612	44.027812	['AH0']
44.027812	44.228012	['D', 'IH1']
44.328112	44.528312	['F', 'ER0']
44.528312	44.728513	['AH0', 'N', 'T']
44.828613	45.629413	['W', 'ER1', 'L', 'D']
47.431215	47.631415	['DH', 'EH1', 'N']
47.731516	47.931716	['Y', 'UW1']
47.931716	48.131916	['K', 'EY1', 'M']
48.232016	48.432216	['IH0', 'N']
48.432216	48.632416	['M', 'AY1']
48.632416	49.933718	['L', 'AY1', 'F']
51.034819	51.535319	['B', 'R', 'AO1', 'T']
51.535319	51.73552	['M', 'IY1']
51.83562	52.13592	['B', 'AE1', 'K']
52.13592	52.53632	['T', 'UW1']
52.53632	52.736521	['R', 'IY0']
52.736521	53.136921	['AE1']
53.136921	53.337121	['L', 'AH0']
53.337121	53.537321	['T', 'IY0']
53.637421	53.837622	['S', 'AH1', 'M']
54.037822	54.638422	['D', 'EY2']
55.138923	55.339123	['N', 'AW1']
55.439223	55.639423	['AY1']
55.639423	55.839624	['D', 'OW1', 'N', 'T']
55.939724	56.139924	['N', 'IY1', 'D']
56.139924	56.340124	['AH0']
56.440224	57.040825	['F', 'AE1', 'N']
57.140925	57.341125	['T', 'AH0']
57.441225	58.041826	['S', 'IY0']
58.542326	58.742527	['Y', 'UH1', 'R']
58.842627	59.042827	['DH', 'AH0']
59.042827	59.243027	['OW1', 'N']
59.243027	59.443227	['L', 'IY0']
59.543327	59.743528	['W', 'AH1', 'N']
59.843628	60.244028	['AY1']
60.244028	60.844629	['N', 'IY1', 'D']
61.74553	61.94573	['AY1']
61.94573	62.34613	['F', 'AW1', 'N', 'D']
62.44623	63.247031	['HH', 'EH1']
63.247031	63.747532	['V', 'AH0', 'N']
63.947732	64.448232	['S', 'W', 'IY1', 'T']
64.448232	64.848633	['HH', 'EH1']
64.848633	65.048833	['V', 'AH0', 'N']
65.148933	65.549333	['B', 'EY1']
65.549333	65.749534	['B', 'IY0']
65.849634	66.049834	['AA1', 'N']
66.049834	66.250034	['DH', 'AH0']
66.350134	67.150935	['W', 'IH1', 'NG', 'Z']
67.150935	67.751536	['AH1', 'V']
67.751536	68.652436	['L', 'AH1', 'V']
69.453237	69.653437	['AY1']
69.753538	70.153938	['F', 'AW1', 'N', 'D']
70.153938	70.954739	['HH', 'EH1']
70.954739	71.355139	['V', 'AH0', 'N']
71.655439	72.15594	['S', 'W', 'IY1', 'T']
72.15594	72.65644	['HH', 'EH1']
72.65644	72.856641	['V', 'AH0', 'N']
72.856641	73.257041	['B', 'EY1']
73.357141	73.557341	['B', 'IY0']
73.557341	73.857642	['AA1', 'N']
73.857642	74.057842	['DH', 'AH0']
74.157942	74.758543	['W', 'IH1', 'NG', 'Z']
74.758543	75.459243	['AH1', 'V']
75.459243	76.159944	['L', 'AH1', 'V']
79.062847	79.263047	['AY1']
79.363147	79.563347	['W', 'IH1', 'L']
79.663447	80.063848	['N', 'EH1']
80.063848	80.464248	['V', 'ER0']
81.064849	81.265049	['N', 'OW1']
81.365149	81.76555	['AY1', 'L']
81.76555	82.16595	['N', 'EH1']
82.16595	82.56635	['V', 'ER0']
83.267051	83.467251	['AY1']
83.467251	83.667451	['W', 'IH1', 'L']
83.767552	83.967752	['N', 'EH1']
83.967752	84.167952	['V', 'ER0']
84.167952	84.368152	['L', 'UW1', 'Z']
84.468252	84.668452	['M', 'AY1']
84.768553	85.168953	['W', 'EY1']
85.269053	85.469253	['AH0']
85.469253	86.470254	['G', 'EH1', 'N']
87.671455	88.071856	['OW1']
88.171956	88.572356	['Y', 'AE1']
89.673457	89.873658	['AY1']
89.973758	90.173958	['TH', 'AO1', 'T']
90.274058	90.474258	['Y', 'UW1', 'D']
90.474258	90.674458	['S', 'UW1', 'N']
90.774559	90.974759	['B', 'IY1']
90.974759	91.174959	['M', 'AY1']
91.275059	92.07586	['G', 'ER1', 'L']
92.67646	92.876661	['B', 'AH1', 'T']
92.876661	93.076861	['M', 'AY1']
93.176961	93.377161	['IH0']
93.377161	93.577361	['M', 'AE2']
93.677461	93.877662	['JH', 'AH0']
93.877662	94.077862	['N', 'EY1']
94.177962	94.378162	['SH', 'AH0', 'N']
94.378162	94.578362	['W', 'AA1', 'Z']
94.678462	94.878663	['R', 'AH1']
94.878663	95.078863	['N', 'IH0', 'NG']
95.078863	95.979764	['W', 'AY1', 'L', 'D']
97.481265	97.681465	['AY1']
97.781566	97.981766	['W', 'UH1']
97.981766	98.181966	['D', 'AH0', 'N', 'T']
98.282066	98.482266	['L', 'IH1']
