start_time	end_time	syllable
2.8	2.92408	['Y', 'UW1']
3.048159	3.172239	['K', 'AE1', 'N']
3.296319	3.544478	['T', 'AO1', 'K']
3.792638	3.978758	['AO1', 'L']
4.040797	4.164877	['Y', 'UW1']
4.288957	4.599156	['W', 'AA1', 'N', 'T']
4.785276	4.909356	['B', 'AH1', 'T']
5.033435	5.157515	['M', 'AY1']
5.281595	5.467714	['S', 'K', 'IH1', 'N']
5.529754	5.653834	['IH1', 'Z']
5.777914	5.964033	['R', 'IH1']
6.026073	6.150153	['L', 'IY0']
6.274233	6.460352	['TH', 'IH1', 'K']
6.770552	6.894631	['AY1', 'M']
7.018711	7.142791	['DH', 'AH0']
7.266871	7.45299	['L', 'IY1']
7.51503	7.63911	['D', 'ER0']
7.76319	7.887269	['AH1', 'V']
8.011349	8.135429	['AH0']
8.259509	8.631748	['K', 'R', 'AW1', 'D']
8.755828	8.879907	['AH0', 'N', 'D']
9.003987	9.128067	['M', 'AY1']
9.252147	9.438266	['G', 'EY1', 'M']
9.500306	9.624386	['IH1', 'Z']
9.748466	9.934585	['R', 'IH1']
9.996625	10.120705	['L', 'IY0']
10.244785	10.430904	['S', 'L', 'IH1', 'K']
10.741103	10.865183	['AY1', 'M']
10.989263	11.113343	['AH0', 'N']
11.237422	11.361502	['S', 'T', 'AA1']
11.485582	11.609662	['P', 'AH0']
11.733741	12.47822	['B', 'AH0', 'L']
12.974539	13.098619	['AH0', 'N']
13.222698	13.346778	['S', 'T', 'AA1']
13.470858	13.594938	['P', 'AH0']
13.719017	14.339416	['B', 'AH0', 'L']
14.959815	15.083894	['AH0', 'N']
15.207974	15.332054	['S', 'T', 'AA1']
15.456134	15.580213	['P', 'AH0']
15.704293	16.324692	['B', 'AH0', 'L']
16.945091	17.06917	['AH0', 'N']
17.19325	17.31733	['S', 'T', 'AA1']
17.44141	17.565489	['P', 'AH0']
17.689569	18.434047	['B', 'AH0', 'L']
18.682207	18.806287	['Y', 'UW1']
18.930366	19.054446	['K', 'AE1', 'N']
19.178526	19.426685	['T', 'AO1', 'K']
19.674845	19.860965	['AO1', 'L']
19.923004	20.047084	['Y', 'UW1']
20.171164	20.481363	['W', 'AA1', 'N', 'T']
20.667483	20.791563	['B', 'AH1', 'T']
20.915642	21.039722	['M', 'AY1']
21.163802	21.349921	['S', 'K', 'IH1', 'N']
21.411961	21.536041	['IH1', 'Z']
21.660121	21.84624	['R', 'IH1']
21.90828	22.03236	['L', 'IY0']
22.15644	22.342559	['TH', 'IH1', 'K']
22.652759	22.776838	['AY1', 'M']
22.900918	23.024998	['DH', 'AH0']
23.149078	23.273157	['L', 'IY1']
23.397237	23.521317	['D', 'ER0']
23.645397	23.769476	['AH1', 'V']
23.893556	24.017636	['AH0']
24.141716	24.513955	['K', 'R', 'AW1', 'D']
24.638035	24.762114	['AH0', 'N', 'D']
24.886194	25.010274	['M', 'AY1']
25.134354	25.320473	['G', 'EY1', 'M']
25.382513	25.506593	['IH1', 'Z']
25.630673	25.816792	['R', 'IH1']
25.878832	26.002912	['L', 'IY0']
26.126991	26.313111	['S', 'L', 'IH1', 'K']
26.62331	26.74739	['AY1', 'M']
26.87147	26.99555	['AH0', 'N']
27.119629	27.243709	['S', 'T', 'AA1']
27.367789	27.491869	['P', 'AH0']
27.615948	28.360427	['B', 'AH0', 'L']
28.856746	28.980826	['AH0', 'N']
29.104905	29.228985	['S', 'T', 'AA1']
29.353065	29.477145	['P', 'AH0']
29.601224	30.221623	['B', 'AH0', 'L']
30.842022	30.966101	['AH0', 'N']
31.090181	31.214261	['S', 'T', 'AA1']
31.338341	31.46242	['P', 'AH0']
31.5865	32.206899	['B', 'AH0', 'L']
32.827298	32.951377	['AH0', 'N']
33.075457	33.199537	['S', 'T', 'AA1']
33.323617	33.447696	['P', 'AH0']
33.571776	34.316254	['B', 'AH0', 'L']
34.564414	34.750534	['S', 'EY1', 'V']
34.812573	34.936653	['Y', 'AO1', 'R']
35.060733	35.246853	['P', 'IH1']
35.308892	35.432972	['T', 'IY0']
35.557052	35.681132	['F', 'AO1', 'R']
35.805211	35.929291	['T', 'AH0']
36.053371	36.23949	['M', 'AA1']
36.30153	36.42561	['R', 'OW2']
36.54969	36.735809	['W', 'EH1', 'N']
36.797849	36.921929	['AY1']
37.046009	37.170089	['S', 'M', 'AE1', 'SH']
37.294168	37.418248	['IH1', 'T']
37.542328	37.666407	['L', 'AY1', 'K']
37.790487	37.914567	['AH0']
38.038647	38.348846	['B', 'AO1', 'L']
38.534966	38.659045	['IH0', 'N']
38.783125	38.907205	['DH', 'AH0']
39.031285	39.341484	['K', 'L', 'AH1', 'B']
39.527604	39.651683	['AA1', 'N']
39.775763	39.899843	['DH', 'AH0']
40.023923	40.334122	['N', 'UW1', 'Z']
40.520242	40.644321	['AY1', 'L']
40.768401	40.892481	['B', 'IY1']
41.016561	41.14064	['R', 'AA1']
41.26472	41.3888	['K', 'IH0', 'NG']
41.512879	41.698999	['L', 'AY1', 'K']
41.761039	41.885119	['AH0']
42.009198	42.381438	['R', 'AA1', 'K']
42.505517	42.629597	['S', 'T', 'AA2', 'R']
42.753677	42.877757	['AH0', 'N']
43.001836	43.125916	['S', 'T', 'AA1']
43.249996	43.374076	['P', 'AH0']
43.498155	44.118554	['B', 'AH0', 'L']
44.738953	44.863033	['AH0', 'N']
44.987112	45.111192	['S', 'T', 'AA1']
45.235272	45.359351	['P', 'AH0']
45.483431	46.04179	['B', 'AH0', 'L']
46.724229	46.848308	['AH0', 'N']
46.972388	47.096468	['S', 'T', 'AA1']
47.220548	47.344627	['P', 'AH0']
47.468707	48.027066	['B', 'AH0', 'L']
48.709505	48.833584	['AH0', 'N']
48.957664	49.081744	['S', 'T', 'AA1']
49.205823	49.329903	['P', 'AH0']
49.453983	49.826222	['B', 'AH0', 'L']
49.950302	50.136422	['W', 'IY1']
50.198461	50.322541	['Z', 'IY0']
50.446621	50.69478	['EH1', 'F']
50.94294	51.253139	['B', 'EY1']
51.439259	51.563339	['B', 'IY0']
51.935578	52.059658	['HH', 'AH0']
52.121697	52.245777	['L', 'OW1']
52.369857	52.493937	['W', 'ER1', 'L', 'D']
52.555977	52.618016	['AY1']
52.680056	52.742096	['G', 'AA1', 'T']
52.804136	52.866176	['AH0']
52.928216	53.052295	['B', 'L', 'AE1', 'K']
53.176375	53.238415	['P', 'R', 'EH1']
53.300455	53.362495	['Z', 'AH0']
53.424535	53.548614	['D', 'EH2', 'N', 'T']
53.672694	53.734734	['AH0', 'N', 'D']
53.796774	53.858814	['AH0']
53.920854	53.982894	['Y', 'EH1']
54.044933	54.169013	['L', 'OW0']
54.293093	54.665332	['G', 'ER1', 'L']
55.65797	55.72001	['IH0', 'N']
55.78205	55.84409	['M', 'AY1']
55.90613	56.092249	['R', 'EH1', 'D']
56.278369	56.526528	['SH', 'UW1', 'Z']
56.650608	56.712648	['AH0', 'N', 'D']
56.774688	56.836728	['M', 'AY1']
56.898767	57.022847	['S', 'W', 'AE1', 'G', 'Z']
57.146927	57.271007	['S', 'OW1']
57.395086	57.457126	['S', 'IH1', 'K']
57.519166	57.581206	['AY1']
57.643246	57.767326	['N', 'IY1', 'D']
57.891405	58.077525	['M', 'EH1', 'D']
58.325685	58.759964	['S', 'K', 'UW1', 'L']
59.256283	59.318322	['AY1']
59.380362	59.442402	['N', 'EH1']
59.504442	59.566482	['V', 'ER0']
59.628522	59.690562	['M', 'EY1', 'K']
59.752602	59.814641	['AH0']
59.876681	60.124841	['B', 'AE1', 'D']
60.248921	60.49708	['M', 'UW1', 'V']
60.62116	60.745239	['B', 'AH1', 'T']
60.869319	60.993399	['AY1']
61.117479	61.241558	['K', 'AE1', 'N']
61.365638	61.489718	['M', 'EY1', 'K']
61.613798	61.737877	['HH', 'ER0']
61.861957	62.110117	['B', 'EH1', 'D']
62.296236	62.544396	['M', 'UW1', 'V']
63.226834	63.288874	['Y', 'UW1']
63.350914	63.474994	['L', 'AY1', 'K']
63.599074	63.723153	['M', 'AY1']
63.847233	63.971313	['AE1']
64.095393	64.157432	['T', 'AH0']
64.219472	64.405592	['T', 'UW2', 'D']
64.591711	64.653751	['EY1', 'N', 'T']
64.715791	64.777831	['N', 'OW1']
64.839871	64.901911	['B', 'AA2']
64.963951	65.025991	['D', 'IY2']
65.08803	65.21211	['EH1', 'L', 'S']
65.33619	65.46027	['AE1', 'T']
65.584349	65.708429	['M', 'AY1']
65.832509	65.956589	['M', 'AE1', 'G']
66.080668	66.142708	['N', 'AH0']
66.266788	66.514947	['T', 'UW2', 'D']
67.569625	67.693705	['EY1', 'N', 'T']
67.817785	67.941865	['N', 'AH1']
68.065944	68.127984	['TH', 'IH0', 'NG']
68.190024	68.314104	['S', 'T', 'AA1']
68.438183	68.500223	['P', 'IH0', 'NG']
68.562263	68.686343	['M', 'IY1']
68.934502	68.996542	['AY1']
69.058582	69.182662	['F', 'IY1', 'L']
69.306742	69.430821	['L', 'AY1', 'K']
69.554901	69.678981	['EY1', 'N', 'T']
69.803061	69.92714	['N', 'AH1']
70.05122	70.11326	['TH', 'IH0', 'NG']
70.1753	70.29938	['AE1', 'F']
70.423459	70.485499	['T', 'ER0']
70.547539	70.733659	['M', 'IY1']
71.540177	71.602217	['CH', 'AA1']
71.664257	71.726297	['CH', 'AH0']
71.788337	71.850376	['T', 'AO1']
71.912416	71.974456	['K', 'IH0', 'NG']
72.036496	72.160576	['B', 'AW1', 'T']
72.284655	72.408735	['K', 'AE1', 'T']
72.656895	72.718935	['AY1']
72.780974	72.905054	['R', 'AE1', 'N']
73.029134	73.091174	['IH0', 'N']
73.153214	73.215254	['AH0']
73.277293	73.401373	['B', 'AE1', 'NG', 'K']
73.525453	73.587493	['AH0', 'N', 'D']
73.649533	73.711573	['AY1']
73.773612	73.897692	['W', 'AO1', 'K', 'T']
74.021772	74.145852	['AW1', 'T']
74.269931	74.394011	['F', 'AE1', 'T']
75.510729	75.572769	['AH0', 'N', 'D']
75.634809	75.696848	['AY1']
75.758888	75.820928	['W', 'AO1', 'K']
75.882968	75.945008	['IH1', 'T']
76.007048	76.069088	['L', 'AY1', 'K']
76.131127	76.193167	['AY1']
76.255207	76.317247	['T', 'AO1', 'K']
76.379287	76.441327	['IH1', 'T']
76.503367	76.565407	['B', 'AH1', 'T']
76.627446	76.689486	['AY1']
76.751526	76.875606	['R', 'AH1', 'N']
76.999686	77.123765	['DH', 'IH1', 'S']
77.496005	77.620084	['Y', 'AE1']
77.744164	77.806204	['R', 'AH1', 'N']
77.868244	77.930284	['IH1', 'T']
77.992324	78.054363	['L', 'AY1', 'K']
78.116403	78.178443	['AH0']
78.240483	78.364563	['F', 'AO1']
