start_time	end_time	syllable
7.752	7.882435	['N', 'UW1']
7.882435	8.01287	['Y', 'UW1', 'D']
8.01287	8.143304	['B', 'IY1']
8.143304	8.404174	['HH', 'IY1', 'R']
8.404174	8.665043	['T', 'AH0']
8.665043	9.447652	['N', 'AY1', 'T']
10.099826	10.230261	['S', 'OW1']
10.230261	10.49113	['AY1']
10.49113	10.752	['P', 'UH1', 'T']
10.752	11.01287	['M', 'AY1']
11.01287	11.273739	['B', 'EH1', 'S', 'T']
11.273739	11.534609	['D', 'R', 'EH1', 'S']
11.534609	11.795478	['AA1', 'N']
11.795478	12.186783	['B', 'OY1']
12.186783	12.317217	['AY1']
12.447652	12.578087	['W', 'AA1', 'Z']
12.578087	12.838957	['S', 'OW1']
12.838957	13.621565	['R', 'AY1', 'T']
16.099826	16.360696	['AW1']
16.099826	16.360696	['ER0']
16.360696	16.621565	['AY1', 'Z']
16.621565	16.752	['K', 'AH0']
16.752	17.01287	['N', 'EH1', 'K']
17.01287	17.795478	['T', 'AH0', 'D']
18.186783	18.447652	['N', 'AW1']
18.447652	18.578087	['N', 'AH1']
18.578087	18.838957	['TH', 'IH0', 'NG', 'Z']
18.838957	19.099826	['HH', 'AW1']
19.099826	19.360696	['IH1', 'T']
19.360696	19.621565	['Y', 'UW1', 'Z', 'D']
19.621565	19.882435	['T', 'UW1']
19.882435	20.273739	['B', 'IY1']
20.273739	20.534609	['N', 'OW1']
20.534609	20.665043	['S', 'EH1']
20.665043	20.925913	['K', 'AH0', 'N', 'D']
20.925913	21.186783	['G', 'EH1']
21.186783	21.969391	['S', 'AH0', 'Z']
24.447652	24.578087	['T', 'R', 'AE1', 'K']
24.578087	24.708522	['IH0', 'N']
24.708522	24.838957	['AA1', 'N']
24.838957	25.099826	['DH', 'IH1', 'S']
25.099826	25.360696	['F', 'IY1']
25.360696	26.143304	['L', 'IH0', 'NG']
26.534609	26.795478	['P', 'UH1', 'L']
26.795478	26.925913	['F', 'OW1']
26.925913	27.186783	['K', 'AH0', 'S']
27.186783	27.447652	['K', 'L', 'OW1', 'S']
27.447652	27.708522	['AH1', 'P']
27.708522	27.969391	['Y', 'UW1']
27.969391	28.230261	['AH0', 'N', 'D']
28.230261	28.621565	['M', 'IY1']
28.621565	28.882435	['N', 'OW1']
28.882435	29.01287	['B', 'AA2']
29.01287	29.273739	['D', 'IY2', 'Z']
29.273739	29.534609	['L', 'IY1']
29.534609	30.317217	['V', 'IH0', 'NG']
32.795478	33.056348	['G', 'AA1', 'T']
33.056348	33.186783	['M', 'IY1']
33.186783	33.447652	['AH0']
33.447652	33.708522	['F', 'EH1', 'K']
33.708522	34.49113	['T', 'AH0', 'D']
35.143304	35.273739	['S', 'P', 'AH1', 'N']
35.273739	35.534609	['M', 'IY1']
35.534609	35.795478	['W', 'AH1', 'N']
35.795478	36.056348	['EY1']
36.056348	36.317217	['T', 'IY0']
36.317217	36.578087	['D', 'IH0']
36.578087	36.969391	['G', 'R', 'IY1', 'Z']
36.969391	37.230261	['IH1', 'T', 'S']
37.230261	37.360696	['S', 'OW1']
37.360696	37.621565	['IH0']
37.621565	37.882435	['L', 'EH1', 'K']
