start_time	end_time	syllable
32.76	32.958675	['IH1', 'Z']
32.958675	33.356026	['IH1', 'T']
33.356026	33.952053	['P', 'AW1']
33.356026	33.952053	['ER0', 'Z']
33.952053	34.349404	['AH1', 'V']
34.349404	34.548079	['IH2', 'N']
34.548079	34.94543	['T', 'UW0']
34.94543	35.342781	['IH1']
35.342781	35.938808	['SH', 'AH0', 'N']
35.938808	36.236821	['IH1', 'Z']
36.236821	36.534834	['IH1', 'T']
36.534834	37.031523	['IH2', 'N']
37.031523	37.428874	['S', 'IH0']
37.428874	37.726887	['K', 'Y', 'UH1']
37.726887	38.024901	['R', 'IH0']
38.024901	38.521589	['T', 'IY0']
39.018278	39.216954	['Y', 'UW1']
39.216954	39.614305	['N', 'OW1']
39.614305	40.011656	['AY1']
40.011656	40.409007	['K', 'AE1', 'N']
40.409007	40.806358	['R', 'EH1', 'D']
40.806358	41.203709	['Y', 'AO1', 'R']
41.203709	41.60106	['M', 'AY1', 'N', 'D']
41.60106	42.097748	['AH0', 'N', 'D']
42.197086	42.395762	['Y', 'UW1']
42.395762	42.793113	['HH', 'AE1', 'V']
42.793113	43.389139	['B', 'IH1', 'N']
43.389139	43.78649	['D', 'IH0']
43.78649	43.985166	['S', 'IY1']
43.985166	44.382517	['V', 'IH0', 'NG']
44.382517	45.57457	['M', 'IY1']
48.554702	48.753377	['W', 'IH1', 'CH']
48.753377	49.150728	['F', 'EY1', 'S']
49.150728	49.548079	['W', 'EH1', 'R', 'Z']
49.548079	49.94543	['DH', 'AH0']
49.94543	50.342781	['M', 'AE1', 'S', 'K']
50.342781	50.740132	['DH', 'IH1', 'S']
50.740132	51.137483	['IY1', 'V']
51.137483	51.634172	['N', 'IH0', 'NG']
51.73351	51.932185	['W', 'EH1', 'N']
51.932185	52.329536	['W', 'IH1', 'L']
52.329536	52.826225	['Y', 'AO1', 'R']
52.826225	53.223576	['T', 'R', 'UW1']
53.223576	53.521589	['K', 'AH1']
53.521589	53.819603	['L', 'ER0', 'Z']
53.819603	54.316291	['SH', 'OW1']
54.81298	55.011656	['W', 'IH1', 'L']
55.011656	55.409007	['DH', 'EY1']
55.409007	55.806358	['B', 'IY1']
