start_time	end_time	syllable
7.206	7.48725	['W', 'AH1', 'N', 'S']
9.2685	9.456	['DH', 'EH1', 'R']
9.456	9.6435	['W', 'AA1', 'Z']
9.6435	9.92475	['AH0']
10.0185	10.48725	['T', 'AY1', 'M']
12.456	12.73725	['W', 'EH1', 'N']
12.831	13.11225	['M', 'AY1']
13.206	13.86225	['M', 'AY1', 'N', 'D']
13.956	14.23725	['L', 'EY1']
14.331	14.61225	['AA1', 'N']
14.706	14.98725	['HH', 'AY1']
15.081	15.6435	['ER0']
15.831	16.48725	['TH', 'IH1', 'NG', 'Z']
18.831	19.11225	['AH0', 'N', 'D']
19.206	19.48725	['W', 'AH1', 'N', 'S']
21.2685	21.456	['DH', 'EH1', 'R']
21.456	21.6435	['W', 'AA1', 'Z']
21.6435	21.92475	['AH0']
22.0185	22.48725	['T', 'AY1', 'M']
24.456	24.73725	['AY1']
24.831	25.11225	['K', 'UH1', 'D']
25.206	25.7685	['F', 'AY1', 'N', 'D']
25.956	26.1435	['P', 'R', 'IH1']
26.1435	26.42475	['T', 'IY0']
26.5185	27.2685	['W', 'ER1', 'D', 'Z']
27.2685	27.54975	['T', 'UW1']
27.6435	28.29975	['S', 'IH1', 'NG']
30.831	31.0185	['B', 'AH1', 'T']
31.0185	31.3935	['N', 'AW1']
33.081	33.2685	['W', 'EH1', 'L']
33.2685	33.456	['N', 'AW1']
33.456	33.73725	['AY1']
33.831	34.29975	['F', 'AY1', 'N', 'D']
36.2685	36.54975	['IH1', 'T']
36.6435	36.92475	['S', 'EY1', 'V', 'Z']
37.0185	37.581	['T', 'AY1', 'M']
37.7685	38.04975	['T', 'UW1']
38.1435	38.42475	['S', 'EY1']
38.5185	38.79975	['W', 'AH1', 'T']
39.17475	39.456	['Y', 'UW1']
39.6435	40.29975	['M', 'IY1', 'N']
41.8935	42.17475	['AY1']
42.2685	42.456	['N', 'OW1']
42.456	42.73725	['IH1', 'T']
42.831	43.67475	['S', 'IY1', 'M', 'Z']
44.8935	45.17475	['S', 'OW1']
45.456	45.73725	['AH2', 'N']
45.831	46.0185	['R', 'IY0']
46.0185	46.7685	['F', 'AY1', 'N', 'D']
48.17475	48.456	['B', 'AH1', 'T']
48.54975	48.831	['IH1', 'T', 'S']
48.92475	49.48725	['T', 'AY1', 'M']
49.67475	49.956	['T', 'UW1']
50.04975	50.23725	['L', 'EH1', 'T']
50.23725	50.706	['AO1', 'F']
51.17475	51.73725	['S', 'AH1', 'M']
51.92475	53.706	['S', 'T', 'IY1', 'M']
53.8935	54.17475	['OW1']
54.2685	54.456	['K', 'AH1', 'M']
54.456	54.92475	['AA1', 'N']
55.29975	55.581	['EH1', 'V']
55.86225	56.1435	['R', 'IY0']
56.42475	56.61225	['B', 'AA2']
56.61225	56.8935	['D', 'IY0']
56.98725	57.456	['N', 'OW1', 'Z']
57.54975	57.831	['DH', 'AE1', 'T']
57.92475	58.206	['N', 'OW1']
58.29975	58.86225	['M', 'IY1', 'N', 'Z']
59.04975	59.706	['Y', 'EH1', 'S']
60.17475	60.456	['JH', 'AH1', 'S', 'T']
60.54975	60.831	['L', 'AY1', 'K']
