start_time	end_time	syllable
23.25119	23.340116	['L', 'UH1', 'K']
23.429042	23.517967	['ER0']
23.606893	24.362762	['AW1', 'N', 'D']
25.963426	26.052352	['DH', 'EH1', 'R']
26.141278	26.230204	['M', 'UW1']
26.319129	26.408055	['V', 'IH0', 'NG']
26.496981	27.297313	['IH0', 'N']
28.94244	29.031365	['HH', 'OW1', 'L', 'D']
29.120291	29.209217	['Y', 'AO1', 'R']
29.298143	29.920623	['G', 'R', 'AW1', 'N', 'D']
31.654676	31.743602	['W', 'EH1', 'N']
31.832527	31.921453	['DH', 'EY1']
32.010379	32.099305	['B', 'IH0']
32.188231	33.166414	['G', 'IH1', 'N']
35.345096	35.56741	['W', 'IY1']
35.87865	36.100965	['K', 'AE1', 'N']
36.367742	36.501131	['D', 'UW1']
36.634519	36.812371	['IH1', 'T']
37.479314	37.56824	['W', 'IY1']
37.657166	37.746092	['K', 'AE1', 'N']
37.835017	38.101795	['D', 'UW1']
38.19072	38.546424	['IH1', 'T']
38.724275	38.857664	['AH0', 'N', 'D']
38.94659	39.035515	['IH1', 'F']
39.124441	39.213367	['DH', 'EY1']
39.302293	39.391218	['W', 'AA1']
39.480144	39.56907	['N', 'AH0']
39.613533	39.702459	['DH', 'EY1']
39.791384	39.88031	['K', 'AE1', 'N']
39.969236	40.102625	['T', 'R', 'AY1']
40.324939	40.413865	['B', 'AH1', 'T']
40.502791	40.591716	['DH', 'EY1', 'L']
40.680642	40.902957	['N', 'EH1']
41.036345	41.25866	['V', 'ER0']
41.392048	41.525437	['G', 'EH1', 'T']
41.703289	42.325769	['N', 'IH1', 'R']
42.992712	43.081638	['DH', 'EH1', 'N']
43.170564	43.25949	['DH', 'EY1']
43.348416	43.437341	['K', 'AE1', 'N']
43.526267	43.615193	['G', 'EH1', 'T']
43.704119	43.793044	['AW1', 'T']
43.88197	43.970896	['AH1', 'V']
44.059822	44.504451	['HH', 'IY1', 'R']
46.327429	47.350075	['G', 'AA1']
47.439001	47.616853	['N', 'AH0']
47.794704	47.88363	['K', 'IY1', 'P']
47.972556	48.372722	['AA1', 'N']
48.506111	48.728425	['D', 'R', 'AY1']
48.861814	49.039665	['V', 'IH0', 'NG']
49.217517	50.1957	['N', 'EH1']
50.284626	50.418015	['V', 'ER0']
50.551403	50.862644	['S', 'T', 'AA1', 'P']
51.751901	51.929753	['Y', 'UW0']
52.018679	52.596696	['N', 'AY1']
52.730085	52.907937	['T', 'AH0', 'D']
53.130251	53.441491	['Y', 'UW0']
53.57488	54.019509	['N', 'AY1']
54.152897	54.375212	['T', 'AH0', 'D']
54.553063	54.730915	['Y', 'UW0']
54.908766	55.442321	['N', 'AY1']
55.620173	55.842487	['T', 'AH0', 'D']
56.020339	56.19819	['W', 'IY1']
56.331579	56.865134	['S', 'T', 'AE1', 'N', 'D']
57.57654	57.754391	['Y', 'UW0']
57.843317	58.376872	['N', 'AY1']
58.51026	58.688112	['T', 'AH0', 'D']
58.821501	58.999352	['W', 'IY1']
59.177204	59.621833	['N', 'EH1']
59.710758	60.066462	['V', 'ER0']
60.155387	60.422165	['SH', 'AE1', 'L']
