start_time	end_time	syllable
20.276	20.533143	['S', 'AH1', 'N']
20.618857	20.876	['IH1', 'Z']
20.961714	21.218857	['SH', 'AY1']
21.304571	21.561714	['N', 'IH0', 'NG']
21.647429	21.904571	['IH0', 'N']
21.990286	22.161714	['DH', 'AH0']
22.161714	22.676	['S', 'K', 'AY1']
23.361714	23.618857	['DH', 'EH1', 'R']
23.618857	24.047429	['EY1', 'N', 'T']
24.047429	24.304571	['AH0']
24.304571	25.076	['K', 'L', 'AW1', 'D']
25.076	25.590286	['IH0', 'N']
25.590286	26.104571	['S', 'AY1', 'T']
26.447429	26.790286	['IH1', 'T', 'S']
26.790286	27.133143	['S', 'T', 'AA1', 'P', 'T']
27.133143	27.476	['R', 'EY1']
27.476	27.818857	['N', 'IH0', 'NG']
27.990286	28.161714	['EH1', 'V']
28.161714	28.418857	['R', 'IY0']
28.418857	28.847429	['B', 'AA2']
28.847429	29.190286	['D', 'IY0', 'Z']
29.190286	29.533143	['IH0', 'N']
29.533143	29.704571	['AH0']
29.704571	30.218857	['P', 'L', 'EY1']
30.218857	30.561714	['AH0', 'N', 'D']
30.561714	30.904571	['D', 'OW1', 'N', 'T']
30.904571	31.161714	['Y', 'UW1']
31.161714	31.590286	['N', 'OW1']
31.933143	32.276	['IH1', 'T', 'S']
32.276	32.447429	['AH0']
32.447429	32.961714	['B', 'Y', 'UW1']
32.961714	33.133143	['T', 'AH0']
33.133143	33.476	['F', 'AH0', 'L']
33.476	33.818857	['N', 'UW1']
33.818857	34.333143	['D', 'EY1']
34.933143	35.104571	['HH', 'EY1']
35.104571	35.276	['HH', 'EY1']
35.276	35.618857	['HH', 'EY1']
36.818857	37.161714	['R', 'UW1']
37.161714	37.504571	['N', 'IH0', 'NG']
37.504571	37.847429	['D', 'AW1', 'N']
37.847429	38.190286	['DH', 'AH0']
38.190286	38.533143	['AE1']
38.533143	38.876	['V', 'AH0']
38.876	39.218857	['N', 'UW2']
39.904571	40.247429	['S', 'IY1']
40.247429	40.590286	['HH', 'AW1']
40.590286	40.847429	['DH', 'AH0']
40.847429	41.533143	['S', 'AH1', 'N']
41.533143	42.304571	['SH', 'AY1', 'N', 'Z']
42.304571	42.647429	['B', 'R', 'AY1', 'T']
42.647429	43.076	['L', 'IY0']
43.161714	43.333143	['IH0', 'N']
43.333143	43.504571	['DH', 'AH0']
43.504571	43.847429	['S', 'IH1']
