start_time	end_time	syllable
8.566	8.746072	['W', 'AA1']
8.806096	8.986168	['N', 'AH0']
9.046192	9.406336	['N', 'OW1']
9.46636	9.706456	['Y', 'UW1']
9.76648	10.186648	['B', 'EH1']
10.246672	11.207056	['T', 'ER0']
12.287489	12.467561	['W', 'AA1']
12.527585	12.707657	['N', 'AH0']
12.767681	13.007777	['P', 'UH1', 'SH']
13.247873	13.487969	['Y', 'UW1']
13.547993	13.908137	['B', 'EY1']
13.968161	14.208257	['B', 'IY0']
14.208257	14.388329	['B', 'AH1', 'T']
14.448353	14.868521	['N', 'EH1']
14.928545	15.108617	['V', 'ER0']
15.168641	15.288689	['T', 'UW1']
15.408737	15.828905	['F', 'AA1', 'R']
16.129025	16.309097	['W', 'AA1']
16.369121	16.489169	['N', 'AH0']
16.609217	17.029385	['SH', 'OW1']
17.089409	17.269481	['Y', 'UW1']
17.329505	17.689649	['HH', 'EH1']
17.749673	18.469962	['V', 'AH0', 'N']
19.850514	20.030586	['W', 'AA1']
20.09061	20.270682	['N', 'AH0']
20.330706	20.510778	['F', 'IY1', 'L']
20.570802	20.930946	['L', 'AY1', 'K']
21.111018	21.531186	['Y', 'UW1']
21.531186	21.711258	['JH', 'AH1', 'S', 'T']
21.771282	21.89133	['AE1', 'Z']
22.011378	22.431546	['S', 'T', 'R', 'AO1', 'NG']
22.49157	22.671642	['AE1', 'Z']
22.731666	22.911738	['Y', 'UW1']
22.971762	24.052194	['AA1', 'R']
29.634427	29.814499	['AY1']
29.874523	30.054595	['W', 'AA1']
30.114619	30.294691	['N', 'AH0']
30.354715	30.654836	['B', 'IY1']
30.834908	31.135028	['D', 'EY1']
31.255076	31.675244	['L', 'AY2', 'T']
31.735268	31.91534	['IH0', 'N']
31.975364	32.395532	['Y', 'AO1', 'R']
32.455556	33.175844	['AY1', 'Z']
33.355916	33.535988	['AY1']
33.596012	33.776084	['W', 'AA1']
33.836108	34.01618	['N', 'AH0']
34.076204	34.3163	['B', 'IY1']
34.556396	34.91654	['S', 'AH1', 'N']
35.036588	35.456756	['L', 'AY2', 'T']
35.696852	35.936948	['OW1', 'N']
35.996972	36.177044	['L', 'IY0']
36.297092	36.657236	['W', 'AO1', 'R']
36.717261	37.137429	['M', 'ER0']
37.257477	37.437549	['AY1']
37.497573	37.677645	['W', 'AA1']
37.737669	37.857717	['N', 'AH0']
37.917741	38.157837	['B', 'IY1']
38.337909	38.638029	['D', 'EY1']
38.818101	39.298293	['L', 'AY2', 'T']
39.298293	39.478365	['IH0', 'N']
39.538389	39.958557	['Y', 'AO1', 'R']
40.018581	40.678845	['AY1', 'Z']
40.918941	41.099013	['AY1']
41.159037	41.339109	['W', 'AA1']
41.399133	41.579205	['N', 'AH0']
41.639229	41.999373	['B', 'IY1']
42.119421	42.599613	['L', 'AH1', 'V']
43.13983	43.43995	['OW1', 'N']
43.499974	43.620022	['L', 'IY0']
43.800094	44.160238	['S', 'T', 'R', 'AO1', 'NG']
44.220262	44.64043	['ER0']
44.700454	44.880526	['AY1']
44.94055	45.120622	['W', 'AA1']
45.180646	45.360718	['N', 'AH0']
45.420742	45.720862	['B', 'IY1']
45.900934	46.261078	['D', 'EY1']
46.381126	47.821702	['L', 'AY2', 'T']
55.924944	56.16504	['W', 'AA1']
56.225064	56.405136	['N', 'AH0']
56.46516	56.825304	['L', 'AY1', 'V']
56.945352	57.125424	['F', 'ER0']
57.185448	57.605616	['EH1']
57.66564	58.686048	['V', 'ER0']
59.826504	60.006576	['W', 'AA1']
60.0666	60.246672	['N', 'AH0']
60.306696	60.606816	['T', 'AH1', 'CH']
60.726864	60.96696	['Y', 'AO1', 'R']
61.026984	61.447152	['HH', 'AE1', 'N', 'D']
61.507176	61.687248	['AH0', 'N', 'D']
61.747273	61.867321	['IH0', 'K']
61.987369	62.407537	['S', 'P', 'L', 'OW1', 'D']
62.467561	62.647633	['L', 'AY1', 'K']
62.707657	62.827705	['AH0']
62.947753	63.307897	['S', 'T', 'AA1', 'R']
63.608017	63.788089	['W', 'AA1']
63.848113	63.968161	['N', 'AH0']
64.088209	64.568401	['S', 'T', 'AE1', 'N', 'D']
64.628425	64.748473	['B', 'IH0']
64.868521	65.288689	['S', 'AY1', 'D']
65.348713	66.008977	['Y', 'UW1']
67.509577	67.689649	['AO1', 'L']
67.749673	67.869721	['W', 'EY2', 'Z']
67.98977	68.28989	['B', 'IY1']
68.409938	68.59001	['T', 'AH0']
68.650034	69.070202	['G', 'EH1']
69.130226	69.250274	['DH', 'ER0']
69.430346	69.610418	['W', 'EH0']
69.670442	70.030586	['R', 'EH1']
70.09061	70.210658	['V', 'ER0']
70.330706	70.570802	['Y', 'UW1']
70.630826	71.711258	['AA1', 'R']
73.511978	73.69205	['AY1']
73.752074	73.932146	['W', 'AA1']
73.99217	74.172242	['N', 'AH0']
74.232267	74.592411	['B', 'IY1']
74.712459	75.072603	['D', 'EY1']
75.192651	75.612819	['L', 'AY2', 'T']
75.672843	75.852915	['IH0', 'N']
75.912939	76.333107	['Y', 'AO1', 'R']
76.393131	76.933347	['AY1', 'Z']
77.353515	77.533587	['AY1']
77.593611	77.773683	['W', 'AA1']
77.833707	78.013779	['N', 'AH0']
78.073803	78.373923	['B', 'IY1']
78.553995	78.974163	['S', 'AH1', 'N']
79.034187	79.454355	['L', 'AY2', 'T']
79.634427	79.934547	['OW1', 'N']
79.994571	80.174643	['L', 'IY0']
80.234667	80.654836	['W', 'AO1', 'R']
80.71486	81.075004	['M', 'ER0']
81.195052	81.375124	['AY1']
81.435148	81.61522	['W', 'AA1']
81.675244	81.855316	['N', 'AH0']
81.91534	82.275484	['B', 'IY1']
82.395532	82.755676	['D', 'EY1']
82.875724	83.295892	['L', 'AY2', 'T']
83.355916	83.535988	['IH0', 'N']
83.596012	84.01618	['Y', 'AO1', 'R']
84.076204	84.61642	['AY1', 'Z']
85.036588	85.21666	['AY1']
85.276684	85.456756	['W', 'AA1']
85.51678	85.696852	['N', 'AH0']
85.756876	85.996972	['B', 'IY1']
86.237068	86.717261	['L', 'AH1', 'V']
87.137429	87.557597	['OW1', 'N']
87.617621	87.737669	['L', 'IY0']
87.917741	88.277885	['S', 'T', 'R', 'AO1', 'NG']
88.337909	88.758077	['ER0']
88.878125	89.058197	['AY1']
89.118221	89.298293	['W', 'AA1']
89.358317	89.538389	['N', 'AH0']
89.598413	89.958557	['B', 'IY1']
90.078605	90.438749	['D', 'EY1']
90.558797	90.978965	['L', 'AY2', 'T']
91.038989	91.219061	['IH0', 'N']
91.279085	91.699253	['Y', 'AO1', 'R']
91.759277	92.299493	['AY1', 'Z']
92.719661	92.899733	['AY1']
92.959758	93.13983	['W', 'AA1']
93.199854	93.379926	['N', 'AH0']
93.43995	93.74007	['B', 'IY1']
93.920142	94.34031	['S', 'AH1', 'N']
94.400334	94.820502	['L', 'AY2', 'T']
95.000574	95.300694	['OW1', 'N']
95.360718	95.54079	['L', 'IY0']
95.600814	96.020982	['W', 'AO1', 'R']
96.081006	96.44115	['M', 'ER0']
96.561198	96.74127	['AY1']
96.801294	96.981366	['W', 'AA1']
97.04139	97.221462	['N', 'AH0']
97.281486	97.64163	['B', 'IY1']
97.761678	98.121822	['D', 'EY1']
98.24187	99.502375	['L', 'AY2', 'T']
100.102615	100.282687	['W', 'AA1']
