start_time	end_time	syllable
6.892735	7.096816	['P', 'UH1', 'T']
7.096816	7.50498	['AA1', 'N']
7.60702	8.015184	['Y', 'AO1', 'R']
8.015184	8.423347	['B', 'EH1', 'S', 'T']
8.423347	8.83151	['D', 'R', 'EH1', 'S']
8.83151	9.239673	['D', 'AA1', 'R']
9.239673	9.647837	['L', 'IH0', 'NG']
10.158041	10.362122	['K', 'AE1', 'N', 'T']
10.362122	10.566204	['Y', 'UW1']
10.566204	11.28049	['S', 'IY1']
11.28049	11.484571	['DH', 'AH0']
11.484571	11.892735	['T', 'AY1', 'M']
11.892735	12.300898	['IH1', 'Z']
12.300898	12.913143	['R', 'AY1', 'T']
13.933551	14.137633	['DH', 'EH1', 'R']
14.137633	14.341714	['W', 'IH1', 'L']
14.341714	14.851918	['N', 'EH1']
14.851918	15.056	['V', 'ER0']
15.056	15.668245	['B', 'IY1']
15.668245	15.872327	['AH0']
15.872327	16.28049	['N', 'AH1']
16.28049	16.484571	['DH', 'ER0']
16.484571	16.688653	['T', 'AH0']
16.688653	18.321306	['N', 'AY1', 'T']
20.056	20.668245	['Y', 'AE1']
23.015184	23.321306	['K', 'AH1', 'M']
23.321306	23.933551	['AA1', 'N']
24.341714	24.647837	['Y', 'UW1']
24.647837	25.056	['G', 'AA1', 'T']
25.056	25.464163	['Y', 'AO1', 'R']
25.464163	26.178449	['M', 'OW1']
26.178449	26.382531	['T', 'ER0']
26.382531	26.892735	['R', 'AH1']
26.892735	27.402939	['N', 'IH0', 'NG']
27.709061	27.913143	['DH', 'EH1', 'N']
27.913143	28.117224	['AY1']
28.117224	28.525388	['G', 'AA1', 'T']
28.525388	28.933551	['M', 'AY1']
28.933551	29.443755	['EH1', 'N']
29.443755	29.851918	['JH', 'AH0', 'N', 'Z']
29.851918	30.362122	['AA1', 'N']
31.076408	31.28049	['S', 'EY1']
31.28049	31.484571	['DH', 'AH0']
31.484571	32.300898	['W', 'ER1', 'D']
32.300898	32.50498	['AH0', 'N', 'D']
32.50498	33.117224	['D', 'AA1', 'R']
33.117224	33.321306	['L', 'IH0', 'NG']
33.321306	33.933551	['W', 'IY1', 'L']
33.933551	34.239673	['B', 'IY1']
34.239673	34.749878	['G', 'AO1', 'N']
38.321306	38.627429	['AW1', 'T']
38.627429	39.035592	['S', 'AY1', 'D']
39.035592	39.443755	['DH', 'AH0']
39.443755	39.953959	['W', 'ER1', 'L', 'D']
39.953959	40.464163	['IH1', 'Z']
40.464163	40.872327	['W', 'EY1']
40.872327	41.28049	['T', 'IH0', 'NG']
42.096816	42.402939	['B', 'AH1', 'T']
42.402939	42.60702	['W', 'IY1']
