start_time	end_time	syllable
34.504	34.854877	['AY1']
34.854877	35.381193	['W', 'AA1', 'N', 'T']
35.381193	35.556632	['T', 'UW1']
35.556632	36.609263	['L', 'AY1', 'V']
37.486456	37.837333	['AY1']
37.837333	38.012772	['W', 'AA1', 'N', 'T']
38.012772	38.363649	['T', 'UW1']
38.363649	39.065404	['G', 'IH1', 'V']
40.293474	40.644351	['AY1', 'V']
40.644351	40.819789	['B', 'IH1', 'N']
40.819789	41.258386	['AH0']
41.258386	41.521544	['M', 'AY1']
41.521544	41.96014	['N', 'ER0']
41.872421	42.398737	['F', 'AO1', 'R']
42.661895	43.539088	['HH', 'AA1', 'R', 'T']
43.539088	43.802246	['AH1', 'V']
43.802246	44.854877	['G', 'OW1', 'L', 'D']
45.995228	46.346105	['IH1', 'T', 'S']
46.346105	46.784702	['DH', 'IY1', 'Z']
46.784702	46.96014	['IH0', 'K']
46.96014	47.486456	['S', 'P', 'R', 'EH1']
47.486456	48.802246	['SH', 'AH0', 'N', 'Z']
48.802246	49.240842	['AY1']
49.240842	49.416281	['N', 'EH1']
49.416281	49.679439	['V', 'ER0']
49.679439	50.644351	['G', 'IH1', 'V']
51.784702	52.04786	['DH', 'AE1', 'T']
52.04786	52.311018	['K', 'IY1', 'P']
52.311018	52.574175	['M', 'IY1']
52.574175	52.837333	['S', 'ER1']
52.837333	53.451368	['CH', 'IH0', 'NG']
53.363649	53.714526	['F', 'AO1', 'R']
53.714526	53.977684	['AH0']
53.977684	54.854877	['HH', 'AA1', 'R', 'T']
54.854877	55.030316	['AH1', 'V']
55.030316	56.872421	['G', 'OW1', 'L', 'D']
57.574175	57.837333	['AH0', 'N', 'D']
57.837333	58.27593	['AY1', 'M']
58.27593	58.539088	['G', 'EH1']
58.539088	58.889965	['T', 'IH0', 'NG']
58.889965	59.767158	['OW1', 'L', 'D']
63.27593	63.626807	['K', 'IY1', 'P', 'S']
63.626807	63.802246	['M', 'IY1']
63.802246	64.153123	['S', 'ER1']
64.153123	64.591719	['CH', 'IH0', 'NG']
64.504	64.767158	['F', 'AO1', 'R']
64.767158	65.030316	['AH0']
65.030316	65.995228	['HH', 'AA1', 'R', 'T']
65.995228	66.258386	['AH1', 'V']
66.258386	68.012772	['G', 'OW1', 'L', 'D']
68.889965	69.065404	['AH0', 'N', 'D']
69.065404	69.416281	['AY1', 'M']
69.416281	69.591719	['G', 'EH1']
69.591719	69.942596	['T', 'IH0', 'NG']
69.942596	71.082947	['OW1', 'L', 'D']
96.433825	96.784702	['AY1', 'V']
96.784702	97.135579	['B', 'IH1', 'N']
97.135579	97.398737	['T', 'UW1']
97.398737	97.574175	['HH', 'AA1']
97.574175	97.837333	['L', 'IY0']
97.837333	99.065404	['W', 'UH2', 'D']
99.240842	99.591719	['AY1', 'V']
99.591719	99.942596	['B', 'IH1', 'N']
