start_time	end_time	syllable
5.195	5.423955	['W', 'EH1', 'N']
5.481194	5.595672	['SH', 'IY1']
5.65291	5.881866	['W', 'AA1', 'Z']
5.996343	6.282537	['T', 'W', 'EH1', 'N']
6.397015	6.740448	['T', 'IY0']
6.912164	7.312836	['T', 'UW1']
7.484552	8.343134	['DH', 'AH0']
8.801044	9.03	['F', 'Y', 'UW1']
9.144477	9.258955	['CH', 'ER0']
9.316194	9.545149	['L', 'UH1', 'K', 'T']
9.716865	10.46097	['B', 'R', 'AY1', 'T']
12.521566	12.578805	['B', 'AH1', 'T']
12.578805	12.80776	['SH', 'IY1', 'Z']
12.864999	12.979477	['N', 'IH1', 'R']
12.979477	13.208432	['L', 'IY0']
13.265671	13.609104	['TH', 'ER1']
13.666342	14.009775	['D', 'IY0']
14.124253	14.582163	['N', 'AW1']
14.639402	14.75388	['AH0', 'N', 'D']
14.811118	15.612462	['SH', 'IY1', 'Z']
16.242088	16.471044	['AW1', 'T']
16.528282	16.64276	['EH1']
16.699999	16.928954	['V', 'ER0']
16.699999	16.928954	['IY0']
16.986193	17.787536	['N', 'AY1', 'T']
19.905372	20.077088	['AY1']
20.134327	20.248804	['S', 'IY1']
20.363282	20.534998	['DH', 'AE1', 'T']
20.592237	20.93567	['L', 'UH1', 'K']
21.050148	21.221864	['IH0', 'N']
21.221864	21.336342	['HH', 'ER0']
21.450819	22.023207	['F', 'EY1', 'S']
22.137685	22.939028	['SH', 'IY1', 'Z']
23.110744	23.225222	['G', 'AA1', 'T']
23.3397	23.454177	['DH', 'AE1', 'T']
23.511416	23.740371	['L', 'UH1', 'K']
23.79761	23.912088	['IH0', 'N']
23.969326	24.656192	['HH', 'ER0']
24.885147	25.68649	['AY1']
26.602311	26.716789	['SH', 'IY1', 'Z']
26.774028	26.945744	['TH', 'IH1', 'NG']
27.002983	27.117461	['K', 'IH0', 'NG']
27.231938	27.460893	['HH', 'AW1']
27.518132	27.63261	['D', 'IH1', 'D']
27.689849	27.861565	['AY1']
27.918804	28.262237	['G', 'EH1', 'T']
28.433953	29.464251	['HH', 'IY1', 'R']
30.723505	30.837983	['AH0', 'N', 'D']
30.895221	31.181415	['W', 'AH1', 'N']
31.238654	31.410371	['D', 'ER0']
31.524848	32.039997	['IH0', 'NG']
32.268953	33.242012	['W', 'AY1']
34.386788	34.501266	['IH1', 'T', 'S']
34.558505	34.78746	['S', 'AE1', 'D']
34.844699	34.959176	['B', 'AH1', 'T']
35.016415	35.188131	['IH1', 'T', 'S']
35.24537	35.703281	['T', 'R', 'UW1']
35.817758	36.046713	['HH', 'AW1']
36.161191	36.275669	['S', 'AH0']
36.332907	36.561863	['S', 'AY1']
36.619101	36.733579	['AH0']
36.790818	36.962534	['T', 'IY0']
37.019773	37.477683	['S', 'EH1', 'Z']
37.6494	37.763877	['HH', 'ER0']
37.821116	37.992833	['L', 'AY1', 'F']
38.050071	38.164549	['IH1', 'Z']
38.221788	38.393504	['AO0', 'L']
38.450743	38.565221	['R', 'EH1']
38.622459	38.908653	['D', 'IY0']
38.965892	39.309325	['OW1']
