start_time	end_time	syllable
8.638	9.002816	['AA1', 'N']
9.002816	9.124421	['DH', 'AH0']
9.124421	9.489236	['F', 'ER1', 'S', 'T']
9.610842	9.975657	['P', 'AA1', 'R', 'T']
10.097262	10.462078	['AH1', 'V']
10.583683	10.948499	['DH', 'AH0']
10.948499	11.434919	['JH', 'ER1']
11.434919	11.92134	['N', 'IY0']
12.529366	12.894182	['AY1']
12.894182	13.015787	['W', 'AA1', 'Z']
13.015787	13.380602	['L', 'UH1']
13.380602	13.623813	['K', 'IH0', 'NG']
13.623813	13.867023	['AE1', 'T']
13.867023	14.231839	['AO1', 'L']
14.353444	14.718259	['DH', 'AH0']
14.96147	15.447891	['L', 'AY1', 'F']
16.542337	16.907153	['DH', 'EH1', 'R']
16.907153	17.028758	['W', 'ER0']
17.028758	17.393574	['P', 'L', 'AE1', 'N', 'T', 'S']
17.515179	17.879994	['AH0', 'N', 'D']
17.879994	18.366415	['B', 'ER1', 'D', 'Z']
18.731231	18.974441	['AH0', 'N', 'D']
18.974441	19.339257	['R', 'AA1', 'K', 'S']
19.460862	19.825677	['AH0', 'N', 'D']
19.825677	20.312098	['TH', 'IH1', 'NG', 'Z']
20.433703	20.798519	['DH', 'EH1', 'R']
20.798519	21.041729	['W', 'AA1', 'Z']
21.041729	21.52815	['S', 'AE1', 'N', 'D']
21.52815	21.77136	['AH0', 'N', 'D']
21.892966	22.257781	['HH', 'IH1', 'L', 'Z']
22.500991	22.744202	['AH0', 'N', 'D']
22.744202	23.717043	['R', 'IH1', 'NG', 'Z']
24.81149	24.933095	['DH', 'AH0']
24.933095	25.297911	['F', 'ER1', 'S', 'T']
25.419516	25.784332	['TH', 'IH1', 'NG']
25.784332	25.905937	['AY1']
25.905937	26.270752	['M', 'EH1', 'T']
26.392358	26.757173	['W', 'AA1', 'Z']
26.757173	26.878778	['AH0']
26.878778	27.243594	['F', 'L', 'AY1']
27.243594	27.365199	['W', 'IH1', 'DH']
27.365199	27.730015	['AH0']
27.730015	28.216435	['B', 'AH1', 'Z']
28.338041	28.702856	['AH0', 'N', 'D']
28.702856	28.824461	['DH', 'AH0']
28.824461	29.189277	['S', 'K', 'AY1']
29.918908	30.283724	['W', 'IH1', 'DH']
30.283724	30.648539	['N', 'OW1']
30.648539	31.13496	['K', 'L', 'AW1', 'D', 'Z']
32.715827	32.837433	['DH', 'AH0']
32.837433	33.202248	['HH', 'IY1', 'T']
33.323853	33.688669	['W', 'AA1', 'Z']
33.688669	34.17509	['HH', 'AA1', 'T']
34.296695	34.66151	['AH0', 'N', 'D']
34.66151	34.783116	['DH', 'AH0']
34.783116	35.147931	['G', 'R', 'AW1', 'N', 'D']
35.269536	35.634352	['W', 'AA1', 'Z']
35.634352	36.120773	['D', 'R', 'AY1']
36.242378	36.607193	['B', 'AH1', 'T']
36.607193	36.728799	['DH', 'AH0']
36.728799	37.093614	['EH1', 'R']
37.215219	37.580035	['W', 'AA1', 'Z']
37.70164	38.066456	['F', 'UH1', 'L']
38.188061	38.552876	['AH1', 'V']
38.552876	39.039297	['S', 'AW1', 'N', 'D']
40.498559	40.620165	['AY1', 'V']
40.620165	40.98498	['B', 'IH1', 'N']
41.106585	41.471401	['TH', 'R', 'UW1']
41.471401	41.593006	['DH', 'AH0']
41.593006	41.957822	['D', 'EH1']
41.957822	42.079427	['Z', 'ER0', 'T']
42.079427	42.444242	['AA1', 'N']
42.444242	42.565848	['AH0']
42.565848	42.930663	['HH', 'AO1', 'R', 'S']
42.930663	43.052268	['W', 'IH1', 'DH']
43.052268	43.417084	['N', 'OW1']
43.417084	43.903505	['N', 'EY1', 'M']
43.903505	44.02511	['IH1', 'T']
44.02511	44.389925	['F', 'EH1', 'L', 'T']
44.511531	44.876346	['G', 'UH1', 'D']
44.876346	44.997951	['T', 'UW1']
44.997951	45.362767	['B', 'IY1']
45.362767	45.849188	['AW1', 'T']
45.849188	46.335608	['AH1', 'V']
46.335608	46.457214	['DH', 'AH0']
46.457214	47.30845	['R', 'EY1', 'N']
47.916476	48.281291	['IH0', 'N']
48.281291	48.402897	['DH', 'AH0']
48.402897	48.767712	['D', 'EH1']
48.889317	49.254133	['Z', 'ER0', 'T']
49.740554	49.862159	['Y', 'UW1']
49.862159	50.226974	['K', 'AE1', 'N']
50.226974	50.34858	['R', 'IH0']
50.34858	50.713395	['M', 'EH1', 'M']
50.713395	50.835	['B', 'ER0']
50.835	51.199816	['Y', 'AO1', 'R']
51.199816	51.686237	['N', 'EY1', 'M']
51.807842	52.172657	['K', 'AA1', 'Z']
52.172657	52.294263	['DH', 'EH1', 'R']
52.294263	52.659078	['EY1', 'N', 'T']
52.780683	53.145499	['N', 'OW1']
53.267104	53.63192	['W', 'AH1', 'N']
53.753525	54.11834	['F', 'AO1', 'R']
54.11834	54.239946	['T', 'UW1']
54.239946	54.604761	['G', 'IH1', 'V']
54.604761	54.726366	['Y', 'UW1']
54.726366	55.091182	['N', 'OW1']
55.091182	55.577603	['P', 'EY1', 'N']
56.307234	57.15847	['L', 'AA1']
57.280075	58.131312	['L', 'AA1']
58.131312	58.617732	['L', 'AA1']
58.617732	58.739338	['L', 'AA1']
58.739338	59.104153	['L', 'AA1']
59.225758	59.590574	['L', 'AA1']
59.712179	60.076995	['L', 'AA1']
60.076995	60.1986	['L', 'AA1']
60.1986	60.563415	['L', 'AA1']
61.171441	62.022678	['L', 'AA1']
62.022678	62.995519	['L', 'AA1']
64.089966	64.941202	['L', 'AA1']
65.062807	65.914044	['L', 'AA1']
65.914044	66.278859	['L', 'AA1']
66.278859	66.400465	['L', 'AA1']
66.400465	66.76528	['L', 'AA1']
66.886885	67.251701	['L', 'AA1']
67.373306	67.738122	['L', 'AA1']
67.738122	67.859727	['L', 'AA1']
67.859727	68.224542	['L', 'AA1']
68.832568	69.683805	['L', 'AA1']
69.683805	70.656646	['L', 'AA1']
71.264672	71.629488	['AE1', 'F']
71.629488	71.751093	['T', 'ER0']
71.751093	72.115908	['T', 'UW1']
72.237514	73.08875	['D', 'EY1', 'Z']
73.210355	73.575171	['IH0', 'N']
73.575171	73.696776	['DH', 'AH0']
73.696776	74.061591	['D', 'EH1']
74.061591	74.548012	['Z', 'ER0', 'T']
74.548012	75.034433	['S', 'AH1', 'N']
75.399248	75.520854	['M', 'AY1']
75.520854	76.007274	['S', 'K', 'IH1', 'N']
