start_time	end_time	syllable
18.978	19.435317	['S', 'AH1', 'M']
19.618244	19.892634	['K', 'AO1', 'L']
19.984098	20.167024	['IH1', 'T']
20.258488	20.807268	['F', 'EY1', 'TH']
20.898732	21.264585	['S', 'AH1', 'M']
21.356049	21.630439	['K', 'AO1', 'L']
21.721902	21.813366	['IH1', 'T']
21.996293	24.099951	['L', 'AH1', 'V']
24.923122	25.471902	['S', 'AH1', 'M']
25.563366	25.92922	['K', 'AO1', 'L']
25.92922	26.20361	['IH1', 'T']
26.20361	26.660927	['G', 'AY1']
26.660927	27.209707	['D', 'AH0', 'N', 'S']
27.392634	27.667024	['F', 'R', 'AH1', 'M']
27.758488	27.849951	['AH0']
27.941415	29.496293	['B', 'AH1', 'V']
31.051171	31.599951	['Y', 'UW1']
31.691415	31.874341	['AA1', 'R']
31.965805	32.148732	['DH', 'AH0']
32.240195	32.606049	['R', 'IY1']
32.606049	33.063366	['Z', 'AH0', 'N']
33.154829	33.42922	['W', 'IY1']
33.612146	34.069463	['F', 'AW1', 'N', 'D']
34.069463	35.807268	['AW1']
34.069463	35.807268	['ER0', 'Z']
36.538976	36.904829	['S', 'OW1']
36.996293	37.545073	['TH', 'AE1', 'NG', 'K']
37.728	38.00239	['Y', 'UW1']
38.093854	39.557268	['S', 'T', 'AA1', 'R', 'Z']
44.404829	44.95361	['S', 'AH1', 'M']
45.045073	45.319463	['P', 'IY1']
45.319463	45.593854	['P', 'AH0', 'L']
45.685317	46.325561	['TH', 'IH1', 'NG', 'K']
46.417024	46.691415	['IH1', 'T', 'S']
46.782878	47.148732	['F', 'AA1', 'R']
47.240195	47.423122	['AH0']
47.423122	49.25239	['W', 'EY1']
50.441415	50.990195	['S', 'AH1', 'M']
51.081659	51.538976	['N', 'OW1']
51.538976	51.813366	['IH1', 'T', 'S']
51.904829	52.270683	['W', 'IH1', 'DH']
52.270683	52.728	['DH', 'EH1', 'M']
52.819463	53.093854	['EH1', 'V']
53.093854	53.368244	['R', 'IY0']
53.459707	55.837756	['D', 'EY1']
56.569463	56.935317	['Y', 'UW1']
57.118244	57.392634	['AA1', 'R']
57.484098	57.667024	['DH', 'AH0']
57.758488	58.124341	['R', 'IY1']
58.124341	58.581659	['Z', 'AH0', 'N']
58.673122	58.947512	['W', 'IY1']
59.038976	59.496293	['F', 'AW1', 'N', 'D']
59.496293	61.325561	['AW1']
59.496293	61.325561	['ER0', 'Z']
62.057268	62.331659	['S', 'OW1']
62.423122	63.063366	['TH', 'AE1', 'NG', 'K']
63.154829	63.42922	['Y', 'UW1']
63.520683	66.721902	['S', 'T', 'AA1', 'R', 'Z']
70.014585	70.471902	['DH', 'EH1', 'R']
70.563366	71.020683	['AA1', 'R']
71.112146	71.386537	['N', 'OW1']
71.478	72.301171	['W', 'IH1', 'N', 'D', 'Z']
72.301171	72.575561	['DH', 'AE1', 'T']
72.667024	72.941415	['K', 'AE1', 'N']
73.032878	73.673122	['B', 'L', 'OW1']
73.856049	74.130439	['IH1', 'T']
74.221902	74.404829	['AH0']
74.404829	75.136537	['W', 'EY1']
75.319463	75.593854	['AA1', 'N']
75.685317	75.868244	['DH', 'AH0']
75.959707	77.423122	['EH1', 'R']
78.70361	79.069463	['W', 'EH1', 'N']
79.160927	79.435317	['DH', 'EY1']
79.52678	79.984098	['T', 'R', 'AY1']
80.167024	80.441415	['T', 'UW1']
80.532878	81.081659	['B', 'L', 'OW1']
81.173122	81.630439	['IH1', 'T']
81.630439	81.904829	['AH0']
81.996293	82.728	['W', 'EY1']
82.910927	83.093854	['IH1', 'Z']
83.093854	83.368244	['W', 'EH1', 'N']
83.368244	83.551171	['Y', 'UW1']
83.551171	84.008488	['N', 'OW1']
84.191415	84.557268	['IH1', 'T']
84.648732	85.014585	['W', 'IH1', 'L']
85.106049	85.563366	['AO1', 'L']
85.654829	86.20361	['W', 'EY2', 'Z']
86.295073	86.569463	['B', 'IY1']
86.660927	88.581659	['DH', 'EH1', 'R']
90.77678	90.959707	['T', 'UW1']
91.051171	91.508488	['S', 'AH1', 'M']
91.691415	91.874341	['IH1', 'T', 'S']
91.965805	92.148732	['DH', 'AH0']
92.240195	92.971902	['S', 'T', 'R', 'EH1', 'NG', 'K', 'TH']
93.154829	93.246293	['T', 'UW1']
93.337756	93.520683	['B', 'IY1']
93.612146	93.795073	['AH0']
93.886537	95.441415	['P', 'AA1', 'R', 'T']
96.721902	96.904829	['T', 'UW1']
96.996293	97.545073	['S', 'AH1', 'M']
97.636537	97.910927	['IH1', 'T', 'S']
98.00239	98.093854	['AH0']
98.185317	98.642634	['F', 'IY1']
98.734098	99.282878	['L', 'IH0', 'NG']
99.374341	99.648732	['IH0', 'N']
99.648732	99.831659	['DH', 'AH0']
100.014585	102.392634	['HH', 'AA1', 'R', 'T']
103.032878	103.490195	['AH0', 'N', 'D']
103.581659	103.947512	['W', 'EH1', 'N']
103.947512	104.130439	['Y', 'UH1', 'R']
104.221902	104.67922	['AW1', 'T']
104.770683	105.136537	['DH', 'EH1', 'R']
105.136537	105.593854	['AA1', 'N']
105.593854	105.868244	['Y', 'AO1', 'R']
105.868244	106.965805	['OW1', 'N']
108.337756	108.612146	['IH1', 'T', 'S']
108.612146	108.886537	['DH', 'AH0']
108.978	109.435317	['W', 'EY1']
109.52678	110.075561	['B', 'AE1', 'K']
110.167024	114.557268	['HH', 'OW1', 'M']
141.996293	142.545073	['DH', 'EH1', 'R']
142.636537	143.00239	['AA1', 'R']
143.093854	143.459707	['N', 'OW1']
143.551171	144.191415	['W', 'IH1', 'N', 'D', 'Z']
144.282878	144.557268	['DH', 'AE1', 'T']
144.648732	144.923122	['K', 'AE1', 'N']
145.014585	145.654829	['B', 'L', 'OW1']
145.837756	146.020683	['IH1', 'T']
146.112146	146.295073	['AH0']
146.386537	147.118244	['W', 'EY1']
147.301171	147.575561	['AA1', 'N']
147.667024	147.849951	['DH', 'AH0']
147.941415	149.862146	['EH1', 'R']
150.593854	150.959707	['W', 'EH1', 'N']
151.051171	151.417024	['DH', 'EY1']
151.508488	151.965805	['T', 'R', 'AY1']
152.057268	152.331659	['T', 'UW1']
152.423122	153.063366	['B', 'L', 'OW1']
153.154829	153.612146	['IH1', 'T']
153.70361	153.886537	['AH0']
153.978	154.709707	['W', 'EY1']
154.892634	155.075561	['IH1', 'Z']
155.075561	155.349951	['W', 'EH1', 'N']
155.349951	155.532878	['Y', 'UW1']
155.532878	156.173122	['N', 'OW1']
156.173122	156.538976	['IH1', 'T']
156.630439	157.087756	['W', 'IH1', 'L']
157.087756	157.636537	['AO1', 'L']
157.636537	158.185317	['W', 'EY2', 'Z']
158.27678	158.459707	['B', 'IY1']
158.551171	161.75239	['DH', 'EH1', 'R']
162.941415	163.490195	['S', 'AH1', 'M']
163.581659	163.856049	['K', 'AO1', 'L']
163.947512	164.130439	['IH1', 'T']
164.130439	164.770683	['F', 'EY1', 'TH']
164.862146	165.136537	['S', 'AH1', 'M']
165.228	165.50239	['K', 'AO1', 'L']
165.50239	165.685317	['IH1', 'T']
165.77678	167.788976	['L', 'AH1', 'V']
168.886537	169.435317	['S', 'AH1', 'M']
169.52678	169.984098	['K', 'AO1', 'L']
169.984098	170.258488	['IH1', 'T']
170.349951	170.715805	['G', 'AY1']
170.715805	171.173122	['D', 'AH0', 'N', 'S']
171.264585	171.630439	['F', 'R', 'AH1', 'M']
171.721902	171.904829	['AH0']
171.996293	174.557268	['B', 'AH1', 'V']
175.014585	175.563366	['Y', 'UW1']
175.654829	175.837756	['AA1', 'R']
175.92922	176.112146	['DH', 'AH0']
176.112146	176.569463	['R', 'IY1']
176.660927	177.118244	['Z', 'AH0', 'N']
177.209707	177.484098	['W', 'IY1']
177.575561	178.032878	['F', 'AW1', 'N', 'D']
178.032878	180.045073	['AW1']
178.032878	180.045073	['ER0', 'Z']
180.50239	180.77678	['S', 'OW1']
180.959707	181.508488	['TH', 'AE1', 'NG', 'K']
181.599951	182.697512	['Y', 'UW1']
182.880439	186.264585	['S', 'T', 'AA1', 'R', 'Z']
188.00239	188.368244	['S', 'OW1']
188.459707	189.008488	['TH', 'AE1', 'NG', 'K']
189.099951	189.465805	['Y', 'UW1']
189.557268	193.124341	['S', 'T', 'AA1', 'R', 'Z']
193.673122	194.404829	['S', 'OW1']
194.496293	194.95361	['TH', 'AE1', 'NG', 'K']
195.136537	199.618244	['Y', 'UW1']
200.075561	209.404829	['S', 'T', 'AA1', 'R', 'Z']
