start_time	end_time	syllable
10.746	11.178692	['AY1']
11.178692	12.188308	['HH', 'AE1', 'V']
12.188308	12.332538	['AH0']
12.332538	14.784462	['D', 'R', 'IY1', 'M']
15.072923	15.649846	['AH0']
15.649846	16.659462	['S', 'AO1', 'NG']
16.659462	16.947923	['T', 'UW1']
16.947923	18.967154	['S', 'IH1', 'NG']
19.832538	20.409462	['T', 'UW1']
20.409462	21.274846	['HH', 'EH1', 'L', 'P']
21.274846	21.563308	['M', 'IY1']
21.563308	23.726769	['K', 'OW1', 'P']
24.015231	25.024846	['W', 'IH1', 'DH']
25.024846	26.034462	['EH1']
26.034462	26.322923	['N', 'IY0']
26.322923	28.486385	['TH', 'IH2', 'NG']
29.640231	29.928692	['IH1', 'F']
29.928692	30.072923	['Y', 'UW1']
30.072923	30.649846	['S', 'IY1']
30.649846	30.794077	['DH', 'AH0']
30.794077	31.515231	['W', 'AH1', 'N']
31.515231	33.967154	['D', 'ER0']
34.255615	34.544077	['AH1', 'V']
34.544077	34.832538	['AH0']
34.832538	35.121	['F', 'EH1']
35.121	35.409462	['R', 'IY0']
35.409462	38.005615	['T', 'EY1', 'L']
38.871	39.159462	['Y', 'UW1']
39.159462	39.303692	['K', 'AE1', 'N']
39.303692	39.880615	['T', 'EY1', 'K']
39.880615	40.024846	['DH', 'AH0']
40.024846	40.457538	['F', 'Y', 'UW1']
40.457538	42.909462	['CH', 'ER0']
43.486385	43.774846	['IY1']
43.774846	44.063308	['V', 'IH0', 'N']
44.063308	44.351769	['IH1', 'F']
44.351769	44.496	['Y', 'UW1']
44.496	46.803692	['F', 'EY1', 'L']
48.101769	48.390231	['AY1']
48.390231	48.678692	['B', 'IH0']
48.678692	49.111385	['L', 'IY1', 'V']
49.111385	49.255615	['IH0', 'N']
49.255615	49.832538	['EY1', 'N']
49.832538	52.428692	['JH', 'AH0', 'L', 'Z']
52.717154	53.294077	['S', 'AH1', 'M']
52.717154	53.294077	['TH', 'IH0', 'NG']
53.294077	53.726769	['G', 'UH1', 'D']
53.726769	54.015231	['IH0', 'N']
54.015231	54.592154	['EH1', 'V']
54.592154	54.880615	['R', 'IY0']
54.880615	55.601769	['TH', 'IH2', 'NG']
55.601769	56.034462	['AY1']
56.034462	57.188308	['S', 'IY1']
57.332538	57.621	['AY1']
57.621	57.909462	['B', 'IH0']
57.909462	58.342154	['L', 'IY1', 'V']
58.342154	58.486385	['IH0', 'N']
58.486385	59.063308	['EY1', 'N']
59.063308	60.938308	['JH', 'AH0', 'L', 'Z']
61.947923	62.236385	['W', 'EH1', 'N']
62.236385	62.524846	['AY1']
62.524846	62.813308	['N', 'OW1']
62.813308	63.101769	['DH', 'AH0']
63.101769	63.967154	['T', 'AY1', 'M']
63.967154	64.255615	['IH1', 'Z']
64.255615	64.832538	['R', 'AY1', 'T']
64.832538	65.409462	['F', 'AO1', 'R']
65.409462	65.842154	['M', 'IY1']
65.986385	66.563308	['AY1', 'L']
66.563308	67.428692	['K', 'R', 'AO1', 'S']
67.428692	67.572923	['DH', 'AH0']
67.572923	70.169077	['S', 'T', 'R', 'IY1', 'M']
70.457538	71.178692	['AY1']
71.178692	72.188308	['HH', 'AE1', 'V']
72.188308	72.476769	['AH0']
72.476769	74.496	['D', 'R', 'IY1', 'M']
75.361385	75.938308	['AY1']
75.938308	76.803692	['HH', 'AE1', 'V']
76.803692	77.092154	['AH0']
77.092154	79.399846	['D', 'R', 'IY1', 'M']
79.688308	80.409462	['AH0']
80.409462	81.274846	['F', 'AE1', 'N']
81.274846	81.563308	['T', 'AH0']
81.563308	84.159462	['S', 'IY0']
84.447923	85.169077	['T', 'UW1']
85.169077	86.034462	['HH', 'EH1', 'L', 'P']
86.034462	86.322923	['M', 'IY1']
86.322923	88.919077	['TH', 'R', 'UW1']
89.063308	89.784462	['R', 'IY0']
89.784462	90.505615	['AE1']
90.505615	90.794077	['L', 'AH0']
90.794077	93.534462	['T', 'IY0']
94.255615	94.688308	['AH0', 'N', 'D']
94.688308	94.976769	['M', 'AY1']
94.976769	95.265231	['D', 'EH2']
95.265231	95.553692	['S', 'T', 'AH0']
95.553692	95.842154	['N', 'EY1']
95.842154	98.149846	['SH', 'AH0', 'N']
98.871	99.447923	['M', 'EY1', 'K', 'S']
99.447923	99.592154	['IH1', 'T']
99.592154	100.024846	['W', 'ER1', 'TH']
100.024846	100.169077	['DH', 'AH0']
100.169077	102.476769	['W', 'AY1', 'L']
103.630615	104.207538	['P', 'UH1']
103.630615	104.207538	['SH', 'IH0', 'NG']
104.207538	104.640231	['TH', 'R', 'UW1']
104.640231	104.784462	['DH', 'AH0']
104.784462	105.505615	['D', 'AA1', 'R', 'K']
105.505615	107.813308	['N', 'AH0', 'S']
108.246	108.678692	['S', 'T', 'IH1', 'L']
108.678692	109.111385	['AH0']
108.678692	109.111385	['N', 'AH1']
109.111385	109.544077	['DH', 'ER0']
109.544077	111.707538	['M', 'AY1', 'L']
112.717154	113.294077	['AY1']
113.294077	113.582538	['B', 'IH0']
113.582538	115.169077	['L', 'IY1', 'V']
115.169077	115.313308	['IH0', 'N']
115.313308	115.746	['EY1', 'N']
115.746	117.765231	['JH', 'AH0', 'L', 'Z']
118.486385	119.351769	['S', 'AH1', 'M']
118.486385	119.351769	['TH', 'IH0', 'NG']
119.351769	119.640231	['G', 'UH1', 'D']
119.640231	119.928692	['IH0', 'N']
119.928692	120.361385	['EH1', 'V']
120.361385	121.082538	['R', 'IY0']
121.082538	121.659462	['TH', 'IH2', 'NG']
121.659462	122.092154	['AY1']
122.092154	123.246	['S', 'IY1']
123.390231	123.678692	['AY1']
123.678692	123.967154	['B', 'IH0']
123.967154	124.544077	['L', 'IY1', 'V']
124.544077	124.688308	['IH0', 'N']
124.688308	125.121	['EY1', 'N']
125.121	126.851769	['JH', 'AH0', 'L', 'Z']
127.717154	128.294077	['W', 'EH1', 'N']
128.294077	128.582538	['AY1']
128.582538	128.871	['N', 'OW1']
128.871	129.159462	['DH', 'AH0']
129.159462	130.169077	['T', 'AY1', 'M']
130.169077	130.457538	['IH1', 'Z']
130.457538	131.034462	['R', 'AY1', 'T']
131.034462	131.467154	['F', 'AO1', 'R']
131.467154	131.899846	['M', 'IY1']
132.044077	132.765231	['AY1', 'L']
132.765231	133.630615	['K', 'R', 'AO1', 'S']
133.630615	133.774846	['DH', 'AH0']
133.774846	136.082538	['S', 'T', 'R', 'IY1', 'M']
136.515231	137.236385	['AY1']
137.236385	138.246	['HH', 'AE1', 'V']
138.246	138.390231	['AH0']
138.390231	140.842154	['D', 'R', 'IY1', 'M']
141.274846	141.996	['AY1', 'L']
141.996	142.861385	['K', 'R', 'AO1', 'S']
142.861385	143.005615	['DH', 'AH0']
143.005615	145.601769	['S', 'T', 'R', 'IY1', 'M']
145.890231	146.611385	['AY1']
146.611385	147.621	['HH', 'AE1', 'V']
147.621	147.765231	['AH0']
147.765231	150.794077	['D', 'R', 'IY1', 'M']
170.121	170.697923	['AY1']
170.697923	171.707538	['HH', 'AE1', 'V']
171.707538	171.851769	['AH0']
171.851769	174.592154	['D', 'R', 'IY1', 'M']
174.592154	175.169077	['AH0']
175.313308	176.178692	['S', 'AO1', 'NG']
176.178692	176.467154	['T', 'UW1']
176.467154	179.207538	['S', 'IH1', 'NG']
179.351769	179.928692	['T', 'UW1']
179.928692	180.938308	['HH', 'EH1', 'L', 'P']
180.938308	181.226769	['M', 'IY1']
181.226769	183.822923	['K', 'OW1', 'P']
183.967154	184.688308	['W', 'IH1', 'DH']
184.688308	185.697923	['EH1']
185.697923	185.986385	['N', 'IY0']
185.986385	188.149846	['TH', 'IH2', 'NG']
189.303692	189.592154	['IH1', 'F']
189.592154	189.880615	['Y', 'UW1']
189.880615	190.313308	['S', 'IY1']
190.313308	190.457538	['DH', 'AH0']
190.457538	191.034462	['W', 'AH1', 'N']
191.034462	193.053692	['D', 'ER0']
193.774846	194.351769	['AH1', 'V']
194.351769	194.496	['AH0']
194.496	194.784462	['F', 'EH1']
194.784462	195.072923	['R', 'IY0']
195.072923	197.380615	['T', 'EY1', 'L']
198.390231	198.822923	['Y', 'UW1']
198.822923	199.111385	['K', 'AE1', 'N']
199.111385	199.544077	['T', 'EY1', 'K']
199.544077	199.832538	['DH', 'AH0']
199.832538	200.121	['F', 'Y', 'UW1']
200.121	202.284462	['CH', 'ER0']
203.005615	203.582538	['IY1']
203.582538	203.871	['V', 'IH0', 'N']
203.871	204.159462	['IH1', 'F']
