start_time	end_time	syllable
6.152643	6.241929	['L', 'EH1', 'T']
6.4205	6.509786	['M', 'IY1']
6.688357	7.000857	['HH', 'OW1', 'L', 'D']
7.224071	7.804429	['Y', 'UW1']
8.250857	8.340143	['F', 'AO1', 'R']
8.518714	8.608	['DH', 'AH0']
8.786571	9.054429	['L', 'AE1', 'S', 'T']
9.322286	9.991929	['T', 'AY1', 'M']
10.438357	10.527643	['IH1', 'T', 'S']
10.706214	10.7955	['DH', 'AH0']
10.974071	11.241929	['L', 'AE1', 'S', 'T']
11.465143	11.822286	['CH', 'AE1', 'N', 'S']
12.000857	12.090143	['T', 'UW1']
12.268714	12.447286	['F', 'IY1', 'L']
12.581214	12.804429	['AH0']
13.072286	13.608	['G', 'EH1', 'N']
14.679429	14.768714	['B', 'AH1', 'T']
14.947286	15.036571	['Y', 'UW1']
15.215143	15.527643	['B', 'R', 'OW1', 'K']
15.750857	16.554429	['M', 'IY1']
16.822286	16.956214	['N', 'AW1']
17.090143	17.268714	['AY1']
17.402643	17.6705	['K', 'AE1', 'N', 'T']
17.938357	18.563357	['F', 'IY1', 'L']
18.697286	18.875857	['EH1']
19.009786	19.188357	['N', 'IY0']
19.500857	19.902643	['TH', 'IH2', 'NG']
23.250857	23.340143	['W', 'EH1', 'N']
23.518714	23.652643	['AY1']
23.831214	24.188357	['L', 'AH1', 'V']
24.366929	24.858	['Y', 'UW1']
25.393714	25.527643	['AH0', 'N', 'D']
25.661571	25.840143	['S', 'OW1']
25.974071	26.241929	['AH0', 'N']
26.465143	27.0455	['T', 'R', 'UW1']
27.804429	27.893714	['AY1']
28.072286	28.474071	['K', 'AE1', 'N', 'T']
28.608	28.786571	['IY1']
28.875857	29.009786	['V', 'IH0', 'N']
29.143714	29.277643	['K', 'AH0', 'N']
29.411571	29.5455	['V', 'IH1', 'N', 'S']
29.679429	29.947286	['M', 'AY2']
30.215143	30.661571	['S', 'EH1', 'L', 'F']
31.822286	31.956214	['W', 'EH1', 'N']
32.090143	32.179429	['AY1', 'M']
32.358	32.625857	['S', 'P', 'IY1']
32.893714	33.340143	['K', 'IH0', 'NG']
33.9205	34.054429	['IH1', 'T', 'S']
34.188357	34.322286	['DH', 'AH0']
34.456214	34.768714	['V', 'OY1', 'S']
35.036571	35.438357	['AH1', 'V']
35.840143	36.018714	['S', 'AH1', 'M']
36.108	36.4205	['W', 'AH2', 'N']
36.643714	37.179429	['EH1', 'L', 'S']
40.393714	40.840143	['OW1']
40.929429	41.018714	['IH1', 'T']
41.197286	42.134786	['T', 'EH1', 'R', 'Z']
42.313357	43.027643	['M', 'IY1']
43.161571	43.875857	['AH1', 'P']
45.215143	45.304429	['AY1']
45.483	45.661571	['T', 'R', 'AY1', 'D']
45.7955	45.929429	['T', 'UW1']
46.063357	46.241929	['HH', 'OW1', 'L', 'D']
46.331214	46.554429	['AA1', 'N']
46.866929	47.000857	['B', 'AH1', 'T']
47.134786	47.224071	['IH1', 'T']
47.402643	47.625857	['HH', 'ER1', 'T', 'S']
47.938357	48.161571	['T', 'UW1']
48.429429	48.9205	['M', 'AH1', 'CH']
49.500857	49.590143	['AY1']
49.768714	49.947286	['T', 'R', 'AY1', 'D']
50.081214	50.1705	['T', 'UW1']
50.304429	50.393714	['F', 'ER0']
50.572286	50.840143	['G', 'IH1', 'V']
51.108	51.241929	['B', 'AH1', 'T']
51.331214	51.4205	['IH1', 'T', 'S']
51.643714	51.822286	['N', 'AA1', 'T']
52.179429	52.402643	['IH0']
52.715143	53.2955	['N', 'AH1', 'F']
53.786571	53.875857	['T', 'UW1']
54.054429	54.366929	['M', 'EY1', 'K']
54.590143	54.724071	['IH1', 'T']
54.858	54.991929	['AO1', 'L']
55.125857	55.259786	['OW2']
55.438357	56.241929	['K', 'EY1']
57.313357	57.491929	['Y', 'UW1']
57.581214	57.849071	['K', 'AE1', 'N', 'T']
58.116929	58.474071	['P', 'L', 'EY1']
58.652643	59.099071	['AA1', 'N']
59.411571	59.5455	['B', 'R', 'OW1']
59.679429	59.902643	['K', 'AH0', 'N']
60.215143	60.7955	['S', 'T', 'R', 'IH1', 'NG', 'Z']
61.554429	61.688357	['Y', 'UW1']
61.822286	62.0455	['K', 'AE1', 'N', 'T']
62.358	63.429429	['F', 'IY1', 'L']
63.652643	63.831214	['EH1']
63.965143	64.143714	['N', 'IY0']
64.500857	65.036571	['TH', 'IH2', 'NG']
65.840143	65.974071	['DH', 'AE1', 'T']
66.108	66.331214	['Y', 'AO1', 'R']
66.643714	66.911571	['HH', 'AA1', 'R', 'T']
67.179429	67.804429	['D', 'OW1', 'N', 'T']
