start_time	end_time	syllable
42.554	42.703701	['AH0', 'N', 'D']
42.753601	42.953202	['IH1', 'T']
43.003102	43.851405	['K', 'EY1', 'M']
43.901305	44.150806	['T', 'UW1']
44.200707	44.350407	['M', 'IY1']
44.400307	45.04901	['DH', 'EH1', 'N']
45.448212	45.647812	['DH', 'AE1', 'T']
45.697713	46.745617	['EH1']
45.697713	46.745617	['V', 'ER0']
46.795517	46.995118	['IY0']
47.045018	47.893321	['P', 'L', 'AE1', 'N']
48.043022	48.142822	['IH1', 'Z']
48.192723	48.292523	['AH0']
48.342423	48.691725	['T', 'AY1']
48.741625	49.440228	['N', 'IY0']
49.490128	50.288531	['P', 'R', 'EH1', 'R']
50.338431	50.687733	['T', 'UW1']
50.737633	51.086934	['F', 'AA1']
51.136834	51.386335	['DH', 'ER0']
51.436236	52.334439	['T', 'AY1', 'M']
53.282543	53.482144	['AE1', 'Z']
53.532044	53.681745	['AY1']
53.731645	54.230647	['S', 'T', 'EH1', 'R', 'D']
54.280547	54.530048	['AE1', 'T']
54.579948	55.07895	['M', 'AY1']
55.12885	55.727653	['SH', 'UW1', 'Z']
56.027054	56.176754	['IH0', 'N']
56.226655	56.376355	['DH', 'AH0']
56.426255	57.274559	['AY1']
57.324459	57.67376	['S', 'IY1']
57.723661	58.222663	['Y', 'UW1']
58.821465	58.971166	['DH', 'AE1', 'T']
59.021066	59.769569	['R', 'IY1', 'K', 'T']
59.819469	60.218671	['AH1', 'V']
60.268571	60.967174	['P', 'IH1', 'S']
61.066974	61.466176	['AH0', 'N', 'D']
61.516076	61.915277	['F', 'AO1', 'R']
61.965178	62.214679	['OW1']
62.264579	62.963182	['N', 'AY1', 'N']
64.060986	64.210687	['AH0', 'N', 'D']
64.260587	64.410287	['AY1']
64.460188	64.859389	['R', 'AE1']
64.909289	65.308491	['SH', 'AH0', 'N', 'D']
65.358391	65.807493	['M', 'AY1']
65.857393	66.406295	['B', 'R', 'EH1', 'TH', 'S']
66.805497	67.005098	['AE1', 'Z']
67.054998	67.154798	['AY1']
67.204699	68.003102	['S', 'EH1', 'D']
68.053002	68.202703	['T', 'UW1']
68.252603	68.502104	['M', 'AY2']
68.552004	69.200707	['S', 'EH1', 'L', 'F']
69.500108	69.649808	['DH', 'AE1', 'T']
69.699709	69.849409	['AY1', 'D']
69.899309	70.298511	['AO0', 'L']
70.348411	70.498112	['R', 'EH1']
70.548012	70.947214	['D', 'IY0']
70.997114	71.396315	['T', 'EY1']
71.446216	71.845417	['K', 'AH0', 'N']
71.895317	72.294519	['T', 'UW1']
72.344419	72.743621	['M', 'AH1', 'CH']
72.793521	72.993122	['T', 'AH0']
73.043022	73.492124	['D', 'EY1']
74.340427	74.540028	['AE1', 'Z']
74.589928	74.839429	['IY1', 'CH']
74.889329	75.13883	['D', 'IH0']
75.188731	76.136834	['S', 'EH1', 'N']
76.186735	76.585936	['D', 'IH0', 'NG']
76.635836	77.184739	['P', 'IY1', 'K']
77.48414	77.58394	['AA1', 'N']
77.63384	77.933242	['DH', 'AH0']
77.983142	78.881345	['EH1', 'L']
78.931246	79.280547	['S', 'IY1']
79.330447	79.92925	['D', 'IY1']
79.879349	80.12885	['T', 'UH1', 'K']
