start_time	end_time	syllable
42.693	43.185922	['Y', 'AE1']
58.125255	58.31484	['OW1']
58.428592	58.618177	['K', 'AE1', 'N', 'T']
58.731928	58.807762	['Y', 'UW1']
58.921514	59.262767	['S', 'IY1']
59.338602	59.528187	['DH', 'AE1', 'T']
59.679855	59.75569	['DH', 'AH0']
59.831524	60.210695	['W', 'ER1', 'L', 'D']
60.324446	60.514031	['W', 'IY1']
60.589866	60.741534	['L', 'AY1', 'V']
60.817368	61.196539	['IH0', 'N']
61.992798	62.182383	['P', 'AH0']
62.2203	62.296134	['L', 'IH1']
62.371969	62.447803	['T', 'AH0']
62.523637	62.675305	['K', 'AH0', 'L']
62.713222	63.054476	['L', 'AY1', 'Z']
63.168228	63.357813	['AA1', 'R']
63.471564	63.547398	['JH', 'AH1', 'S', 'T']
63.623233	63.812818	['K', 'AO1', 'R']
63.926569	64.002403	['P', 'ER0']
63.926569	64.002403	['AH0', 'T']
64.116155	64.229906	['D', 'IH0']
64.457408	64.57116	['S', 'IH1']
64.646994	65.101999	['ZH', 'AH0', 'N', 'Z']
65.822424	65.936175	['DH', 'EY1', 'L']
66.049926	66.239512	['T', 'EY1', 'K']
66.353263	66.467014	['AH0']
66.504931	66.959936	['W', 'EY1']
66.997853	67.225356	['AO1', 'L']
67.30119	67.452858	['DH', 'AH0']
67.490776	67.642444	['HH', 'OW1', 'P', 'S']
67.756195	67.907863	['N', 'AA1', 'T']
67.945781	68.059532	['DH', 'EH1', 'R']
68.2112	68.438703	['P', 'R', 'AA1']
68.514537	68.666205	['M', 'AH0']
68.855791	69.197044	['S', 'AH0', 'Z']
69.689967	69.765801	['DH', 'EY1', 'L']
69.879552	70.107055	['P', 'UH1', 'T']
70.182889	70.258723	['AE1', 'N']
70.334557	70.675811	['EH1', 'N', 'D']
70.827479	71.054982	['T', 'UW1']
71.092899	71.20665	['DH', 'AH0']
71.244567	71.434153	['L', 'AE1', 'N', 'D']
71.547904	71.623738	['AH1', 'V']
71.737489	71.964992	['DH', 'AH0']
72.002909	72.11666	['L', 'IH1']
72.154577	72.950836	['V', 'IH0', 'NG']
75.491281	75.567115	['L', 'UH1', 'K']
75.642949	75.718784	['AE1', 'T']
75.832535	75.984203	['DH', 'AH0']
76.02212	76.211706	['L', 'AO1', 'S', 'T']
76.515042	78.410897	['S', 'OW1', 'L', 'Z']
79.131322	79.28299	['OW1']
79.358824	79.54841	['DH', 'EY1']
79.662161	79.851746	['S', 'IY1', 'M']
80.003415	80.117166	['S', 'OW1']
80.268834	80.989259	['B', 'L', 'AE1', 'K']
83.112616	83.18845	['L', 'UH1', 'K']
83.264284	83.340118	['AE1', 'T']
83.415952	83.605538	['DH', 'AH0']
83.643455	83.870958	['L', 'AO1', 'S', 'T']
84.136377	86.1839	['S', 'OW1', 'L', 'Z']
86.790573	87.131827	['S', 'OW1', 'L', 'Z']
87.245578	87.321413	['AH1', 'V']
87.473081	88.00392	['B', 'L', 'AE1', 'K']
103.398258	103.549926	['DH', 'EY1']
103.663677	103.853263	['G', 'AA1', 'T']
103.929097	104.004931	['K', 'AH0', 'N']
104.194517	104.611605	['T', 'R', 'OW1', 'L']
104.649522	104.839107	['AH1', 'V']
104.914941	105.028693	['DH', 'AH0']
105.06661	105.332029	['HH', 'AA1', 'R', 'T']
105.369946	105.521615	['AH1', 'V']
105.597449	105.749117	['AH0']
105.824951	106.052454	['N', 'EY1']
106.279957	107.038298	['SH', 'AH0', 'N']
107.265801	107.341635	['DH', 'EH1', 'R']
107.455386	107.644972	['S', 'OW1']
107.758723	107.834557	['SH', 'AH0', 'L']
107.948308	108.289562	['B', 'R', 'AY1', 'B', 'Z']
108.441231	108.592899	['S', 'IY1', 'M']
108.70665	108.782484	['S', 'OW1']
108.896236	109.047904	['G', 'R', 'EY1']
109.161655	109.313324	['SH', 'AH0']
109.61666	110.375002	['S', 'L', 'IY0']
