start_time	end_time	syllable
18.296	18.541902	['Y', 'UW1']
18.541902	19.033705	['L', 'UH1', 'K']
19.033705	19.525508	['IH0', 'N']
19.525508	19.77141	['M', 'AY1']
19.77141	21.24682	['AY1', 'Z']
21.984525	22.230426	['AH0', 'N', 'D']
22.230426	22.476328	['AY1']
22.476328	22.968131	['G', 'EH1', 'T']
22.968131	23.214033	['IH0']
23.214033	23.951738	['M', 'OW1']
23.951738	24.197639	['SH', 'AH0']
24.197639	25.918951	['N', 'AH0', 'L']
25.918951	26.164852	['IH0', 'N']
26.164852	27.148459	['S', 'AY1', 'D']
27.640262	27.886164	['AY1']
27.886164	28.132066	['N', 'OW1']
28.132066	28.377967	['IH1', 'T', 'S']
28.377967	28.86977	['K', 'R', 'EY1']
28.86977	29.115672	['Z', 'IY0']
29.115672	29.853377	['B', 'AH1', 'T']
30.099279	30.34518	['Y', 'UW1']
30.34518	30.836984	['S', 'T', 'IH1', 'L']
30.836984	31.082885	['K', 'AE1', 'N']
31.082885	31.574689	['T', 'AH1', 'CH']
31.574689	32.066492	['M', 'AY1']
32.066492	34.033705	['HH', 'AA1', 'R', 'T']
35.755016	36.000918	['AH0', 'N', 'D']
36.000918	36.24682	['AE1', 'F']
36.24682	36.492721	['T', 'ER0']
36.492721	36.738623	['AO1', 'L']
36.738623	36.984525	['DH', 'IH1', 'S']
36.984525	38.214033	['T', 'AY1', 'M']
38.459934	38.705836	['Y', 'UW1', 'D']
38.705836	38.951738	['TH', 'IH1', 'NG', 'K']
38.951738	39.197639	['DH', 'AE1', 'T']
39.197639	39.935344	['AY1']
40.427148	40.673049	['AY1']
40.673049	40.918951	['W', 'UH1']
40.918951	41.410754	['D', 'AH0', 'N', 'T']
41.410754	42.148459	['F', 'IY1', 'L']
42.148459	42.394361	['DH', 'AH0']
42.394361	43.132066	['S', 'EY1', 'M']
43.623869	43.86977	['T', 'AY1', 'M']
43.86977	44.115672	['M', 'EH1', 'L', 'T', 'S']
44.115672	44.361574	['IH0', 'N']
44.361574	44.607475	['T', 'UW1']
44.607475	44.853377	['N', 'AH1']
44.853377	46.82059	['TH', 'IH0', 'NG']
47.312393	48.050098	['N', 'AH1']
48.050098	48.541902	['TH', 'IH0', 'NG']
48.541902	50.755016	['CH', 'EY1', 'N', 'JH']
52.72223	53.705836	['AY1']
53.705836	54.197639	['S', 'T', 'IH1', 'L']
54.443541	54.689443	['B', 'IH0']
54.689443	56.656656	['L', 'IY1', 'V']
56.902557	57.394361	['S', 'AH1', 'M']
57.394361	57.886164	['D', 'EY2']
57.886164	58.132066	['Y', 'UW1']
58.132066	58.623869	['AH0', 'N', 'D']
58.623869	60.34518	['M', 'IY1']
60.836984	61.082885	['W', 'IH1', 'L']
61.082885	61.574689	['F', 'AY1', 'N', 'D']
61.82059	62.066492	['AW0']
61.82059	62.066492	['ER0']
62.066492	63.050098	['S', 'EH1', 'L', 'V', 'Z']
63.541902	63.787803	['IH0', 'N']
63.787803	64.525508	['L', 'AH1', 'V']
64.525508	64.77141	['AH0']
64.77141	66.24682	['G', 'EH1', 'N']
69.197639	70.181246	['AY1']
70.181246	70.673049	['HH', 'AE1', 'D']
70.673049	70.918951	['AH0']
70.918951	72.148459	['D', 'R', 'IY1', 'M']
73.132066	73.623869	['S', 'AH1', 'M']
73.623869	74.115672	['D', 'EY2']
74.115672	74.361574	['Y', 'UW1']
74.361574	74.853377	['AH0', 'N', 'D']
74.853377	76.82059	['M', 'IY1']
77.066492	77.312393	['W', 'IH1', 'L']
77.312393	77.804197	['F', 'AY1', 'N', 'D']
78.050098	78.296	['AW0']
78.050098	78.296	['ER0']
78.296	79.279607	['S', 'EH1', 'L', 'V', 'Z']
79.77141	80.017311	['IH0', 'N']
80.017311	80.755016	['L', 'AH1', 'V']
80.755016	81.000918	['AH0']
81.000918	82.72223	['G', 'EH1', 'N']
83.214033	83.705836	['IY1', 'CH']
83.705836	84.197639	['D', 'EY1']
84.197639	84.689443	['AH1', 'V']
84.689443	84.935344	['M', 'AY1']
85.181246	86.410754	['L', 'AY1', 'F']
87.148459	87.394361	['AY1', 'M']
87.394361	87.640262	['F', 'IH1', 'L', 'D']
87.640262	88.132066	['W', 'IH1', 'DH']
88.132066	88.377967	['AO1', 'L']
88.377967	89.115672	['DH', 'AH0']
89.115672	90.099279	['JH', 'OY1']
90.591082	90.836984	['AY1']
90.836984	91.082885	['K', 'AE1', 'N']
91.082885	92.558295	['F', 'AY1', 'N', 'D']
93.296	93.541902	['Y', 'UW1']
93.541902	94.033705	['N', 'OW1']
94.033705	94.279607	['DH', 'AE1', 'T']
94.279607	94.77141	['AY1']
95.263213	95.509115	['AY1', 'M']
95.509115	96.000918	['N', 'AA1', 'T']
96.000918	96.24682	['DH', 'AH0']
96.24682	96.738623	['D', 'EH1']
96.738623	97.230426	['S', 'P', 'R', 'IH0', 'T']
97.230426	98.705836	['T', 'AY1', 'P']
100.427148	100.673049	['IH1', 'F']
100.673049	101.164852	['DH', 'EH1', 'R', 'Z']
101.164852	101.656656	['W', 'AH1', 'N']
101.656656	101.902557	['S', 'P', 'AA1', 'R', 'K']
101.902557	102.148459	['AH1', 'V']
102.148459	103.132066	['HH', 'OW1', 'P']
103.377967	103.623869	['L', 'EH1', 'F', 'T']
103.623869	103.86977	['IH0', 'N']
103.86977	104.115672	['M', 'AY1']
104.115672	105.099279	['G', 'R', 'AE1', 'S', 'P']
105.34518	105.591082	['AY1', 'L']
105.591082	105.836984	['HH', 'OW1', 'L', 'D']
105.836984	106.328787	['IH1', 'T']
106.328787	106.82059	['W', 'IH1', 'DH']
106.82059	107.312393	['B', 'OW1', 'TH']
107.312393	108.296	['HH', 'AE1', 'N', 'D', 'Z']
108.541902	108.787803	['IH1', 'T', 'S']
108.787803	109.033705	['W', 'ER1', 'TH']
109.033705	109.279607	['DH', 'AH0']
109.279607	109.525508	['R', 'IH1', 'S', 'K']
109.525508	109.77141	['AH1', 'V']
109.77141	110.263213	['B', 'ER1']
110.263213	111.24682	['N', 'IH0', 'NG']
111.492721	111.738623	['T', 'UW1']
111.738623	112.230426	['HH', 'AE1', 'V']
112.230426	112.476328	['AH0']
112.476328	112.968131	['S', 'EH1']
112.968131	113.459934	['K', 'AH0', 'N', 'D']
113.459934	115.918951	['CH', 'AE1', 'N', 'S']
118.132066	121.328787	['N', 'OW1']
121.328787	121.574689	['N', 'OW1']
121.574689	121.82059	['N', 'OW1']
122.066492	125.509115	['IH2']
122.066492	125.509115	['N', 'IY0']
122.066492	125.509115	['D', 'IY0']
122.066492	125.509115	['AA1']
122.066492	125.509115	['B', 'IY0']
122.066492	125.509115	['AH0', 'D']
126.000918	126.24682	['AY1']
126.24682	126.738623	['S', 'T', 'IH1', 'L']
126.738623	126.984525	['B', 'IH0']
126.984525	127.230426	['L', 'IY1', 'V']
127.476328	127.72223	['DH', 'AE1', 'T']
127.72223	127.968131	['W', 'IY1']
127.968131	128.459934	['K', 'AE1', 'N']
128.459934	128.705836	['B', 'IY1']
128.705836	128.951738	['T', 'AH0']
128.951738	129.197639	['G', 'EH1']
129.197639	131.410754	['DH', 'ER0']
131.902557	133.377967	['OW1']
133.86977	134.115672	['IH1', 'F']
134.115672	134.607475	['W', 'IY1']
134.607475	134.853377	['B', 'IH0']
134.853377	135.34518	['L', 'IY1', 'V']
135.34518	135.836984	['DH', 'AE1', 'T']
135.836984	136.328787	['T', 'R', 'UW1']
136.328787	137.312393	['L', 'AH1', 'V']
138.050098	138.541902	['N', 'EH1']
138.541902	139.033705	['V', 'ER0']
139.033705	139.525508	['HH', 'AE1', 'Z']
139.525508	140.017311	['T', 'UW1']
140.017311	141.738623	['EH1', 'N', 'D']
141.984525	142.230426	['DH', 'EH1', 'N']
142.230426	142.72223	['W', 'IY1']
142.72223	143.214033	['M', 'AH1', 'S', 'T']
143.459934	143.951738	['N', 'OW1']
143.951738	144.197639	['DH', 'AE1', 'T']
144.197639	144.935344	['W', 'IY1']
144.935344	145.181246	['W', 'IH1', 'L']
145.181246	145.918951	['L', 'AH1', 'V']
145.918951	146.164852	['AH0']
146.164852	148.623869	['G', 'EH1', 'N']
150.34518	151.328787	['AY1']
151.328787	151.82059	['S', 'T', 'IH1', 'L']
151.82059	152.066492	['B', 'IH0']
152.066492	153.787803	['L', 'IY1', 'V']
154.525508	155.017311	['S', 'AH1', 'M']
155.017311	155.509115	['D', 'EY1']
155.509115	155.755016	['Y', 'UW1']
155.755016	156.24682	['AH0', 'N', 'D']
156.24682	157.968131	['M', 'IY1']
158.214033	158.459934	['W', 'IH1', 'L']
158.459934	158.951738	['F', 'AY1', 'N', 'D']
159.197639	159.689443	['AW0']
159.197639	159.689443	['ER0']
159.689443	160.181246	['S', 'EH1', 'L', 'V', 'Z']
161.164852	161.410754	['IH0', 'N']
161.410754	162.148459	['L', 'AH1', 'V']
162.148459	162.394361	['AH0']
162.394361	163.623869	['G', 'EH1', 'N']
166.574689	167.558295	['AY1']
167.558295	168.050098	['HH', 'AE1', 'D']
168.050098	168.296	['AH0']
168.296	170.017311	['D', 'R', 'IY1', 'M']
170.509115	171.000918	['S', 'AH1', 'M']
171.000918	171.492721	['D', 'EY2']
171.738623	171.984525	['Y', 'UW1']
171.984525	172.476328	['AH0', 'N', 'D']
172.476328	174.689443	['M', 'IY1']
175.181246	175.427148	['W', 'IH1', 'L']
175.427148	175.918951	['F', 'AY1', 'N', 'D']
175.918951	176.410754	['AW0']
175.918951	176.410754	['ER0']
176.410754	177.148459	['S', 'EH1', 'L', 'V', 'Z']
177.394361	177.640262	['IH0', 'N']
177.640262	178.377967	['L', 'AH1', 'V']
178.377967	178.623869	['AH0']
178.623869	181.82059	['G', 'EH1', 'N']
183.296	184.033705	['AY1']
184.033705	184.525508	['S', 'T', 'IH1', 'L']
184.525508	184.77141	['B', 'EH2']
184.77141	186.984525	['L', 'IY0']
184.77141	186.984525	['V', 'EH1']
184.77141	186.984525	['SH', 'AH0']
184.77141	186.984525	['B', 'IY0']
186.984525	187.476328	['S', 'AH1', 'M']
187.476328	187.968131	['D', 'EY1']
187.968131	188.214033	['Y', 'UW1']
188.214033	188.705836	['AH0', 'N', 'D']
188.705836	189.443541	['M', 'IY1']
189.443541	191.410754	['JH', 'AH2', 'S', 'T']
189.443541	191.410754	['S', 'AH0']
189.443541	191.410754	['G', 'AH0', 'N']
189.443541	191.410754	['D', 'IH1']
189.443541	191.410754	['S', 'AH0']
189.443541	191.410754	['N', 'AH0', 'T', 'S']
193.623869	193.86977	['IH0', 'N']
193.86977	194.607475	['L', 'AH1', 'V']
194.607475	194.853377	['AH0']
194.853377	198.787803	['G', 'EH1', 'N']
199.033705	200.017311	['AY1']
200.017311	200.509115	['HH', 'AE1', 'D']
200.509115	200.755016	['AH0']
200.755016	203.705836	['D', 'R', 'IY2']
200.755016	203.705836	['M', 'IY0']
200.755016	203.705836	['AH0']
200.755016	203.705836	['M', 'Y', 'UW1']
200.755016	203.705836	['R', 'AH0']
200.755016	203.705836	['S', 'UW2']
200.755016	203.705836	['V', 'ER0']
203.459934	203.951738	['S', 'AH1', 'M']
203.951738	204.443541	['D', 'EY2']
204.443541	204.689443	['Y', 'UW1']
204.689443	205.181246	['AH0', 'N', 'D']
205.181246	206.656656	['M', 'IY1']
207.148459	207.394361	['W', 'IH1', 'L']
207.394361	207.886164	['F', 'AY1', 'N', 'D']
207.886164	208.377967	['AW0']
207.886164	208.377967	['ER0']
208.377967	209.115672	['S', 'EH1', 'L', 'V', 'Z']
209.853377	210.099279	['IH0', 'N']
210.099279	210.836984	['L', 'AH1', 'V']
210.836984	211.082885	['AH0']
211.082885	213.050098	['G', 'EH1', 'N']
