start_time	end_time	syllable
0.25125	0.596965	['S', 'T', 'EH1', 'P']
0.712203	1.000299	['B', 'AY1']
1.173157	1.518872	['S', 'T', 'EH1', 'P']
2.095064	2.440779	['HH', 'AA1', 'R', 'T']
2.556017	2.786494	['T', 'UW1']
2.901732	3.247447	['HH', 'AA1', 'R', 'T']
3.938877	4.284592	['L', 'EH1', 'F', 'T']
4.399831	4.745546	['R', 'AY1', 'T']
4.860784	5.206499	['L', 'EH1', 'F', 'T']
5.552214	5.782691	['W', 'IY1']
5.897929	6.358883	['AO1', 'L']
6.704598	7.280789	['F', 'AO1', 'L']
7.626504	9.585556	['D', 'AW1', 'N']
9.931272	10.276987	['L', 'AY1', 'K']
10.507463	10.968417	['T', 'OY1']
11.198893	11.832704	['S', 'OW1', 'L']
12.005562	14.195091	['JH', 'ER0', 'Z']
19.380816	19.553674	['IH1', 'T']
19.611293	19.784151	['W', 'AA1']
19.84177	20.014627	['Z', 'AH0', 'N', 'T']
20.072246	20.245104	['M', 'AY1']
20.302723	20.475581	['IH0', 'N']
20.5332	20.706057	['T', 'EH1', 'N']
20.763677	20.936534	['CH', 'AH0', 'N']
20.994153	21.167011	['T', 'UW1']
21.22463	21.397487	['M', 'IH0']
21.455107	21.800822	['S', 'L', 'IY1', 'D']
21.91606	22.261775	['Y', 'UW1']
23.126063	23.241301	['IH1', 'T']
23.29892	23.471778	['N', 'EH1']
23.529397	23.702254	['V', 'ER0']
23.759874	23.932731	['SH', 'UH1', 'D']
23.99035	24.163208	['HH', 'AE1', 'V']
24.278446	25.142734	['B', 'IH1', 'N']
25.257972	25.949402	['DH', 'IH1', 'S']
26.064641	27.332263	['W', 'EY1']
28.945599	29.118457	['W', 'AH1', 'T']
29.233695	29.348934	['K', 'AE1', 'N']
29.464172	29.57941	['AY1']
29.694649	30.674175	['S', 'EY1']
33.670372	33.843229	['IH1', 'T', 'S']
33.900849	34.246564	['T', 'R', 'UW1']
34.707517	34.880375	['AY1']
34.937994	35.110851	['D', 'IH1', 'D']
35.16847	35.341328	['IH0', 'K']
35.398947	35.571805	['S', 'T', 'EH1', 'N', 'D']
35.629424	35.802281	['DH', 'AH0']
35.859901	36.032758	['IH2', 'N']
36.090377	36.263235	['V', 'IH0']
36.320854	36.666569	['T', 'EY1']
36.781807	37.357999	['SH', 'AH0', 'N']
37.876572	38.049429	['AY1']
38.107048	38.222287	['N', 'EH1']
38.337525	38.452763	['V', 'ER0']
38.568002	38.68324	['N', 'UW1']
38.798479	38.913717	['HH', 'AW1']
39.028955	39.893243	['L', 'AO1', 'NG']
40.008481	40.469435	['Y', 'UW1', 'D']
40.584673	42.428487	['S', 'T', 'EY1']
46.461829	47.153259	['W', 'EH1', 'N']
47.383736	47.959927	['Y', 'UW1']
48.190404	49.458026	['HH', 'IY1', 'R']
49.688503	49.918979	['T', 'EH0', 'M']
50.034218	51.186601	['T', 'EY1']
51.417078	51.762793	['SH', 'AH0', 'N']
51.878031	52.915177	['K', 'AO1', 'L']
54.75899	55.104705	['IH1', 'T', 'S']
55.219944	55.45042	['Y', 'AO1', 'R']
55.680897	56.83328	['HH', 'AA1', 'R', 'T']
57.063757	57.294234	['DH', 'AE1', 'T']
57.409472	59.138048	['T', 'EY1', 'K', 'S']
59.368524	60.059954	['T', 'EY1', 'K', 'S']
60.175193	60.866623	['AH0']
60.981861	62.595198	['F', 'AO1', 'L']
63.17139	63.286628	['W', 'OW1', 'N', 'T']
63.344247	63.459486	['Y', 'UW1']
63.574724	63.920439	['K', 'AH1', 'M']
64.035677	64.323773	['AW1', 'T']
64.496631	64.727108	['AH0', 'N', 'D']
64.957584	65.303299	['P', 'L', 'EY1']
65.418538	65.649014	['W', 'IH1', 'DH']
65.879491	66.109968	['M', 'IY1']
66.859017	67.204732	['S', 'T', 'EH1', 'P']
67.31997	67.665686	['B', 'AY1']
67.780924	68.126639	['S', 'T', 'EH1', 'P']
68.702831	68.933307	['HH', 'AA1', 'R', 'T']
69.048546	69.279022	['T', 'UW1']
69.394261	69.739976	['HH', 'AA1', 'R', 'T']
70.431406	70.777121	['L', 'EH1', 'F', 'T']
70.892359	71.238074	['R', 'AY1', 'T']
71.353313	71.814266	['L', 'EH1', 'F', 'T']
71.929505	72.27522	['W', 'IY1']
72.390458	73.197126	['AO1', 'L']
73.312365	73.888556	['F', 'AO1', 'L']
74.003795	75.04094	['D', 'AW1', 'N']
76.539039	76.884754	['L', 'AY1', 'K']
76.999992	77.576184	['T', 'OY1']
77.691422	78.152375	['S', 'OW1', 'L']
78.267614	79.880951	['JH', 'ER0', 'Z']
81.609526	81.955241	['B', 'IH1', 'T']
82.070479	82.416194	['B', 'AY1']
82.531433	82.877148	['B', 'IH1', 'T']
83.45334	83.683816	['T', 'AO1', 'R', 'N']
83.799055	84.029531	['AH0']
84.14477	84.490485	['P', 'AA1', 'R', 'T']
84.951438	85.124296	['W', 'IY1']
85.181915	85.52763	['N', 'EH1']
85.642868	85.988583	['V', 'ER0']
86.103822	86.564775	['W', 'IH1', 'N']
86.91049	87.083348	['DH', 'AH0']
87.140967	87.947635	['B', 'AE1']
88.062874	88.869542	['T', 'AH0', 'L']
88.984781	89.215257	['W', 'EY1']
89.330496	89.560972	['JH', 'AH0', 'Z']
89.676211	90.828594	['AA1', 'N']
91.289548	91.520024	['F', 'AO1', 'R']
91.635263	92.326693	['T', 'OY1']
92.441931	92.902884	['S', 'OW1', 'L']
93.018123	95.553367	['JH', 'ER0', 'Z']
100.739092	100.91195	['IH1', 'T', 'S']
100.969569	101.142427	['G', 'EH1']
101.200046	101.372903	['T', 'IH0', 'NG']
101.430522	101.60338	['HH', 'AA1', 'R', 'D']
101.660999	101.776238	['T', 'UW1']
101.891476	102.064333	['W', 'EY1', 'K']
102.121953	102.29481	['AH1', 'P']
102.352429	102.525287	['IH0', 'N']
102.582906	102.755764	['DH', 'AH0']
102.813383	103.159098	['M', 'AO1', 'R']
103.274336	103.620051	['N', 'IH0', 'NG']
104.3691	104.541958	['M', 'AY1']
104.599577	104.772435	['HH', 'EH1', 'D']
104.830054	104.945292	['IH1', 'Z']
105.002911	105.233388	['S', 'P', 'IH1']
105.291007	105.463865	['N', 'IH0', 'NG']
105.579103	106.385772	['K', 'AA1', 'N']
106.50101	107.19244	['S', 'T', 'AH0', 'N', 'T']
107.307678	109.036254	['L', 'IY0']
110.073399	110.361495	['HH', 'AW1']
110.419114	110.534352	['K', 'AE1', 'N']
110.591971	110.70721	['IH1', 'T']
110.822448	111.513878	['B', 'IY1']
115.374363	115.60484	['HH', 'AW1']
115.720078	115.892936	['K', 'UH1', 'D']
115.950555	116.123412	['AY1']
116.181031	116.353889	['B', 'IY1']
116.411508	116.584366	['S', 'OW1']
116.641985	116.814842	['B', 'L', 'AY1', 'N', 'D']
116.872462	117.045319	['T', 'UW1']
117.102938	117.275796	['DH', 'IH1', 'S']
117.333415	117.506272	['AH0']
117.563892	117.794368	['D', 'IH1', 'K']
117.909607	118.485798	['SH', 'AH0', 'N']
118.485798	118.658656	['IH1', 'F']
118.716275	118.889133	['AY1']
118.946752	119.119609	['D', 'OW1', 'N', 'T']
119.177229	119.522944	['S', 'T', 'AA1', 'P']
119.983897	120.156755	['DH', 'AH0']
120.214374	120.675327	['N', 'EH1', 'K', 'S', 'T']
120.732946	120.963423	['W', 'AH1', 'N']
121.021042	121.1939	['IH1', 'Z']
121.251519	121.424376	['G', 'AA1']
121.481996	121.654853	['N', 'AH0']
121.712472	121.88533	['B', 'IY1']
121.942949	123.786763	['M', 'IY1']
127.877724	128.511535	['OW1', 'N']
128.626773	129.433442	['L', 'IY0']
129.663919	130.701064	['EH1', 'M', 'P']
130.816302	131.104398	['T', 'IY0']
131.162017	132.487258	['N', 'AH0', 'S']
132.544877	132.890592	['R', 'IH0']
133.005831	134.849644	['M', 'EY1', 'N', 'Z']
136.174885	136.405362	['IH1', 'T']
136.462981	136.808696	['R', 'IH0']
136.923935	138.076318	['P', 'L', 'EY1']
138.191557	138.537272	['S', 'IH0', 'Z']
138.65251	140.150609	['AO1', 'L']
140.611562	141.187754	['AO1', 'L']
141.302992	142.10966	['DH', 'AH0']
142.224899	143.953474	['P', 'EY1', 'N']
144.299189	144.472047	['W', 'OW1', 'N', 'T']
144.529666	144.702523	['Y', 'UW1']
144.760143	145.105858	['K', 'AH1', 'M']
145.221096	145.566811	['AW1', 'T']
145.682049	145.912526	['AH0', 'N', 'D']
146.027764	146.488718	['P', 'L', 'EY1']
146.603956	146.949671	['W', 'IH1', 'DH']
147.06491	147.525863	['M', 'IY1']
147.929197	148.274912	['S', 'T', 'EH1', 'P']
148.44777	148.678247	['B', 'AY1']
148.908723	149.196819	['S', 'T', 'EH1', 'P']
149.83063	150.176345	['HH', 'AA1', 'R', 'T']
150.291583	150.52206	['T', 'UW1']
150.637298	150.983014	['HH', 'AA1', 'R', 'T']
151.674444	152.020159	['L', 'EH1', 'F', 'T']
152.135397	152.481112	['R', 'AY1', 'T']
152.59635	152.942066	['L', 'EH1', 'F', 'T']
153.230161	153.460638	['W', 'IY1']
153.518257	154.209687	['AO1', 'L']
154.440164	155.016356	['F', 'AO1', 'L']
155.131594	156.629693	['D', 'AW1', 'N']
157.724457	158.012553	['L', 'AY1', 'K']
158.127791	158.703983	['T', 'OY1']
158.819221	159.280175	['S', 'OW1', 'L']
159.395413	161.239227	['JH', 'ER0', 'Z']
162.852564	163.08304	['B', 'IH1', 'T']
163.198279	163.543994	['B', 'AY1']
163.659232	164.004947	['B', 'IH1', 'T']
164.581139	164.926854	['T', 'AO1', 'R', 'N']
165.042092	165.21495	['AH0']
165.272569	165.618284	['P', 'AA1', 'R', 'T']
166.194476	166.367333	['W', 'IY1']
166.424953	166.770668	['N', 'EH1']
166.885906	167.231621	['V', 'ER0']
167.346859	167.692574	['W', 'IH1', 'N']
167.865432	168.03829	['B', 'AH1', 'T']
168.095909	168.326385	['DH', 'AH0']
168.384005	169.190673	['B', 'AE1']
169.248292	169.997341	['T', 'AH0', 'L']
170.11258	170.458295	['W', 'EY1']
170.573533	170.919248	['JH', 'AH0', 'Z']
171.034487	171.841155	['AA1', 'N']
172.417347	172.763062	['F', 'AO1', 'R']
172.8783	173.454492	['T', 'OY1']
173.684969	174.26116	['S', 'OW1', 'L']
174.376399	175.586402	['JH', 'ER0', 'Z']
183.825944	184.05642	['W', 'IY1']
184.171659	184.344516	['N', 'EH1']
184.402135	184.74785	['V', 'ER0']
184.863089	186.130711	['W', 'IH1', 'N']
195.119302	195.349779	['OW1', 'N']
195.465017	195.810732	['L', 'IY0']
196.041209	197.308831	['EH1', 'M', 'P']
197.424069	197.596927	['T', 'IY0']
197.654546	198.806929	['N', 'AH0', 'S']
198.922168	199.383121	['R', 'IH0']
199.498359	200.996458	['M', 'EY1', 'N', 'Z']
202.609795	202.840272	['IH1', 'T']
202.95551	203.301225	['R', 'IH0']
203.416463	204.568847	['P', 'L', 'EY1']
204.684085	205.0298	['S', 'IH0', 'Z']
205.145039	206.412661	['AO1', 'L']
207.104091	207.680282	['AO1', 'L']
207.795521	208.486951	['DH', 'AH0']
208.602189	210.330764	['P', 'EY1', 'N']
210.67648	210.906956	['W', 'OW1', 'N', 'T']
211.022195	211.137433	['Y', 'UW1']
211.252671	211.540767	['K', 'AH1', 'M']
211.656006	211.944101	['AW1', 'T']
212.05934	212.405055	['AH0', 'N', 'D']
212.520293	212.866008	['P', 'L', 'EY1']
212.981247	213.326962	['W', 'IH1', 'DH']
213.4422	213.787915	['M', 'IY1']
214.421726	214.709822	['S', 'T', 'EH1', 'P']
214.882679	215.170775	['B', 'AY1']
215.343633	215.631729	['S', 'T', 'EH1', 'P']
216.323159	216.553635	['HH', 'AA1', 'R', 'T']
216.668874	216.89935	['T', 'UW1']
217.014589	217.360304	['HH', 'AA1', 'R', 'T']
218.109353	218.455068	['L', 'EH1', 'F', 'T']
218.570307	218.858402	['R', 'AY1', 'T']
218.973641	219.319356	['L', 'EH1', 'F', 'T']
219.665071	219.895548	['W', 'IY1']
220.010786	220.817454	['AO1', 'L']
220.932693	221.451265	['F', 'AO1', 'L']
221.624123	222.776506	['D', 'AW1', 'N']
224.044128	224.389843	['L', 'AY1', 'K']
224.505082	225.196512	['T', 'OY1']
225.31175	225.887942	['S', 'OW1', 'L']
226.00318	227.846994	['JH', 'ER0', 'Z']
229.345092	229.690807	['B', 'IH1', 'T']
229.806046	230.151761	['B', 'AY1']
230.266999	230.612714	['B', 'IH1', 'T']
231.073668	231.534621	['T', 'AO1', 'R', 'N']
231.649859	231.822717	['AH0']
231.880336	232.34129	['P', 'AA1', 'R', 'T']
232.687005	232.917481	['W', 'IY1']
233.03272	233.263196	['N', 'EH1']
233.378435	233.608911	['V', 'ER0']
233.839388	234.185103	['W', 'IH1', 'N']
234.185103	234.357961	['B', 'AH1', 'T']
234.41558	234.588437	['DH', 'AH0']
234.703676	235.452725	['B', 'AE1']
235.79844	236.374632	['T', 'AH0', 'L']
236.48987	236.950824	['W', 'EY1']
237.066062	237.296539	['JH', 'AH0', 'Z']
237.411777	238.448922	['AA1', 'N']
238.909876	239.255591	['F', 'AO1', 'R']
239.370829	240.062259	['T', 'OY1']
240.177497	240.523213	['S', 'OW1', 'L']
240.638451	242.82798	['JH', 'ER0', 'Z']
243.980363	244.268459	['S', 'T', 'EH1', 'P']
244.383697	244.787032	['B', 'AY1']
244.90227	245.247985	['S', 'T', 'EH1', 'P']
245.824177	246.169892	['HH', 'AA1', 'R', 'T']
246.28513	246.515607	['T', 'UW1']
246.630845	246.97656	['HH', 'AA1', 'R', 'T']
247.610371	247.956086	['L', 'EH1', 'F', 'T']
248.071325	248.474659	['R', 'AY1', 'T']
248.589897	248.993231	['L', 'EH1', 'F', 'T']
249.396566	249.569423	['W', 'IY1']
249.627042	250.318472	['AO1', 'L']
250.433711	251.125141	['F', 'AO1', 'L']
251.240379	252.680859	['D', 'AW1', 'N']
253.602765	254.0061	['L', 'AY1', 'K']
254.121338	254.812768	['T', 'OY1']
254.928006	255.38896	['S', 'OW1', 'L']
255.504198	257.117535	['JH', 'ER0', 'Z']
258.84611	259.191825	['B', 'IH1', 'T']
