start_time	end_time	syllable
28.067204	28.33269	['AY1']
28.33269	28.598177	['Y', 'UW1', 'Z', 'D']
28.598177	28.73092	['T', 'UW1']
28.73092	29.394637	['R', 'AY1', 'D']
29.394637	29.527381	['W', 'IH1', 'DH']
29.527381	29.660124	['AH0']
29.792867	30.058354	['V', 'EH1', 'N']
30.058354	30.323841	['D', 'IH0', 'NG']
30.323841	30.456584	['M', 'AH0']
30.456584	30.722071	['SH', 'IY1', 'N']
30.722071	30.854814	['R', 'IH0']
30.854814	31.253044	['P', 'EH1', 'R']
31.253044	31.651274	['M', 'AE1', 'N']
32.314991	32.447735	['HH', 'IY1']
32.580478	32.713221	['S', 'EH1', 'D']
32.713221	32.978708	['HH', 'IY1', 'Z']
32.978708	33.376938	['B', 'IH1', 'N']
33.376938	33.775168	['D', 'AW1', 'N']
33.907912	34.173398	['DH', 'IH1', 'S']
34.173398	34.571628	['R', 'OW1', 'D']
34.704372	34.837115	['M', 'AO1', 'R']
34.837115	34.969858	['DH', 'AE1', 'N']
35.102602	35.766319	['T', 'W', 'AY1', 'S']
36.562779	36.961009	['HH', 'IY1']
36.961009	37.359239	['W', 'AA1', 'Z']
37.359239	37.890212	['HH', 'AY1']
37.890212	38.421186	['AA1', 'N']
38.421186	38.553929	['IH2', 'N']
38.553929	38.686673	['T', 'ER0']
38.686673	39.084903	['K', 'L', 'EH1']
39.084956	39.483133	['Y', 'AH0']
39.483133	39.615876	['T', 'AH0']
39.615876	40.14685	['K', 'AH0', 'L', 'Z']
40.810566	41.076053	['AY1', 'V']
41.076053	41.208796	['N', 'EH1']
41.208796	41.34154	['V', 'ER0']
41.474283	41.73977	['B', 'IH1', 'N']
41.872513	42.270743	['DH', 'EH1', 'R']
42.403487	42.53623	['B', 'AH1', 'T']
42.53623	42.668973	['DH', 'AH0']
42.668973	42.801717	['B', 'R', 'OW0']
42.801717	43.199947	['SH', 'UH1', 'R']
43.33269	43.598177	['L', 'UH1', 'K', 'S']
43.73092	44.261894	['N', 'AY1', 'S']
45.323841	45.589327	['JH', 'AH1', 'M', 'P']
45.589327	45.987558	['IH0', 'N']
46.120301	46.518531	['L', 'EH1', 'T', 'S']
46.651274	47.447735	['G', 'OW1']
49.438885	49.837115	['L', 'EY1']
49.837115	50.368088	['B', 'AE1', 'K']
50.899062	51.164549	['EH0', 'N']
51.164549	51.562779	['JH', 'OY1']
51.695522	51.961009	['DH', 'AH0']
51.961009	52.624726	['SH', 'OW1']
53.553929	53.686673	['EH1', 'V']
53.686673	53.819416	['R', 'IY0']
53.819416	53.952159	['B', 'AA2']
53.952159	54.084903	['D', 'IY0']
54.084903	54.217646	['G', 'EH1', 'T', 'S']
