start_time	end_time	syllable
49.564	49.864	['IH1', 'T']
49.914	50.214	['F', 'IY1', 'L', 'Z']
50.214	50.464	['L', 'AY1', 'K']
50.464	50.564	['DH', 'AH0']
50.564	50.964	['EH1', 'N', 'D']
50.964	51.264	['AH1', 'V']
51.264	51.814	['T', 'AY1', 'M']
52.214	52.564	['L', 'AY1', 'K']
52.614	52.914	['S', 'AH1', 'M']
52.914	53.264	['TH', 'IH0', 'NG']
53.264	53.664	['B', 'AE1', 'D']
53.664	54.014	['IH1', 'Z']
54.014	54.314	['K', 'AH1']
54.314	54.564	['M', 'IH0', 'NG']
55.114	55.214	['Y', 'UW1', 'V']
55.214	55.364	['B', 'IH1', 'N']
55.364	55.564	['L', 'IH1']
55.564	55.714	['V', 'IH0', 'NG']
55.714	55.864	['IH0', 'N']
55.864	56.014	['DH', 'AH0']
56.014	56.264	['W', 'ER1', 'L', 'D']
56.314	56.514	['AH1', 'V']
56.664	57.264	['L', 'AY1', 'Z']
57.614	57.914	['Y', 'AO1', 'R']
57.914	58.264	['S', 'IY1']
58.264	58.564	['TH', 'R', 'UW1']
58.664	59.014	['W', 'AO1', 'L', 'Z']
59.014	59.214	['AA1', 'R']
59.364	59.564	['F', 'AA1']
59.664	59.914	['L', 'IH0', 'NG']
60.314	60.564	['IH1', 'T', 'S']
60.614	60.914	['G', 'EH1']
60.964	61.264	['T', 'IH0', 'NG']
61.264	61.564	['HH', 'AA1', 'R', 'D']
61.664	61.964	['T', 'UW1']
61.964	62.214	['IH0', 'K']
62.214	62.914	['S', 'EH1', 'P', 'T']
62.914	63.614	['DH', 'AE1', 'T']
63.614	63.964	['AY1', 'M']
64.014	64.314	['L', 'UW1']
64.314	64.614	['Z', 'IH0', 'NG']
64.614	65.014	['Y', 'UW1']
65.664	65.964	['AY1']
65.964	66.314	['W', 'AA1', 'CH']
66.314	66.564	['Y', 'UW1']
66.564	66.964	['AE1', 'Z']
66.964	67.314	['Y', 'UW1']
67.314	67.764	['S', 'L', 'IY1', 'P']
68.214	68.564	['Y', 'AO1', 'R']
68.564	68.864	['N', 'AY1', 'T']
68.964	69.214	['M', 'EH2', 'R', 'Z']
69.214	69.564	['B', 'R', 'EY1', 'K']
69.614	69.964	['DH', 'AH0']
70.014	70.314	['S', 'AY1']
70.314	70.564	['L', 'AH0', 'N', 'S']
70.964	71.114	['AY1']
71.114	71.264	['K', 'AE1', 'N']
71.264	71.664	['T', 'EH1', 'L']
71.664	71.864	['DH', 'AE1', 'T']
71.864	72.064	['Y', 'UH1', 'R']
72.114	72.314	['IH0', 'N']
72.314	72.564	['T', 'UW1']
72.614	73.164	['D', 'IY1', 'P']
73.664	73.864	['G', 'AA1', 'T']
73.864	73.964	['Y', 'AO1', 'R']
73.964	74.414	['M', 'AY1', 'N', 'D']
74.414	74.614	['D', 'AW1', 'N']
74.614	74.814	['T', 'UW1']
74.814	75.164	['AH0']
75.264	75.614	['S', 'AY1']
75.664	76.114	['AH0', 'N', 'S']
76.314	76.714	['AH0', 'N', 'D']
76.714	77.014	['EH1']
77.014	77.264	['V', 'ER0']
77.014	77.264	['IY0']
77.264	77.564	['T', 'AY1', 'M']
77.564	77.914	['DH', 'AE1', 'T']
77.914	78.264	['AY1']
78.264	78.814	['T', 'AH1', 'CH']
78.964	79.564	['Y', 'UW1']
79.714	79.964	['AY1', 'M']
79.964	80.264	['L', 'UW1']
80.264	80.614	['Z', 'IH0', 'NG']
80.664	81.164	['Y', 'UW1']
82.214	82.314	['Y', 'UH1', 'R']
82.314	82.514	['DH', 'AH0']
