start_time	end_time	syllable
0.25	0.921551	['L', 'AH1', 'V']
0.982601	1.287851	['W', 'IH0']
1.348901	1.776252	['TH', 'AW1', 'T']
7.576007	8.247558	['L', 'AH1', 'V']
8.308608	8.613858	['W', 'IH0']
8.674908	9.102259	['TH', 'AW1', 'T']
18.809219	19.053419	['D', 'R', 'AY1']
19.114469	19.358669	['V', 'IH0', 'NG']
19.419719	20.03022	['D', 'AW1', 'N']
20.09127	20.70177	['AE1', 'N']
20.823871	21.495421	['EH1', 'N', 'D']
21.556471	22.228022	['L', 'AH0', 'S']
22.289072	23.021673	['R', 'OW1', 'D']
24.181624	24.364774	['T', 'EY1']
24.425824	24.608974	['K', 'IH0', 'NG']
24.670024	25.463675	['F', 'R', 'EH1', 'N', 'D', 'Z']
25.524725	26.074176	['AO1', 'R']
26.135226	26.806777	['M', 'UW1']
26.867827	27.600427	['V', 'IH0', 'NG']
27.661477	28.271978	['AH0']
28.333028	29.004579	['L', 'OW1', 'N']
30.53083	31.202381	['P', 'L', 'EH1']
31.263431	31.934982	['ZH', 'ER0']
31.996032	32.179182	['AE1', 'T']
32.240232	32.423382	['DH', 'AH0']
32.484432	33.217033	['F', 'EH1', 'R']
33.278083	33.705433	['G', 'R', 'AW2', 'N', 'D']
33.766484	34.132784	['AA1', 'N']
34.193834	34.376984	['DH', 'AH0']
34.499084	35.292735	['W', 'EY1']
37.612637	37.856838	['IH1', 'T', 'S']
37.917888	38.101038	['AO1', 'L']
38.162088	38.345238	['W', 'EY2', 'Z']
38.406288	39.077839	['F', 'R', 'EH1', 'N', 'D', 'Z']
39.138889	39.81044	['DH', 'AE1', 'T']
39.87149	40.42094	['F', 'IY1', 'L']
40.54304	41.214591	['S', 'OW1']
41.275641	42.008242	['G', 'UH1', 'D']
42.985043	43.229243	['L', 'EH1', 'T', 'S']
43.290293	43.534493	['M', 'EY1', 'K']
43.595543	43.717643	['AH0']
43.778694	44.450244	['M', 'EH1', 'N', 'D', 'Z']
44.511294	45.121795	['L', 'AY1', 'K']
45.243895	45.915446	['AO1', 'L']
45.976496	46.648046	['G', 'UH1', 'D']
46.709096	47.258547	['M', 'EH1', 'N']
47.380647	47.991148	['SH', 'UH1', 'D']
49.578449	50.18895	['P', 'L', 'EH1']
50.25	50.982601	['ZH', 'ER0']
51.043651	51.226801	['AE1', 'T']
51.287851	51.471001	['DH', 'AH0']
51.532051	52.203602	['F', 'EH1', 'R']
52.264652	52.753053	['G', 'R', 'AW2', 'N', 'D']
52.814103	53.119353	['AA1', 'N']
53.180403	53.424603	['DH', 'AH0']
53.485653	54.279304	['W', 'EY1']
56.904457	57.148657	['W', 'AO1', 'K']
57.209707	57.392857	['ER0']
57.453907	58.186508	['AW1', 'N', 'D']
58.247558	58.735958	['B', 'IY1']
58.858059	59.590659	['F', 'R', 'IY1']
59.712759	60.20116	['AH0', 'N', 'D']
60.32326	60.933761	['R', 'OW1', 'M']
62.032662	62.276862	['DH', 'EH1', 'R', 'Z']
62.337912	62.521062	['AO1', 'L']
62.582112	62.704212	['W', 'EY2', 'Z']
62.765263	63.497863	['S', 'AH1', 'M']
63.558913	64.169414	['W', 'AH2', 'N']
64.291514	64.963065	['L', 'IY1']
65.024115	65.695665	['V', 'IH0', 'NG']
65.817766	66.367216	['AH0']
66.428266	67.038767	['L', 'OW1', 'N']
68.687118	69.297619	['P', 'L', 'EH1']
69.358669	70.09127	['ZH', 'ER0']
70.15232	70.33547	['AE1', 'T']
70.39652	70.57967	['DH', 'AH0']
70.64072	71.251221	['F', 'EH1', 'R']
71.312271	71.861722	['G', 'R', 'AW2', 'N', 'D']
71.922772	72.166972	['AA1', 'N']
72.228022	72.533272	['DH', 'AH0']
72.594322	73.387973	['W', 'EY1']
75.768926	76.135226	['AH0', 'N', 'D']
76.196276	76.379426	['AY1']
76.440476	77.173077	['L', 'AH1', 'V']
77.234127	77.356227	['DH', 'AH0']
77.417277	77.783578	['TH', 'AO1', 'T']
77.905678	78.088828	['AH1', 'V']
78.149878	78.333028	['K', 'AH1']
78.394078	78.516178	['M', 'IH0', 'NG']
78.577228	79.065629	['HH', 'OW1', 'M']
79.126679	79.309829	['T', 'UW1']
79.370879	79.98138	['Y', 'UW1']
80.34768	80.59188	['IY1']
80.65293	80.775031	['V', 'IH0', 'N']
80.836081	80.958181	['IH1', 'F']
81.019231	81.324481	['AY1']
81.385531	81.568681	['N', 'OW1']
81.629731	81.751832	['W', 'IY1']
81.812882	82.057082	['K', 'AE1', 'N', 'T']
82.118132	82.606532	['M', 'EY1', 'K']
82.667582	82.972833	['IH1', 'T']
83.522283	83.888584	['Y', 'EH1', 'S']
83.949634	84.132784	['AY1']
84.193834	84.987485	['L', 'AH1', 'V']
85.048535	85.231685	['DH', 'AH0']
85.292735	85.659035	['TH', 'AO1', 'T']
85.781136	85.964286	['AH1', 'V']
86.025336	86.147436	['G', 'IH1']
86.269536	86.452686	['V', 'IH0', 'NG']
86.513736	86.941087	['HH', 'OW1', 'P']
87.002137	87.185287	['T', 'UW1']
87.246337	87.673687	['Y', 'UW1']
87.734737	87.978938	['JH', 'AH1', 'S', 'T']
88.039988	88.223138	['AH0']
88.284188	88.406288	['L', 'IH1']
88.467338	88.589438	['T', 'AH0', 'L']
88.650488	88.894689	['R', 'EY1']
