start_time	end_time	syllable
0.403143	0.617429	['Y', 'UW1']
0.617429	1.260286	['S', 'AO1']
1.260286	1.688857	['M', 'IY1']
1.688857	2.117429	['K', 'R', 'AY1']
2.117429	2.546	['IH0', 'NG']
2.546	2.974571	['IH0', 'N']
2.974571	3.403143	['DH', 'AH0']
3.403143	5.117429	['CH', 'AE1']
5.117429	7.046	['P', 'AH0', 'L']
7.474571	7.903143	['DH', 'AH0']
7.903143	8.331714	['T', 'EH1', 'R', 'Z']
8.331714	8.760286	['AY1']
8.760286	9.403143	['SH', 'EH1', 'D']
9.403143	10.046	['W', 'ER0']
10.046	10.474571	['T', 'EH1', 'R', 'Z']
10.474571	10.688857	['AH1', 'V']
10.688857	12.403143	['JH', 'OY1']
14.546	14.760286	['AY1']
14.760286	15.188857	['N', 'OW1']
15.188857	15.403143	['DH', 'AH0']
15.403143	15.831714	['M', 'IY1']
15.831714	16.260286	['N', 'IH0', 'NG']
16.260286	16.903143	['AH1', 'V']
16.903143	17.331714	['K', 'AH0', 'N']
17.331714	18.831714	['T', 'EH1', 'N', 'T']
18.831714	19.903143	['M', 'AH0', 'N', 'T']
21.403143	21.831714	['N', 'AW1']
21.831714	22.046	['AY1']
22.046	22.260286	['AE1', 'M']
22.260286	22.688857	['HH', 'AE1']
22.688857	23.331714	['P', 'IY0']
23.331714	23.760286	['W', 'IH1', 'DH']
23.760286	24.188857	['DH', 'AH0']
24.188857	26.331714	['L', 'AO1', 'R', 'D']
28.260286	28.903143	['JH', 'AH1', 'S', 'T']
28.903143	29.117429	['AH0']
29.117429	29.760286	['P', 'L', 'EY1', 'N']
29.760286	29.974571	['AH0', 'N', 'D']
29.974571	30.188857	['S', 'IH1', 'M']
30.188857	30.617429	['P', 'AH0', 'L']
30.617429	32.331714	['CH', 'AE1']
32.331714	34.474571	['P', 'AH0', 'L']
34.903143	35.546	['W', 'EH1', 'R']
35.546	35.760286	['AO1', 'L']
35.760286	35.974571	['G', 'UH1', 'D']
35.974571	36.403143	['P', 'IY1']
36.403143	37.260286	['P', 'AH0', 'L']
37.260286	37.474571	['G', 'OW1']
37.474571	37.688857	['T', 'UW1']
37.688857	39.617429	['P', 'R', 'EY1']
41.760286	42.188857	['AY1']
42.188857	42.617429	['P', 'R', 'EY1', 'D']
42.617429	42.831714	['DH', 'AH0']
42.831714	43.474571	['L', 'AO1', 'R', 'D']
43.474571	43.688857	['DH', 'AE1', 'T']
43.688857	44.331714	['AY1', 'L']
44.331714	44.546	['G', 'R', 'OW1']
44.546	46.260286	['S', 'T', 'R', 'AO1', 'NG']
46.260286	47.331714	['ER0']
49.046	49.474571	['AE1', 'Z']
49.474571	49.903143	['AY1']
49.903143	50.546	['L', 'AY1', 'V']
50.546	50.974571	['F', 'R', 'AH1', 'M']
50.974571	51.403143	['D', 'EY1']
51.403143	51.617429	['T', 'UW1']
51.617429	53.331714	['D', 'EY1']
57.831714	58.260286	['AY1']
58.260286	59.331714	['S', 'ER1', 'CH', 'T']
59.331714	59.760286	['AH0', 'N', 'D']
59.760286	59.974571	['AY1']
59.974571	61.260286	['S', 'ER1', 'CH', 'T']
61.260286	61.688857	['B', 'AH1', 'T']
61.688857	62.760286	['AY1']
62.760286	63.188857	['K', 'AW1', 'L']
63.188857	63.403143	['D', 'AH0', 'N', 'T']
63.403143	64.474571	['F', 'AY1', 'N', 'D']
64.688857	65.117429	['N', 'OW1']
65.117429	65.760286	['W', 'EY1']
