start_time	end_time	syllable
23.152	23.723429	['IH1', 'T', 'S']
23.723429	24.294857	['IY1']
24.294857	24.580571	['Z', 'IY0']
24.580571	25.437714	['ER0']
25.437714	25.723429	['T', 'UW1']
25.723429	26.580571	['R', 'AH1', 'N']
26.866286	27.152	['R', 'IH0']
27.152	27.437714	['P', 'L', 'EY1']
27.437714	27.723429	['S', 'IH0', 'NG']
27.723429	28.009143	['DH', 'IH1', 'S']
28.009143	28.866286	['P', 'EY1', 'N']
28.866286	29.152	['W', 'IH1', 'DH']
29.152	30.009143	['S', 'AH1', 'M']
30.009143	30.294857	['TH', 'IH0', 'NG']
30.294857	31.437714	['N', 'AH1', 'M']
31.437714	31.723429	['IH1', 'T', 'S']
31.723429	32.294857	['S', 'OW1']
32.294857	32.866286	['M', 'AH1', 'CH']
32.866286	33.437714	['IY1']
33.437714	33.723429	['Z', 'IY0']
33.723429	34.580571	['ER0']
34.580571	34.866286	['T', 'UW1']
34.866286	35.723429	['G', 'OW1']
36.009143	36.294857	['DH', 'AE1', 'N']
36.294857	36.580571	['F', 'EY1', 'S']
36.580571	36.866286	['AO1', 'L']
36.866286	37.152	['DH', 'IH1', 'S']
37.152	38.009143	['P', 'EY1', 'N']
38.009143	38.294857	['HH', 'IY1', 'R']
38.294857	39.152	['AO1', 'L']
39.152	39.437714	['AH0']
39.437714	42.009143	['L', 'OW1', 'N']
46.580571	46.866286	['S', 'AH1', 'M']
46.866286	47.152	['TH', 'IH1', 'NG']
47.152	47.437714	['HH', 'AE1', 'Z']
47.437714	47.723429	['B', 'IH1', 'N']
47.723429	48.009143	['T', 'EY1']
48.009143	48.580571	['K', 'AH0', 'N']
48.580571	48.866286	['F', 'R', 'AH1', 'M']
48.866286	49.152	['D', 'IY1', 'P']
49.152	49.437714	['IH0', 'N']
49.437714	49.723429	['S', 'AY1', 'D']
49.723429	50.294857	['AH1', 'V']
50.294857	50.866286	['M', 'IY1']
50.866286	51.152	['DH', 'AH0']
51.152	51.437714	['S', 'IY1']
51.437714	51.723429	['K', 'R', 'AH0', 'T']
51.723429	52.009143	['AY1', 'V']
52.009143	52.294857	['K', 'EH1', 'P', 'T']
52.294857	52.580571	['L', 'AA1', 'K', 'T']
52.580571	52.723429	['AH0']
52.723429	53.152	['W', 'EY1']
53.152	53.437714	['N', 'OW1']
53.437714	53.723429	['W', 'AH1', 'N']
53.723429	54.009143	['K', 'AE1', 'N']
54.009143	54.152	['EH1']
54.152	54.437714	['V', 'ER0']
54.437714	55.437714	['S', 'IY1']
55.723429	56.009143	['W', 'UW1', 'N', 'D', 'Z']
56.009143	56.294857	['S', 'OW1']
56.294857	56.580571	['D', 'IY1', 'P']
56.580571	56.866286	['DH', 'EY1']
56.866286	57.009143	['N', 'EH1']
57.009143	57.294857	['V', 'ER0']
57.294857	57.723429	['SH', 'OW1']
57.723429	58.009143	['DH', 'EY1']
58.009143	58.152	['N', 'EH1']
58.152	58.580571	['V', 'ER0']
58.580571	58.866286	['G', 'OW1']
58.866286	59.009143	['AH0']
59.009143	59.723429	['W', 'EY1']
60.009143	60.294857	['L', 'AY1', 'K']
60.294857	60.580571	['M', 'UW1']
60.580571	60.866286	['V', 'IH0', 'NG']
60.866286	61.152	['P', 'IH1', 'K']
61.152	61.437714	['CH', 'ER0', 'Z']
61.437714	61.723429	['IH0', 'N']
61.723429	61.866286	['M', 'AY1']
61.866286	62.294857	['HH', 'EH1', 'D']
62.294857	62.580571	['F', 'AO1', 'R']
62.580571	62.866286	['Y', 'IH1', 'R', 'Z']
62.866286	63.152	['AH0', 'N', 'D']
63.152	63.437714	['Y', 'IH1', 'R', 'Z']
63.437714	64.009143	['DH', 'EY1', 'V']
64.009143	65.723429	['P', 'L', 'EY1', 'D']
73.580571	73.723429	['IH1', 'F']
73.723429	73.866286	['AY1']
73.866286	74.009143	['K', 'UH1', 'D']
74.009143	74.294857	['CH', 'EY1', 'N', 'JH']
74.294857	74.437714	['AY1']
74.437714	74.723429	['W', 'UH1', 'D']
74.723429	74.866286	['T', 'EY1', 'K']
74.866286	75.009143	['B', 'AE1', 'K']
75.009143	75.152	['DH', 'AH0']
75.152	75.437714	['P', 'EY1', 'N']
75.437714	75.580571	['AY1']
75.580571	75.866286	['W', 'UH1', 'D']
75.866286	76.009143	['R', 'IY0']
76.009143	76.294857	['T', 'R', 'EY1', 'S']
76.294857	76.437714	['EH1']
76.437714	76.580571	['V', 'ER0']
76.437714	76.580571	['IY0']
76.580571	76.866286	['R', 'AO1', 'NG']
76.866286	77.152	['M', 'UW1', 'V']
77.152	77.294857	['DH', 'AE1', 'T']
77.294857	77.437714	['AY1']
77.437714	77.723429	['M', 'EY1', 'D']
77.723429	77.866286	['AY1']
77.866286	78.152	['W', 'UH1', 'D']
