start_time	end_time	syllable
8.436	9.539144	['IH1', 'F']
9.906859	10.090716	['AW1']
9.906859	10.090716	['ER0']
10.274573	10.458431	['L', 'IH1', 'P', 'S']
10.642288	10.826145	['SH', 'UH1', 'D']
11.010003	12.113147	['M', 'IY1', 'T']
12.297004	12.388933	['IH0']
12.480861	12.848576	['N', 'AA0']
13.032433	13.21629	['M', 'AO1']
13.400148	13.629969	['R', 'AH0']
13.767862	14.871006	['T', 'AH0']
17.628866	18.73201	['K', 'IH1', 'S']
19.099725	19.283582	['M', 'IY1']
19.46744	19.651297	['K', 'IH1', 'S']
19.835154	20.019012	['M', 'IY1']
20.202869	21.306013	['S', 'W', 'IY1', 'T']
21.581799	21.673728	['IH0']
21.765656	22.133371	['N', 'AA0']
22.317228	22.501085	['M', 'AO1']
22.684943	22.914764	['R', 'AH0']
23.052657	24.155801	['T', 'AH0']
27.00559	28.292591	['HH', 'OW1', 'L', 'D']
28.476449	28.660306	['M', 'IY1']
28.844163	29.028021	['K', 'L', 'OW1', 'S']
29.211878	29.395735	['AH0', 'N', 'D']
29.579593	30.866594	['S', 'EY1']
31.510095	31.78588	['Y', 'UH1', 'R']
31.969738	33.808311	['M', 'AY1', 'N']
36.382314	37.853172	['W', 'IH1', 'DH']
38.128958	38.312816	['AH0']
38.496673	38.68053	['L', 'AH1', 'V']
38.864388	39.048245	['AE1', 'Z']
39.324031	40.611032	['W', 'AO1', 'R', 'M']
41.346461	41.622247	['AE1', 'Z']
41.806105	43.644678	['W', 'AY1', 'N']
46.678324	47.781468	['AY1', 'M']
48.057254	48.149183	['AE1', 'T']
48.241111	48.33304	['HH', 'EH1']
48.424969	48.608826	['V', 'AH0', 'N', 'Z']
48.884612	50.35547	['D', 'AO1', 'R']
50.539328	50.631256	['IH0']
50.723185	51.0909	['N', 'AA0']
51.274757	51.458614	['M', 'AO1']
51.642472	51.872293	['R', 'AH0']
52.010186	53.11333	['T', 'AH0']
56.422762	57.525906	['W', 'AA1', 'N', 'T']
57.893621	58.077478	['Y', 'UW1']
58.261336	58.445193	['M', 'AO1', 'R']
58.62905	58.812908	['AH0', 'N', 'D']
58.996765	60.283766	['M', 'AO1', 'R']
60.559552	60.651481	['IH0']
60.743409	61.111124	['N', 'AA0']
61.294981	61.478839	['M', 'AO1']
61.662696	61.892518	['R', 'AH0']
62.030411	63.133555	['T', 'AH0']
67.086487	67.638059	['Y', 'UH1', 'R']
67.821917	68.005774	['AH0']
68.189631	68.373489	['S', 'IH1', 'M']
68.557346	68.741203	['F', 'AH0']
68.92506	70.212062	['N', 'IY0']
70.579776	70.671705	['AH0']
70.763634	70.947491	['V', 'EH1']
71.131348	71.499063	['R', 'IY0']
71.68292	71.958706	['B', 'Y', 'UW1']
72.050635	72.234492	['T', 'AH0']
72.41835	72.602207	['F', 'AH0', 'L']
72.786064	72.969922	['S', 'AH0']
73.153779	73.429565	['N', 'AA1']
73.613422	73.79728	['T', 'AH0']
74.073066	74.256923	['M', 'AY1']
74.44078	74.532709	['IH0']
74.624638	74.992352	['N', 'AA0']
75.17621	75.360067	['M', 'AO1']
75.543924	75.81971	['R', 'AH0']
76.003568	76.187425	['T', 'AH0']
76.463211	77.382498	['S', 'EY1']
77.934069	78.117927	['DH', 'AE1', 'T']
78.301784	78.485641	['Y', 'UH1', 'R']
78.669499	78.853356	['M', 'AY1']
79.037213	79.405515	['S', 'W', 'IY1', 'T']
79.588785	80.502404	['HH', 'AA2', 'R', 'T']
81.059644	81.427359	['M', 'AY1']
81.611216	83.265932	['L', 'AH1', 'V']
101.28395	102.479023	['Y', 'UH1', 'R']
102.754809	102.938666	['AH0']
103.214452	103.306381	['S', 'IH1', 'M']
103.398309	103.582167	['F', 'AH0']
103.766024	105.053025	['N', 'IY0']
105.512669	105.604597	['AH0']
105.696526	106.156169	['V', 'EH1']
106.248098	106.431955	['R', 'IY0']
106.615812	106.891598	['B', 'Y', 'UW1']
106.983527	107.167384	['T', 'AH0']
107.351242	107.535099	['F', 'AH0', 'L']
107.718956	107.902814	['S', 'AH0']
108.086671	108.454386	['N', 'AA1']
108.638243	108.8221	['T', 'AH0']
109.005958	109.373672	['M', 'AY1']
109.55753	109.649458	['IH0']
109.741387	110.109102	['N', 'AA0']
110.292959	110.476816	['M', 'AO1']
110.660674	110.93646	['R', 'AH0']
111.120317	111.304174	['T', 'AH0']
111.488032	112.407318	['S', 'EY1']
112.95889	113.142748	['DH', 'AE1', 'T']
113.326605	113.510462	['Y', 'UH1', 'R']
113.69432	113.878177	['M', 'AY1']
114.062034	114.429749	['S', 'W', 'IY1', 'T']
114.613606	115.532893	['HH', 'AA2', 'R', 'T']
116.176393	116.544108	['M', 'AY1']
116.727965	118.014967	['W', 'AH1', 'N']
118.198824	118.290753	['AH0', 'N', 'D']
118.382681	118.842325	['OW1', 'N']
118.934253	119.026182	['L', 'IY0']
119.301968	119.669683	['S', 'W', 'IY1', 'T']
119.85354	120.956684	['HH', 'AA2', 'R', 'T']
121.692113	122.795257	['S', 'EY1']
123.162972	123.346829	['DH', 'AE1', 'T']
123.530687	123.714544	['Y', 'UH1', 'R']
123.898401	124.082259	['M', 'AY1']
124.449973	125.920832	['S', 'W', 'IY1', 'T']
125.001545	125.093474	['HH', 'AA2', 'R', 'T']
126.932047	129.230264	['M', 'AY1']
129.414121	132.355838	['L', 'AH1', 'V']
