start_time	end_time	syllable
0.67456	0.91139	['AY1', 'M']
1.069276	1.266634	['N', 'AA1', 'T']
1.463992	2.135009	['K', 'W', 'AY1', 'T']
2.529726	2.766555	['M', 'AY2']
2.963913	3.555987	['S', 'EH1', 'L', 'F']
3.950703	4.187533	['DH', 'IY1', 'Z']
4.345419	5.016437	['D', 'EY1', 'Z']
5.963755	6.042699	['G', 'EH1', 'S']
6.121642	6.200585	['W', 'IY1']
6.279528	6.911074	['AO1', 'L']
7.06896	7.226847	['K', 'AH1', 'M']
7.266318	7.700506	['AH0', 'N']
7.779449	8.016279	['D', 'AH1', 'N']
8.608353	8.845183	['T', 'AY1', 'M']
8.963597	9.082012	['T', 'UW1']
9.160955	9.5162	['T', 'AY1', 'M']
9.75303	9.910916	['IH0', 'N']
10.147746	10.26616	['D', 'IH1']
10.305632	10.73982	['F', 'ER0']
10.305632	10.73982	['AH0', 'N', 'T']
10.897706	11.410837	['W', 'EY1', 'Z']
11.608195	11.923968	['W', 'EH1', 'L']
13.147588	13.344946	['AY1']
13.463361	14.331736	['HH', 'AE1', 'V']
14.568566	14.765924	['M', 'AY2']
14.884338	15.713242	['S', 'EH1', 'L', 'F']
16.068487	16.265845	['T', 'UW1']
16.384259	16.936862	['B', 'L', 'EY1', 'M']
17.963124	18.042067	['G', 'EH1', 'S']
18.12101	18.199953	['AY1']
18.278897	18.831499	['D', 'OW1', 'N', 'T']
19.1078	19.265687	['AH2', 'N']
19.34463	19.502516	['D', 'ER0']
19.58146	19.976176	['S', 'T', 'AE1', 'N', 'D']
20.56825	20.726136	['AY1']
20.765608	21.199796	['N', 'IY1', 'D']
21.31821	21.515568	['HH', 'EH1', 'L', 'P']
21.712926	21.870813	['IH0', 'N']
22.107642	22.226057	['M', 'EH1']
22.305001	22.660245	['N', 'IY0']
22.77866	23.725978	['W', 'EY1', 'Z']
46.303737	46.461624	['G', 'AA1', 'D', 'Z']
46.61951	46.698453	['G', 'AA1', 'T']
46.777397	47.014226	['AH0']
47.09317	47.290528	['P', 'L', 'AE1', 'N']
47.566829	47.645772	['F', 'AO1', 'R']
47.724715	48.040488	['M', 'IY1']
48.82992	48.908863	['W', 'EH1', 'L']
48.987807	49.06675	['AY1', 'M']
49.145693	49.224636	['G', 'AA1']
49.30358	49.540409	['N', 'AH0']
49.619352	49.856182	['T', 'EH1', 'L']
49.935125	50.250898	['Y', 'UW1']
50.408785	50.961387	['W', 'AH1', 'N']
51.04033	51.198217	['TH', 'IH1', 'NG']
51.671876	51.750819	['AY1']
51.829762	51.987649	['D', 'OW1', 'N', 'T']
52.145535	52.303422	['G', 'AA1', 'T']
52.461308	52.698138	['DH', 'AH0']
52.934967	53.408627	['P', 'EY1']
53.566513	53.882286	['SH', 'AH0', 'N', 'S']
54.198059	54.750661	['AO1', 'R']
54.829604	54.987491	['DH', 'AH0']
55.145377	55.500622	['T', 'AY1', 'M']
56.092696	56.566355	['W', 'AH1', 'T']
56.724242	57.118958	['K', 'AE1', 'N']
57.355787	57.592617	['AY1']
57.67156	57.987333	['S', 'EY1']
58.303106	58.539936	['AY1', 'M']
58.618879	59.171481	['N', 'OW1']
59.250424	59.803027	['EY1', 'N']
59.88197	60.039857	['JH', 'AH0', 'L']
60.355629	60.474044	['AY1', 'M']
60.513516	60.987175	['N', 'AA1', 'T']
61.145062	61.618721	['F', 'AO0', 'R']
61.776607	62.250267	['S', 'EY1']
62.408153	62.566039	['K', 'AH0', 'N']
62.881812	63.000227	['B', 'AH1', 'T']
63.039699	63.513358	['AY1']
63.671244	64.144904	['K', 'AE1', 'N']
64.30279	64.934336	['B', 'L', 'IY1', 'D']
65.565882	66.118484	['T', 'EH1', 'R']
66.197427	66.434257	['M', 'IY1']
66.5132	67.065803	['OW1']
67.144746	67.381575	['P', 'AH0', 'N']
67.460519	67.697348	['AY1']
67.776291	67.894706	['B', 'IH0']
