start_time	end_time	syllable
1.186	1.281402	['Y', 'AO1', 'R']
1.376803	1.663008	['L', 'AH1', 'V']
1.75841	1.853811	['IH1', 'Z']
1.949213	2.044615	['L', 'AY1', 'K']
2.140016	2.235418	['AH0']
2.33082	2.617025	['T', 'AY1']
2.712426	2.807828	['D', 'AH0', 'L']
2.90323	3.761844	['W', 'EY1', 'V']
4.048049	4.143451	['S', 'P', 'IH1']
4.238853	4.381955	['N', 'IH0', 'NG']
4.525057	4.715861	['OW1']
4.811262	4.906664	['V', 'ER0']
5.002066	5.097467	['M', 'AY1']
5.192869	6.43309	['HH', 'EH1', 'D']
7.148603	7.244004	['D', 'R', 'AW1']
7.339406	7.434807	['N', 'IH0', 'NG']
7.530209	7.721012	['M', 'IY1']
7.864115	8.007217	['IH0', 'N']
8.102619	8.198021	['Y', 'AO1', 'R']
8.293422	8.531926	['P', 'R', 'AA1']
8.72273	8.961234	['M', 'AH0']
9.104336	9.962951	['S', 'AH0', 'Z']
10.249156	10.344558	['B', 'EH1']
10.439959	10.535361	['T', 'ER0']
10.630762	10.916967	['L', 'EH1', 'F', 'T']
11.012369	11.203172	['AH0', 'N']
11.346275	12.395693	['S', 'EH1', 'D']
13.302008	13.39741	['Y', 'UH1', 'R']
13.492812	13.588213	['DH', 'AH0']
13.683615	13.96982	['R', 'AY1', 'T']
14.065222	14.160623	['K', 'AY1', 'N', 'D']
14.256025	14.351426	['AH1', 'V']
14.446828	14.685332	['S', 'IH1']
14.828435	15.400844	['N', 'ER0']
15.591648	15.687049	['T', 'UW1']
15.782451	15.925554	['R', 'IY0']
16.020955	16.211758	['L', 'IY1', 'S']
16.402562	16.593365	['M', 'AY1']
16.784168	17.070373	['IH1']
17.165775	17.356578	['N', 'ER0']
17.595082	17.785886	['F', 'AE1', 'N']
17.976689	18.262894	['T', 'AH0']
18.358295	18.930705	['S', 'IY0', 'Z']
19.503115	19.598517	['DH', 'AH0']
19.693918	19.78932	['IH0', 'N']
19.884722	20.170927	['V', 'IH1', 'N']
20.266328	20.409431	['S', 'AH0']
20.504832	20.647935	['B', 'AH0', 'L']
20.743336	20.93414	['W', 'IH1']
21.077242	21.649652	['N', 'ER0']
21.840455	21.983558	['AH0', 'N', 'D']
22.078959	22.174361	['Y', 'UW1']
22.269763	22.508267	['N', 'OW1']
22.651369	22.842172	['DH', 'AE1', 'T']
23.032976	23.319181	['Y', 'UW1']
23.462283	23.700787	['W', 'ER0']
23.891591	24.082394	['B', 'AO1', 'R', 'N']
24.225496	24.511701	['T', 'UW1']
24.607103	26.419734	['B', 'IY1']
26.75364	26.896742	['Y', 'UH1', 'R']
26.992144	27.230648	['AH0']
27.469152	27.707656	['HH', 'AA1', 'R', 'T']
27.898459	28.089263	['B', 'IY2']
28.184664	28.757074	['K', 'ER0']
29.09098	29.281783	['D', 'R', 'IY1']
29.424886	29.615689	['M', 'EY2']
29.711091	30.2835	['K', 'ER0']
30.617406	30.80821	['L', 'AH1', 'V']
30.951312	31.094414	['T', 'EY2']
31.189816	31.285218	['K', 'ER0']
31.380619	31.476021	['D', 'OW1', 'N', 'T']
31.571423	31.666824	['Y', 'UW1']
31.762226	31.905328	['M', 'EH1', 'S']
32.00073	32.096132	['ER0']
32.191533	32.286935	['AW1', 'N', 'D']
32.334636	32.430037	['W', 'IH1', 'DH']
32.525439	32.668541	['M', 'IY1']
32.859345	33.002447	['Y', 'UH1', 'R']
33.097849	33.288652	['AH0']
33.622558	33.908763	['HH', 'AA1', 'R', 'T']
34.004164	34.147267	['B', 'IY2']
34.242669	34.91048	['K', 'ER0']
35.148984	35.435189	['D', 'R', 'IY1']
35.530591	35.625992	['M', 'EY2']
35.721394	36.293804	['K', 'ER0']
36.62771	36.913915	['L', 'AH1', 'V']
37.009316	37.104718	['T', 'EY2']
37.200119	37.295521	['K', 'ER0']
37.390923	37.486324	['D', 'OW1', 'N', 'T']
37.581726	37.677128	['Y', 'UW1']
37.772529	37.867931	['M', 'EH1', 'S']
37.963333	38.058734	['ER0']
38.154136	38.631144	['AW1', 'N', 'D']
38.726546	38.821947	['N', 'OW1']
38.917349	39.012751	['N', 'OW1']
39.108152	39.298956	['N', 'OW1']
45.690865	45.786267	['Y', 'AO1', 'R']
45.881669	46.120173	['L', 'AH1', 'V']
46.263275	46.358677	['HH', 'AE1', 'Z']
46.454079	46.54948	['S', 'EH1', 'T']
46.644882	46.740284	['M', 'AY1']
46.835685	47.12189	['S', 'OW1', 'L']
47.217292	47.312693	['AA1', 'N']
47.408095	47.6943	['F', 'AY1']
47.789702	48.457513	['ER0']
48.600616	48.696017	['B', 'ER1']
48.791419	48.934521	['N', 'IH0', 'NG']
49.029923	49.220726	['UW1']
49.363829	49.45923	['T', 'AH0']
49.554632	49.650034	['K', 'AH0', 'N']
49.745435	51.128759	['T', 'R', 'OW1', 'L']
51.891972	51.987374	['Y', 'UW1']
52.082775	52.36898	['T', 'AO1', 'T']
52.464382	52.559784	['M', 'IY1']
52.655185	52.750587	['DH', 'AH0']
52.845989	53.132193	['W', 'EY1', 'Z']
53.275296	53.370698	['AH1', 'V']
53.466099	53.561501	['D', 'IH0']
53.656902	53.943107	['Z', 'AY1']
54.038509	54.467816	['ER0']
54.801722	54.944825	['N', 'AW1']
55.040226	55.135628	['IH1', 'T', 'S']
55.23103	55.421833	['T', 'EY1']
55.564935	55.708038	['K', 'IH0', 'NG']
55.803439	55.898841	['IH1', 'T', 'S']
55.946542	57.043661	['T', 'OW1', 'L']
57.949976	58.045378	['Y', 'UH1', 'R']
58.14078	58.283882	['DH', 'AH0']
58.379284	58.617788	['R', 'AY1', 'T']
58.713189	58.808591	['K', 'AY1', 'N', 'D']
58.903993	58.999394	['AH1', 'V']
59.094796	59.3333	['S', 'IH1']
59.476403	60.048812	['N', 'ER0']
60.239616	60.382718	['T', 'UW1']
60.47812	60.621222	['R', 'IY0']
60.716624	60.955128	['L', 'IY1', 'S']
61.09823	61.289034	['M', 'AY1']
61.384435	61.67064	['IH1']
61.813743	62.052247	['N', 'ER0']
62.195349	62.386153	['F', 'AE1', 'N']
62.576956	62.81546	['T', 'AH0']
62.958562	63.626374	['S', 'IY0', 'Z']
64.151083	64.246485	['DH', 'AH0']
64.341886	64.437288	['IH0', 'N']
64.53269	64.818894	['V', 'IH1', 'N']
64.914296	65.057399	['S', 'AH0']
65.1528	65.295903	['B', 'AH0', 'L']
65.391304	65.677509	['W', 'IH1']
65.820612	66.488423	['N', 'ER0']
66.488423	66.631526	['AH0', 'N', 'D']
66.726927	66.822329	['Y', 'UW1']
66.917731	67.156235	['N', 'OW1']
67.299337	67.49014	['DH', 'AE1', 'T']
67.680944	67.919448	['Y', 'UW1']
68.06255	68.301054	['W', 'ER0']
68.491858	68.682661	['B', 'AO1', 'R', 'N']
68.873464	69.064268	['T', 'UW1']
69.255071	70.9723	['B', 'IY1']
71.401608	71.592411	['Y', 'UH1', 'R']
71.735513	72.021718	['AH0']
72.260222	72.451026	['HH', 'AA1', 'R', 'T']
72.594128	72.737231	['B', 'IY2']
72.832632	73.500444	['K', 'ER0']
73.738948	73.929751	['D', 'R', 'IY1']
74.072854	74.215956	['M', 'EY2']
74.311358	74.883768	['K', 'ER0']
75.265374	75.551579	['L', 'AH1', 'V']
75.646981	75.742382	['T', 'EY2']
75.837784	75.933186	['K', 'ER0']
76.028587	76.123989	['D', 'OW1', 'N', 'T']
76.219391	76.362493	['Y', 'UW1']
76.457895	76.553296	['M', 'EH1', 'S']
76.648698	76.7441	['ER0']
76.839501	76.934903	['AW1', 'N', 'D']
76.982604	77.078005	['W', 'IH1', 'DH']
77.173407	77.411911	['M', 'IY1']
77.507313	77.650415	['Y', 'UH1', 'R']
77.745817	77.93662	['AH0']
78.270526	78.461329	['HH', 'AA1', 'R', 'T']
78.604432	78.795235	['B', 'IY2']
78.890637	79.367645	['K', 'ER0']
79.796952	79.987755	['D', 'R', 'IY1']
80.178559	80.321661	['M', 'EY2']
80.417063	80.989473	['K', 'ER0']
81.275678	81.561882	['L', 'AH1', 'V']
81.657284	81.752686	['T', 'EY2']
81.848087	81.943489	['K', 'ER0']
82.038891	82.134292	['D', 'OW1', 'N', 'T']
82.229694	82.325096	['Y', 'UW1']
82.420497	82.515899	['M', 'EH1', 'S']
82.611301	82.706702	['ER0']
82.802104	83.279112	['AW1', 'N', 'D']
83.374514	83.469915	['N', 'OW1']
83.565317	83.660719	['N', 'OW1']
83.75612	83.946923	['N', 'OW1']
108.608248	108.703649	['Y', 'UH1', 'R']
108.799051	108.894453	['DH', 'AH0']
108.989854	109.276059	['R', 'AY1', 'T']
109.371461	109.466862	['K', 'AY1', 'N', 'D']
109.562264	109.657666	['AH1', 'V']
