start_time	end_time	syllable
23.714	23.923927	['AE1', 'T']
23.993903	24.343782	['DH', 'AH0']
24.413757	24.973563	['W', 'EH1']
24.973563	25.253466	['D', 'IH0', 'NG']
25.323442	25.463394	['T', 'AH0']
25.463394	25.813272	['N', 'AY1', 'T']
25.883248	26.233127	['SH', 'IY1']
26.303102	26.652981	['L', 'UH1', 'K', 'S']
26.722957	26.932884	['N', 'AY1']
26.932884	27.142811	['S', 'ER0']
27.212787	27.352739	['DH', 'AE1', 'N']
27.422714	27.562666	['DH', 'AH0']
27.632642	27.98252	['B', 'R', 'AY1', 'D']
28.052496	28.402375	['W', 'EH1', 'N']
28.47235	28.752253	['SH', 'IY1']
28.822229	29.661938	['S', 'M', 'AY1', 'L', 'Z']
29.731914	29.871865	['AY1']
29.941841	30.151768	['F', 'ER0']
30.151768	30.571623	['G', 'EH1', 'T']
30.641598	31.131429	['M', 'AY1']
31.201404	31.76121	['L', 'IH1']
31.76121	32.25104	['R', 'IH0', 'K', 'S']
32.670895	32.950798	['AY1']
33.020774	33.370652	['G', 'AA1', 'T']
33.440628	33.930458	['B', 'L', 'AY1', 'N', 'D']
34.000434	34.140386	['AY1']
34.210361	34.350313	['G', 'AA1', 'T']
34.420288	34.770167	['M', 'AE1', 'D']
34.840143	35.120046	['N', 'AA1', 'T']
35.190022	35.399949	['F', 'R', 'AH1', 'M']
35.469925	35.609876	['DH', 'AH0']
35.679852	36.099706	['D', 'AY1']
36.099706	36.309634	['M', 'AH0', 'N', 'D', 'Z']
36.379609	36.589536	['SH', 'IY1', 'V']
36.659512	36.869439	['HH', 'AE1', 'D']
37.149342	37.35927	['B', 'AH1', 'T']
37.429245	37.569197	['F', 'R', 'AH1', 'M']
37.639173	37.779124	['DH', 'AH0']
37.8491	38.548857	['B', 'Y', 'UW1']
38.548857	38.688809	['T', 'IY0']
38.758784	38.968712	['DH', 'AE1', 'T']
39.038687	39.248615	['P', 'UH1', 'T', 'S']
39.31859	39.528518	['M', 'AY1']
39.598493	39.808421	['HH', 'AA1', 'R', 'T']
39.878396	40.018348	['AA1', 'N']
40.088324	40.64813	['F', 'AY1']
40.64813	41.207935	['ER0']
41.347887	41.977669	['Y', 'UW1']
42.047644	42.397523	['HH', 'AE1', 'V']
42.467499	42.887353	['N', 'EH1']
42.887353	43.377183	['V', 'ER0']
43.447159	43.727062	['B', 'IH1', 'N']
43.797038	44.006965	['T', 'UW1']
44.076941	44.216892	['M', 'AY1']
44.286868	44.636747	['SH', 'OW1']
44.846674	45.126577	['Y', 'UW1']
45.196553	45.40648	['HH', 'AE1']
45.40648	45.616407	['V', 'AH0', 'N', 'T']
45.686383	46.246189	['S', 'IY1', 'N']
46.316165	46.526092	['B', 'IH0']
46.526092	47.505752	['F', 'AO1', 'R']
47.715679	47.925607	['HH', 'AW1']
47.995582	48.485413	['L', 'UH1', 'K', 'S']
48.555388	48.975243	['DH', 'AH0']
49.045219	49.605024	['T', 'R', 'AH1', 'M']
49.605024	50.024879	['P', 'AH0', 'T']
50.16483	50.724636	['B', 'AH1', 'T']
50.794612	51.214467	['DH', 'AH0']
51.284442	51.844248	['S', 'AW1', 'N', 'D']
51.914224	52.404054	['G', 'OW1', 'Z']
52.47403	52.753933	['S', 'T', 'R', 'EY1', 'T']
52.823909	52.96386	['T', 'UW1']
53.033836	53.173787	['Y', 'AO1', 'R']
53.243763	53.873545	['S', 'OW1', 'L']
54.153448	54.433351	['G', 'EH1', 'T', 'S']
54.503326	54.713254	['Y', 'UW1']
54.783229	54.993157	['AW1', 'T']
55.063132	55.203084	['AH1', 'V']
55.27306	55.482987	['K', 'AH0', 'N']
55.482987	56.25272	['T', 'R', 'OW1', 'L']
56.602599	56.882502	['DH', 'IH1', 'S']
56.952477	57.23238	['T', 'R', 'AH1', 'M']
57.23238	57.442308	['P', 'AH0', 'T']
57.512283	57.72221	['M', 'EY1', 'K', 'S']
57.792186	58.002113	['Y', 'UW1']
58.072089	58.561919	['M', 'AY1']
58.631895	59.191701	['G', 'ER1', 'L']
65.629469	65.839397	['DH', 'IH1', 'S']
65.909372	66.119299	['T', 'R', 'AH1', 'M']
66.119299	66.399202	['P', 'AH0', 'T']
66.469178	66.749081	['M', 'EY1', 'K', 'S']
66.819057	66.959008	['Y', 'UW1']
67.028984	67.518814	['M', 'AY1']
67.58879	68.07862	['G', 'ER1', 'L']
77.385394	77.735273	['JH', 'AH1', 'S', 'T']
77.805248	78.085151	['L', 'AY1', 'K']
78.155127	78.784909	['F', 'R', 'AH1', 'M']
78.854884	78.994836	['P', 'EH1']
78.994836	79.134787	['R', 'AH0']
79.134787	79.554642	['D', 'AY2', 'S']
