start_time	end_time	syllable
19.502981	19.786	['IH1', 'T']
19.786	20.210528	['M', 'AH1', 'S', 'T']
20.210528	20.352038	['HH', 'AE1', 'V']
20.352038	20.635057	['B', 'IH1', 'N']
20.635057	21.767132	['K', 'OW1', 'L', 'D']
21.767132	22.33317	['DH', 'EH1', 'R']
22.33317	22.757698	['IH0', 'N']
22.757698	23.182226	['M', 'AY1']
23.182226	25.163358	['SH', 'AE1']
25.163358	26.153925	['D', 'OW2']
28.559585	28.842604	['T', 'UW1']
28.842604	29.267132	['N', 'EH1']
29.267132	29.550151	['V', 'ER0']
29.550151	30.257698	['HH', 'AE1', 'V']
30.257698	30.682226	['S', 'AH1', 'N']
30.682226	31.248264	['L', 'AY2', 'T']
31.248264	31.814302	['AA1', 'N']
31.814302	32.23883	['Y', 'AO1', 'R']
32.23883	34.361472	['F', 'EY1', 'S']
37.899208	38.182226	['Y', 'UW1', 'V']
38.182226	38.606755	['B', 'IH1', 'N']
38.606755	39.031283	['K', 'AA1', 'N']
39.031283	40.304868	['T', 'EH0', 'N', 'T']
40.304868	41.012415	['T', 'UW1']
41.012415	41.295434	['L', 'EH1', 'T']
41.295434	41.578453	['M', 'IY1']
41.578453	43.701094	['SH', 'AY1', 'N']
46.955811	47.38034	['Y', 'UW1']
47.38034	47.663358	['AO1', 'L']
47.663358	48.087887	['W', 'EY2', 'Z']
48.087887	49.361472	['W', 'AO1', 'K', 'T']
49.361472	49.644491	['AH0']
49.644491	50.069019	['S', 'T', 'EH1', 'P']
50.069019	50.352038	['B', 'IH0']
50.352038	53.182226	['HH', 'AY1', 'N', 'D']
56.012415	56.436943	['AY1']
56.436943	56.719962	['W', 'AA1', 'Z']
56.719962	57.144491	['DH', 'AH0']
57.144491	58.276566	['W', 'AH1', 'N']
58.276566	58.984113	['W', 'IH1', 'DH']
58.984113	60.116189	['AO1', 'L']
60.116189	60.257698	['DH', 'AH0']
60.257698	60.682226	['G', 'L', 'AO1']
60.682226	61.389774	['R', 'IY0']
64.644491	65.069019	['W', 'AY1', 'L']
65.069019	65.493547	['Y', 'UW1']
65.493547	65.776566	['W', 'ER0']
65.776566	66.059585	['DH', 'AH0']
66.059585	67.050151	['W', 'AH1', 'N']
67.474679	67.899208	['W', 'IH1', 'DH']
67.899208	68.606755	['AO1', 'L']
68.606755	68.748264	['DH', 'AH0']
68.748264	69.73883	['S', 'T', 'R', 'EH1', 'NG', 'K', 'TH']
74.267132	74.550151	['OW1', 'N']
74.550151	74.83317	['L', 'IY0']
74.83317	75.116189	['AH0']
75.116189	76.389774	['F', 'EY1', 'S']
76.389774	76.955811	['W', 'IH0']
76.955811	77.521849	['TH', 'AW1', 'T']
77.521849	77.663358	['AH0']
77.663358	79.786	['N', 'EY1', 'M']
83.182226	83.606755	['AY1']
83.606755	83.889774	['N', 'EH1']
83.889774	84.172792	['V', 'ER0']
84.172792	85.021849	['W', 'AH1', 'N', 'S']
85.587887	86.012415	['HH', 'ER1', 'D']
86.012415	86.295434	['Y', 'UW1']
86.295434	86.719962	['K', 'AH0', 'M']
86.719962	90.823736	['P', 'L', 'EY1', 'N']
91.814302	92.097321	['D', 'IH1', 'D']
92.097321	92.38034	['Y', 'UW1']
92.38034	92.663358	['EH1']
92.663358	92.946377	['V', 'ER0']
92.946377	94.078453	['N', 'OW1']
94.502981	94.786	['DH', 'AE1', 'T']
94.786	95.352038	['Y', 'UH1', 'R']
95.352038	95.918075	['M', 'AY1']
95.918075	97.616189	['HH', 'IH1']
97.616189	99.172792	['R', 'OW0']
101.153925	101.436943	['AH0', 'N', 'D']
101.436943	101.719962	['EH1', 'V']
101.719962	102.144491	['R', 'IY0']
102.144491	102.569019	['TH', 'IH2', 'NG']
102.569019	103.701094	['AY1', 'D']
103.701094	104.69166	['L', 'AY1', 'K']
104.69166	104.83317	['T', 'UW1']
104.83317	107.097321	['B', 'IY1']
110.210528	110.635057	['W', 'EH1', 'L']
110.635057	110.918075	['AY1']
110.918075	111.342604	['K', 'UH1', 'D']
111.342604	111.767132	['F', 'L', 'AY1']
111.767132	112.616189	['HH', 'AY1']
112.616189	113.182226	['ER0']
113.465245	114.172792	['DH', 'AE1', 'N']
114.172792	114.314302	['AE1', 'N']
114.314302	116.153925	['IY1']
116.153925	118.276566	['G', 'AH0', 'L']
119.69166	119.974679	['B', 'AH1', 'T']
119.974679	120.257698	['Y', 'UW1']
120.257698	120.540717	['AA1', 'R']
120.540717	120.682226	['DH', 'AH0']
120.682226	121.814302	['W', 'AY1', 'N', 'D']
121.814302	122.38034	['B', 'IH0']
122.38034	122.804868	['N', 'IY1', 'TH']
122.804868	123.795434	['M', 'AY1']
123.795434	126.484113	['W', 'IH1', 'NG', 'Z']
131.436943	131.719962	['IH1', 'T']
131.719962	132.286	['M', 'AY1', 'T']
132.286	132.569019	['HH', 'AE1', 'V']
132.569019	132.993547	['AH0']
132.993547	133.842604	['P', 'IH1', 'R', 'D']
133.842604	134.267132	['T', 'UW1']
134.267132	134.83317	['G', 'OW1']
134.83317	135.257698	['AH0', 'N']
135.257698	135.823736	['N', 'OW1']
135.823736	136.389774	['T', 'IH0', 'S', 'T']
140.776566	141.059585	['B', 'AH1', 'T']
141.059585	141.625623	['AY1', 'V']
141.625623	141.908642	['G', 'AA1', 'T']
141.908642	142.19166	['IH1', 'T']
142.19166	143.040717	['AO1', 'L']
143.040717	143.465245	['HH', 'IY1', 'R']
143.465245	143.889774	['IH0', 'N']
143.889774	144.455811	['M', 'AY1']
144.455811	146.153925	['HH', 'AA1', 'R', 'T']
149.83317	150.116189	['AY1']
150.116189	150.823736	['W', 'AA1', 'N', 'T']
150.823736	151.106755	['Y', 'UW1']
151.106755	151.389774	['T', 'UW1']
151.389774	152.097321	['N', 'OW1']
152.097321	152.38034	['AY1']
152.38034	153.087887	['N', 'OW1']
153.087887	153.370906	['DH', 'AH0']
153.370906	154.644491	['T', 'R', 'UW1', 'TH']
159.314302	159.73883	['AY1']
159.73883	160.163358	['W', 'UH1', 'D']
160.163358	160.587887	['B', 'IY1']
160.587887	160.870906	['N', 'AH1']
160.870906	161.578453	['TH', 'IH0', 'NG']
162.286	162.569019	['W', 'IH0']
162.569019	162.852038	['TH', 'AW1', 'T']
162.852038	166.672792	['Y', 'UW1']
167.946377	168.229396	['D', 'IH1', 'D']
168.229396	168.512415	['Y', 'UW1']
168.512415	168.795434	['EH1']
168.795434	169.078453	['V', 'ER0']
169.078453	170.352038	['N', 'OW1']
170.352038	170.635057	['DH', 'AE1', 'T']
170.635057	171.059585	['Y', 'UH1', 'R']
171.059585	171.767132	['M', 'AY1']
171.767132	174.031283	['HH', 'IH1']
174.031283	175.729396	['R', 'OW0']
177.144491	177.427509	['AH0', 'N', 'D']
177.427509	177.993547	['EH1', 'V']
177.993547	178.418075	['R', 'IY0']
178.418075	179.125623	['TH', 'IH2', 'NG']
179.125623	179.83317	['AY1', 'D']
179.83317	180.682226	['L', 'AY1', 'K']
180.682226	180.965245	['T', 'UW1']
180.965245	183.087887	['B', 'IY1']
186.625623	186.908642	['AY1']
186.908642	187.33317	['K', 'AE1', 'N']
187.33317	187.757698	['F', 'L', 'AY1']
187.757698	188.465245	['HH', 'AY1']
188.465245	189.031283	['ER0']
189.031283	189.88034	['DH', 'AE1', 'N']
189.88034	190.163358	['AE1', 'N']
190.163358	192.569019	['IY1']
192.569019	194.550151	['G', 'AH0', 'L']
195.540717	195.823736	['B', 'AH1', 'T']
195.823736	196.248264	['Y', 'UW1']
196.248264	196.531283	['AA1', 'R']
196.531283	196.672792	['DH', 'AH0']
196.672792	197.804868	['W', 'AY1', 'N', 'D']
197.804868	198.229396	['B', 'IH0']
198.229396	198.653925	['N', 'IY1', 'TH']
198.653925	199.361472	['M', 'AY1']
199.361472	201.908642	['W', 'IH1', 'NG', 'Z']
205.446377	205.729396	['Y', 'UW1']
205.729396	206.012415	['AA1', 'R']
206.012415	206.153925	['DH', 'AH0']
206.153925	209.408642	['W', 'AY1', 'N', 'D']
