start_time	end_time	syllable
8.121	8.221624	['DH', 'IH1', 'S']
8.322248	8.422872	['IH1', 'Z']
8.523495	8.624119	['M', 'AY1']
8.724743	8.925991	['HH', 'AA1', 'R', 'T']
9.127239	9.328486	['B', 'IY2', 'T']
9.529734	9.831606	['S', 'AO1', 'NG']
9.93223	10.234101	['AH0', 'N', 'D']
10.334725	10.636597	['AY1', 'M']
10.737221	10.837844	['G', 'AA1']
10.938468	10.98878	['N', 'AH0']
11.139716	11.441588	['P', 'L', 'EY1']
11.542212	11.743459	['IH1', 'T']
11.944707	12.145955	['B', 'IH1', 'N']
12.347202	12.649074	['S', 'OW1']
12.749698	13.05157	['L', 'AO1', 'NG']
13.152193	13.202505	['AY1']
13.353441	13.403753	['F', 'ER0']
13.554689	13.705625	['G', 'AA1', 'T']
13.957184	14.057808	['HH', 'AW1']
14.158432	14.208744	['T', 'UW1']
14.409992	14.711863	['T', 'ER1', 'N']
14.812487	15.114359	['IH1', 'T']
15.164671	15.315607	['AH1', 'P']
15.567166	15.718102	['AH1', 'P']
15.969662	16.120598	['AH1', 'P']
16.372157	16.523093	['AH1', 'P']
16.774653	16.925588	['AO1', 'L']
17.177148	17.47902	['N', 'AY1', 'T']
17.529332	17.730579	['L', 'AO1', 'NG']
18.133075	18.284011	['OW1']
18.384635	18.53557	['AH1', 'P']
18.78713	18.938066	['AH1', 'P']
19.189625	19.340561	['AO1', 'L']
19.592121	19.893993	['N', 'AY1', 'T']
19.994616	20.195864	['L', 'AO1', 'NG']
23.315204	23.918947	['Y', 'UW1']
24.925186	25.02581	['W', 'EH1', 'R']
25.126434	25.227058	['DH', 'AH0']
25.327681	25.428305	['HH', 'EH1', 'L']
25.528929	25.629553	['D', 'IH1', 'D']
25.780489	25.881113	['Y', 'UW1']
25.981737	26.233296	['K', 'AH1', 'M']
26.434544	27.239535	['F', 'R', 'AH1', 'M']
27.843278	27.943902	['Y', 'UH1', 'R']
28.044526	28.14515	['AH0']
28.245774	28.346397	['D', 'IH1']
28.245774	28.346397	['F', 'ER0']
28.447021	28.497333	['AH0', 'N', 'T']
28.547645	28.648269	['D', 'IH1']
28.547645	28.648269	['F', 'ER0']
28.748893	28.849517	['AH0', 'N', 'T']
29.000453	29.252012	['K', 'AY1', 'N', 'D']
29.352636	29.45326	['AH1', 'V']
29.654508	30.358875	['F', 'AH1', 'N']
31.26449	31.365114	['AH0', 'N', 'D']
31.465737	31.566361	['AY1', 'M']
31.666985	31.767609	['S', 'T', 'IH1', 'L']
31.868233	31.968857	['Y', 'UW1', 'Z', 'D']
32.069481	32.170104	['T', 'UW1']
32.270728	32.5726	['F', 'IY1', 'L']
32.723536	32.82416	['IH1', 'T']
32.975095	35.289444	['N', 'AW1']
36.195059	36.899426	['N', 'AW1']
37.402546	37.503169	['AY1']
37.603793	37.704417	['G', 'AA1', 'T']
37.805041	37.905665	['P', 'IH1', 'N', 'Z']
38.006289	38.056601	['AH0', 'N', 'D']
38.106913	38.30816	['N', 'IY1']
38.408784	38.55972	['D', 'AH0', 'L', 'Z']
38.660344	38.911904	['AA1', 'N']
39.012527	39.213775	['M', 'AY1']
39.314399	40.11939	['T', 'AH1', 'NG']
40.924381	41.025005	['AE0', 'N']
41.125629	41.175941	['T', 'IH1']
41.326876	41.4275	['S', 'AH0']
41.528124	41.628748	['P', 'EY2']
41.67906	41.779684	['T', 'IH0', 'NG']
41.829996	42.131867	['W', 'AH1', 'T', 'S']
42.282803	42.383427	['T', 'UW1']
42.534363	43.439978	['K', 'AH1', 'M']
43.842473	43.943097	['L', 'AY1', 'K']
44.043721	44.144345	['AH0']
44.345592	44.446216	['F', 'IH1', 'NG']
44.496528	44.647464	['G', 'ER0']
44.748088	44.848712	['AA1', 'N']
44.949336	45.04996	['AH0']
45.150583	45.452455	['L', 'OW1']
45.553079	45.804639	['D', 'AH0', 'D']
45.85495	48.269923	['G', 'AH1', 'N']
49.175538	49.47741	['AY1']
49.678657	50.181777	['K', 'AE1', 'N']
50.383025	50.886144	['F', 'IY1', 'L']
50.986768	51.188015	['IH1', 'T']
51.489887	51.791759	['R', 'AY1']
51.993006	52.294878	['Z', 'IH0', 'NG']
52.395502	52.797997	['T', 'EH1', 'M']
52.948933	53.401741	['P', 'R', 'AH0']
53.602988	54.106108	['CH', 'ER0']
54.206732	54.407979	['IH0', 'N']
54.760163	54.961411	['S', 'AY1', 'D']
55.21297	55.414218	['M', 'IY1']
55.514842	56.017961	['HH', 'AE1']
56.118585	56.621704	['V', 'AH0', 'N', 'T']
56.722328	57.225448	['F', 'EH1', 'L', 'T']
57.326071	57.627943	['IH1', 'T']
