start_time	end_time	syllable
34.356	34.738166	['W', 'EH1']
34.356	34.738166	['L', 'IY0']
34.738166	35.502497	['T', 'R', 'IH1', 'P', 'T']
35.884662	36.266828	['F', 'EH1', 'L']
36.266828	37.031159	['D', 'AW1', 'N']
37.031159	38.559822	['N', 'EY1']
38.559822	40.088484	['K', 'AH0', 'D']
40.47065	40.852815	['W', 'EH1']
40.47065	40.852815	['L', 'IY0']
40.852815	41.617146	['S', 'K', 'R', 'AE1', 'CH', 'T']
41.999312	42.381478	['M', 'AY1']
42.381478	43.145809	['N', 'IY1', 'Z']
43.145809	44.674471	['DH', 'EY1']
44.674471	45.438803	['B', 'L', 'EH1', 'D']
46.585299	46.967465	['S', 'OW1']
46.967465	47.731796	['AH1', 'P']
48.113962	48.496127	['M', 'AY1']
48.496127	49.260459	['AY1', 'Z']
49.260459	50.789121	['N', 'IY1', 'D']
50.789121	51.553452	['N', 'OW1']
51.553452	52.317783	['M', 'AO1', 'R']
52.699949	53.082115	['IH0', 'N']
53.082115	53.846446	['AO0', 'R']
53.082115	53.846446	['G', 'EY1', 'M']
54.228611	54.610777	['DH', 'EH1', 'R']
54.610777	55.375108	['IH1', 'Z']
55.375108	56.903771	['N', 'OW1']
56.903771	58.050268	['S', 'K', 'AO1', 'R']
58.432433	58.623516	['F', 'ER0']
58.623516	58.814599	['G', 'IH1', 'V']
59.005682	59.196764	['M', 'IY1']
59.196764	59.57893	['F', 'AA1']
59.57893	59.961096	['DH', 'ER0']
59.961096	60.152178	['W', 'AY1']
60.152178	60.343261	['SH', 'UH1', 'D']
60.534344	60.725427	['Y', 'AA1']
60.725427	61.107592	['B', 'AA1']
61.107592	61.489758	['DH', 'ER0']
61.489758	62.063006	['T', 'R', 'AY1']
62.063006	62.445172	['AA1']
62.445172	62.636255	['N', 'AH0']
62.636255	63.01842	['S', 'T', 'IY0']
63.01842	63.591669	['T', 'R', 'AY1']
63.591669	63.973834	['AA1']
63.973834	64.164917	['N', 'AH0']
64.164917	64.547083	['S', 'T', 'IY0']
64.547083	64.738166	['HH', 'AA1', 'P']
64.738166	64.929248	['IH0', 'N']
65.120331	65.311414	['Y', 'AO1', 'R']
65.311414	65.69358	['D', 'AH1', 'M', 'P']
65.69358	66.075745	['T', 'R', 'AH1', 'K']
66.075745	66.266828	['R', 'IH0']
66.266828	66.457911	['V', 'ER1', 'S']
66.648994	66.840076	['F', 'AO1', 'R']
66.840076	67.222242	['G', 'UH1', 'D']
67.222242	67.604408	['L', 'AH1', 'K']
67.604408	68.177656	['R', 'AY1', 'D']
68.177656	68.559822	['OW1']
68.559822	68.750904	['V', 'ER0']
68.750904	69.13307	['M', 'IY1']
69.13307	69.706318	['R', 'AY1', 'D']
69.706318	70.088484	['OW1']
70.088484	70.279567	['V', 'ER0']
70.279567	70.661732	['M', 'IY1']
70.661732	70.852815	['T', 'EY1', 'K']
70.852815	71.043898	['AA1', 'N']
71.234981	71.426064	['DH', 'AH0']
71.426064	71.808229	['HH', 'OW1', 'L']
71.808229	72.190395	['W', 'ER1', 'L', 'D']
72.190395	72.381478	['F', 'AY1', 'T']
72.381478	72.572561	['W', 'IH1', 'DH']
72.763643	72.954726	['DH', 'AH0']
72.954726	73.336892	['Y', 'AH1', 'NG']
73.336892	73.719057	['G', 'ER1', 'L', 'Z']
73.719057	74.292306	['D', 'AY1']
74.292306	74.674471	['T', 'R', 'AE1']
74.674471	74.865554	['JH', 'AH0']
74.865554	75.24772	['D', 'IY0']
75.24772	75.820968	['D', 'AY1']
75.820968	76.203134	['T', 'R', 'AE1']
76.203134	76.394217	['JH', 'AH0']
76.394217	76.776382	['D', 'IY0']
76.776382	76.967465	['K', 'AO1', 'L']
76.967465	77.158548	['M', 'IY1']
77.349631	77.540713	['AH0']
77.540713	77.922879	['CH', 'IY1', 'P']
77.922879	78.305045	['S', 'K', 'EY2', 'T']
78.305045	78.496127	['K', 'AH1', 'M']
78.496127	78.68721	['AA1', 'N']
78.878293	79.069376	['F', 'AO1', 'R']
79.069376	79.451541	['P', 'IY1', 'T', 'S']
79.451541	79.833707	['S', 'EY1', 'K']
79.833707	80.406955	['K', 'R', 'AY1']
80.406955	80.789121	['AE1']
80.789121	80.980204	['G', 'AH0']
80.980204	81.362369	['N', 'IY0']
81.362369	81.935618	['K', 'R', 'AY1']
81.935618	82.317783	['AE1']
82.317783	82.508866	['G', 'AH0']
82.508866	82.891032	['N', 'IY0']
89.387847	89.770013	['IH0', 'N']
89.770013	90.534344	['S', 'EY1', 'N']
90.91651	91.298675	['AH0']
91.298675	92.063006	['S', 'AO1', 'L', 'T']
92.063006	93.591669	['S', 'OW1']
93.591669	95.120331	['S', 'L', 'AY1']
95.502497	95.884662	['Y', 'AO1', 'R']
95.884662	96.648994	['W', 'EH1', 'L']
97.031159	97.413325	['AH1', 'V']
97.413325	98.177656	['L', 'AY1', 'Z']
98.177656	99.706318	['R', 'AE1', 'N']
99.706318	101.234981	['D', 'R', 'AY1']
101.617146	101.999312	['AY1']
101.999312	102.763643	['K', 'AH1', 'T']
103.145809	103.527975	['DH', 'AH0']
103.527975	104.292306	['K', 'AO1', 'R', 'D']
104.292306	105.820968	['F', 'R', 'IY1']
105.820968	107.349631	['F', 'AO1', 'L']
107.731796	108.113962	['S', 'OW1']
108.113962	108.878293	['HH', 'AY1']
109.260459	109.642624	['W', 'IY1']
109.642624	110.406955	['S', 'IY1', 'M']
110.406955	111.935618	['S', 'OW1']
111.935618	113.46428	['S', 'M', 'AO1', 'L']
113.46428	113.655363	['F', 'ER0']
113.655363	113.846446	['G', 'IH1', 'V']
114.037529	114.228611	['M', 'IY1']
114.228611	114.610777	['F', 'AA1']
114.610777	114.992943	['DH', 'ER0']
114.992943	115.184025	['W', 'AY1']
115.184025	115.375108	['SH', 'UH1', 'D']
115.566191	115.757274	['Y', 'AA1']
115.757274	116.139439	['B', 'AA1']
116.139439	116.521605	['DH', 'ER0']
116.521605	117.094854	['T', 'R', 'AY1']
117.094854	117.477019	['AA1']
117.477019	117.668102	['N', 'AH0']
117.668102	118.050268	['S', 'T', 'IY0']
118.050268	118.623516	['T', 'R', 'AY1']
118.623516	119.005682	['AA1']
119.005682	119.196764	['N', 'AH0']
119.196764	119.57893	['S', 'T', 'IY0']
119.57893	119.770013	['HH', 'AA1', 'P']
119.770013	119.961096	['IH0', 'N']
120.152178	120.343261	['Y', 'AO1', 'R']
120.343261	120.725427	['D', 'AH1', 'M', 'P']
120.725427	121.107592	['T', 'R', 'AH1', 'K']
121.107592	121.298675	['R', 'IH0']
121.298675	121.489758	['V', 'ER1', 'S']
121.680841	121.871924	['F', 'AO1', 'R']
121.871924	122.254089	['G', 'UH1', 'D']
122.254089	122.636255	['L', 'AH1', 'K']
122.636255	123.209503	['R', 'AY1', 'D']
123.209503	123.591669	['OW1']
123.591669	123.782752	['V', 'ER0']
123.782752	124.164917	['M', 'IY1']
124.164917	124.738166	['R', 'AY1', 'D']
124.738166	125.120331	['OW1']
125.120331	125.311414	['V', 'ER0']
125.311414	125.69358	['M', 'IY1']
125.69358	125.884662	['T', 'EY1', 'K']
125.884662	126.075745	['AA1', 'N']
126.266828	126.457911	['DH', 'AH0']
126.457911	126.840076	['HH', 'OW1', 'L']
126.840076	127.222242	['W', 'ER1', 'L', 'D']
127.222242	127.413325	['F', 'AY1', 'T']
127.413325	127.604408	['W', 'IH1', 'DH']
127.79549	127.986573	['DH', 'AH0']
127.986573	128.368739	['Y', 'AH1', 'NG']
128.368739	128.750904	['G', 'ER1', 'L', 'Z']
128.750904	129.324153	['D', 'AY1']
129.324153	129.706318	['T', 'R', 'AE1']
129.706318	129.897401	['JH', 'AH0']
129.897401	130.279567	['D', 'IY0']
130.279567	130.852815	['D', 'AY1']
130.852815	131.234981	['T', 'R', 'AE1']
131.234981	131.426064	['JH', 'AH0']
131.426064	131.808229	['D', 'IY0']
131.808229	131.999312	['K', 'AO1', 'L']
131.999312	132.190395	['M', 'IY1']
132.381478	132.572561	['AH0']
132.572561	132.954726	['CH', 'IY1', 'P']
132.954726	133.336892	['S', 'K', 'EY2', 'T']
133.336892	133.527975	['K', 'AH1', 'M']
133.527975	133.719057	['AA1', 'N']
133.91014	134.101223	['F', 'AO1', 'R']
134.101223	134.483389	['P', 'IY1', 'T', 'S']
134.483389	134.865554	['S', 'EY1', 'K']
134.865554	135.438803	['K', 'R', 'AY1']
135.438803	135.820968	['AE1']
135.820968	136.012051	['G', 'AH0']
136.012051	136.394217	['N', 'IY0']
136.394217	136.967465	['K', 'R', 'AY1']
136.967465	137.349631	['AE1']
137.349631	137.540713	['G', 'AH0']
137.540713	137.922879	['N', 'IY0']
156.648994	157.031159	['AY1', 'M']
157.031159	157.79549	['IH0', 'N']
157.031159	157.79549	['S', 'EY1', 'N']
158.177656	158.559822	['IH1', 'T']
158.177656	158.559822	['S', 'W', 'IY0']
158.177656	158.559822	['R', 'UW1']
158.559822	159.324153	['F', 'AO1', 'L', 'T']
159.324153	162.381478	['K', 'R', 'AY1']
162.763643	163.145809	['AY1', 'M']
163.145809	163.91014	['IH0', 'N']
163.145809	163.91014	['S', 'EY1', 'N']
164.292306	164.674471	['IH1', 'T']
164.292306	164.674471	['S', 'W', 'IY0']
164.292306	164.674471	['R', 'UW1']
164.674471	165.438803	['F', 'AO1', 'L', 'T']
165.438803	171.553452	['K', 'R', 'AY1']
183.878293	184.069376	['F', 'ER0']
184.069376	184.451541	['G', 'IH1', 'V']
184.451541	184.642624	['M', 'IY1']
184.642624	185.02479	['F', 'AA1']
185.02479	185.406955	['DH', 'ER0']
185.406955	185.598038	['W', 'AY1']
185.598038	185.980204	['SH', 'UH1', 'D']
185.980204	186.171287	['Y', 'AA1']
186.171287	186.553452	['B', 'AA1']
186.553452	186.935618	['DH', 'ER0']
186.935618	189.706318	['N', 'AW1']
189.992943	190.184025	['F', 'ER0']
190.184025	190.566191	['G', 'IH1', 'V']
190.566191	190.757274	['M', 'IY1']
190.757274	191.139439	['F', 'AA1']
191.139439	191.521605	['DH', 'ER0']
191.521605	191.712688	['W', 'AY1']
191.712688	192.094854	['SH', 'UH1', 'D']
192.094854	192.285936	['Y', 'AA1']
192.285936	192.668102	['B', 'AA1']
192.668102	193.050268	['DH', 'ER0']
193.050268	195.534344	['N', 'AW1']
196.107592	196.298675	['F', 'ER0']
196.298675	196.489758	['G', 'IH1', 'V']
196.680841	196.871924	['M', 'IY1']
196.871924	197.254089	['F', 'AA1']
197.254089	197.636255	['DH', 'ER0']
197.636255	197.827338	['W', 'AY1']
197.827338	198.01842	['SH', 'UH1', 'D']
198.209503	198.400586	['Y', 'AA1']
198.400586	198.782752	['B', 'AA1']
198.782752	199.164917	['DH', 'ER0']
199.164917	199.738166	['T', 'R', 'AY1']
199.738166	200.120331	['AA1']
200.120331	200.311414	['N', 'AH0']
200.311414	200.69358	['S', 'T', 'IY0']
200.69358	201.266828	['T', 'R', 'AY1']
201.266828	201.648994	['AA1']
201.648994	201.840076	['N', 'AH0']
201.840076	202.222242	['S', 'T', 'IY0']
202.222242	202.413325	['HH', 'AA1', 'P']
202.413325	202.604408	['IH0', 'N']
202.79549	202.986573	['Y', 'AO1', 'R']
202.986573	203.368739	['D', 'AH1', 'M', 'P']
203.368739	203.750904	['T', 'R', 'AH1', 'K']
203.750904	203.941987	['R', 'IH0']
203.941987	204.13307	['V', 'ER1', 'S']
204.324153	204.515236	['F', 'AO1', 'R']
204.515236	204.897401	['G', 'UH1', 'D']
204.897401	205.279567	['L', 'AH1', 'K']
205.279567	205.852815	['R', 'AY1', 'D']
205.852815	206.234981	['OW1']
206.234981	206.426064	['V', 'ER0']
206.426064	206.808229	['M', 'IY1']
206.808229	207.381478	['R', 'AY1', 'D']
207.381478	207.763643	['OW1']
207.763643	207.954726	['V', 'ER0']
207.954726	208.336892	['M', 'IY1']
208.336892	208.527975	['T', 'EY1', 'K']
208.527975	208.719057	['AA1', 'N']
208.91014	209.101223	['DH', 'AH0']
209.101223	209.483389	['HH', 'OW1', 'L']
209.483389	209.865554	['W', 'ER1', 'L', 'D']
209.865554	210.056637	['F', 'AY1', 'T']
210.056637	210.24772	['W', 'IH1', 'DH']
210.438803	210.629885	['DH', 'AH0']
210.629885	211.012051	['Y', 'AH1', 'NG']
211.012051	211.394217	['G', 'ER1', 'L', 'Z']
211.394217	211.967465	['D', 'AY1']
211.967465	212.349631	['T', 'R', 'AE1']
212.349631	212.540713	['JH', 'AH0']
212.540713	212.922879	['D', 'IY0']
212.922879	213.496127	['D', 'AY1']
213.496127	213.878293	['T', 'R', 'AE1']
213.878293	214.069376	['JH', 'AH0']
214.069376	214.451541	['D', 'IY0']
214.451541	214.642624	['K', 'AO1', 'L']
214.642624	214.833707	['M', 'IY1']
215.02479	215.215873	['AH0']
215.215873	215.598038	['CH', 'IY1', 'P']
215.598038	215.980204	['S', 'K', 'EY2', 'T']
215.980204	216.171287	['K', 'AH1', 'M']
216.171287	216.362369	['AA1', 'N']
216.553452	216.744535	['F', 'AO1', 'R']
216.744535	217.126701	['P', 'IY1', 'T', 'S']
217.126701	217.508866	['S', 'EY1', 'K']
217.508866	218.082115	['K', 'R', 'AY1']
218.082115	218.46428	['AE1']
218.46428	218.655363	['G', 'AH0']
218.655363	219.037529	['N', 'IY0']
219.037529	219.610777	['K', 'R', 'AY1']
219.610777	219.992943	['AE1']
219.992943	220.184025	['G', 'AH0']
220.184025	220.566191	['N', 'IY0']
223.623516	224.196764	['K', 'R', 'AY1']
224.196764	224.57893	['AE1']
224.57893	224.770013	['G', 'AH0']
224.770013	225.152178	['N', 'IY0']
225.152178	225.725427	['K', 'R', 'AY1']
225.725427	226.107592	['AE1']
226.107592	226.298675	['G', 'AH0']
226.298675	226.680841	['N', 'IY0']
229.738166	230.311414	['T', 'R', 'AY1']
230.311414	230.69358	['AA1']
230.69358	230.884662	['N', 'AH0']
230.884662	231.266828	['S', 'T', 'IY0']
231.266828	231.840076	['T', 'R', 'AY1']
231.840076	232.222242	['AA1']
232.222242	232.413325	['N', 'AH0']
232.413325	232.79549	['S', 'T', 'IY0']
235.852815	236.426064	['K', 'R', 'AY1']
236.426064	236.808229	['AE1']
236.808229	236.999312	['G', 'AH0']
236.999312	237.381478	['N', 'IY0']
237.381478	237.954726	['K', 'R', 'AY1']
237.954726	238.336892	['AE1']
238.336892	238.527975	['G', 'AH0']
238.527975	238.91014	['N', 'IY0']
