start_time	end_time	syllable
20.947172	21.198071	['W', 'AH1', 'N', 'S']
21.260796	21.44897	['AH0']
21.44897	21.699869	['P', 'AA1', 'N']
21.762594	21.950768	['AH0']
22.013493	22.389842	['T', 'AY1', 'M']
22.452566	22.89164	['W', 'EH1', 'N']
22.954364	23.205264	['W', 'IY1']
23.267988	23.581612	['W', 'ER0']
23.707062	24.271585	['F', 'R', 'EH1', 'N', 'D', 'Z']
24.773383	24.961557	['AY1']
25.024282	25.212456	['G', 'EY1', 'V']
25.275181	25.463355	['Y', 'UW1']
25.52608	25.714254	['M', 'AY1']
25.839704	26.466951	['HH', 'AA1', 'R', 'T']
26.655126	26.8433	['DH', 'AH0']
26.968749	27.282373	['S', 'T', 'AO1']
27.282373	27.658722	['R', 'IY0']
27.784171	28.223245	['EH1', 'N', 'D', 'Z']
28.725043	28.975942	['N', 'OW1']
29.038667	29.226841	['HH', 'AE1']
29.226841	29.47774	['P', 'IY0']
29.540465	29.791364	['EH1']
29.791364	29.979538	['V', 'ER0']
30.042263	30.481336	['AE1', 'F']
30.481336	30.79496	['T', 'ER0']
30.983134	31.234033	['N', 'AW1']
31.296758	31.673107	['W', 'IY1', 'R']
31.735831	32.363079	['F', 'R', 'EH1', 'N', 'D', 'Z']
37.004712	37.255611	['W', 'IH1', 'SH']
37.318335	37.50651	['AH0']
37.50651	37.757409	['P', 'AA1', 'N']
37.820133	38.008308	['AH0']
38.071033	38.510106	['S', 'T', 'AA1', 'R']
38.572831	38.949179	['IH1', 'F']
39.074629	39.262803	['DH', 'AE1', 'T']
39.325528	39.701876	['M', 'AY1', 'T']
39.764601	40.203675	['HH', 'EH1', 'L', 'P']
40.830922	41.019096	['DH', 'AH0']
41.081821	41.45817	['S', 'T', 'AA1', 'R', 'Z']
41.583619	41.834518	['K', 'AH0']
41.834518	42.336316	['L', 'AY1', 'D']
42.461766	42.838115	['IH1', 'F']
42.963564	43.277188	['Y', 'UW1']
43.339913	43.841711	['D', 'IH0']
43.841711	44.406234	['S', 'AY1', 'D']
45.033481	45.28438	['W', 'IH1', 'SH']
45.347105	45.598004	['AH0']
45.598004	45.786178	['P', 'AA1', 'N']
45.848903	46.037078	['AH0']
46.099802	46.538876	['S', 'T', 'AA1', 'R']
46.664325	47.040674	['IH1', 'F']
47.103399	47.291573	['DH', 'AE1', 'T']
47.417022	47.730646	['M', 'AY1', 'T']
47.856096	48.357894	['HH', 'EH1', 'L', 'P']
51.055059	51.305958	['W', 'AH1', 'T', 'S']
51.368682	51.745031	['IH1', 'T']
51.933205	52.560453	['L', 'AY1', 'K']
52.999526	53.31315	['T', 'UW1']
53.375875	53.814948	['HH', 'AE1', 'V']
53.877673	54.442196	['L', 'AH1', 'V', 'D']
54.567645	54.75582	['AH0', 'N', 'D']
54.818544	55.069444	['T', 'UW1']
55.132168	55.508517	['L', 'UW1', 'Z']
55.633966	56.198489	['HH', 'ER0']
56.261214	56.825737	['T', 'AH1', 'CH']
59.083828	59.397452	['W', 'AH1', 'T', 'S']
59.460177	59.773801	['IH1', 'T']
59.836526	60.338324	['L', 'AY1', 'K']
61.091021	61.34192	['T', 'UW1']
61.404645	61.780993	['HH', 'AE1', 'V']
61.969168	62.345516	['L', 'AH1', 'V', 'D']
62.470966	62.784589	['AH0', 'N', 'D']
62.847314	63.098213	['T', 'UW1']
63.160659	63.788186	['L', 'UW1', 'Z']
63.85091	64.289984	['DH', 'AE1', 'T']
64.352709	64.854507	['M', 'AH1', 'CH']
67.614396	67.865295	['W', 'EH1', 'L']
67.92802	68.116194	['AY1']
68.178919	68.367093	['HH', 'OW1', 'P']
68.429818	68.617992	['AH0', 'N', 'D']
68.680717	68.868892	['AY1']
68.994341	69.37069	['P', 'R', 'EY1']
69.872488	70.060662	['DH', 'AE1', 'T']
70.123387	70.374286	['M', 'EY1']
70.374286	70.625185	['B', 'IY0']
70.68791	70.938809	['S', 'AH1', 'M']
70.938809	71.315157	['D', 'EY2']
71.87968	72.067854	['Y', 'UW1', 'L']
72.130579	72.381478	['W', 'AO1', 'K']
72.444203	72.632377	['IH0', 'N']
72.695102	72.820552	['DH', 'AH0']
72.883276	73.259625	['R', 'UW1', 'M']
73.447799	73.635974	['W', 'IH1', 'DH']
73.698698	73.886873	['M', 'AY1']
73.949597	74.388671	['HH', 'AA1', 'R', 'T']
76.144964	76.395863	['AE1', 'D']
76.458588	76.646762	['AH0', 'N', 'D']
76.709487	76.960386	['S', 'AH0', 'B']
76.960386	77.27401	['T', 'R', 'AE1', 'K', 'T']
77.462184	77.650358	['B', 'AH1', 'T']
77.713083	77.901258	['AE1', 'Z']
77.963982	78.089432	['AH0']
78.152157	78.403056	['M', 'AE1']
78.403056	78.59123	['T', 'ER0']
78.653955	78.842129	['AH1', 'V']
78.904854	79.281202	['F', 'AE1', 'K', 'T']
80.159349	80.472973	['N', 'AW1']
80.535698	80.661147	['DH', 'AE1', 'T']
80.723872	80.912046	['Y', 'UH1', 'R']
80.974771	81.413844	['G', 'AO1', 'N']
81.476569	81.852918	['AY1']
82.103817	82.354716	['S', 'T', 'IH1', 'L']
82.480165	82.731064	['W', 'AA1', 'N', 'T']
82.856514	83.107413	['Y', 'UW1']
83.170138	83.421037	['B', 'AE1', 'K']
83.609211	84.173734	['R', 'IH0']
84.173734	84.675532	['M', 'EH1', 'M']
84.675532	84.989156	['B', 'ER0']
84.989156	85.365504	['IH0', 'NG']
85.616403	86.180926	['S', 'ER0']
86.180926	86.682724	['EH1', 'N']
86.682724	86.933623	['D', 'ER0']
86.933623	87.309972	['IH0', 'NG']
87.686321	88.188119	['R', 'IH0']
88.188119	88.501743	['M', 'EH1', 'M']
88.501743	88.940816	['B', 'ER0']
88.940816	89.317165	['IH0', 'NG']
89.442614	89.818963	['DH', 'AE1', 'T']
89.944412	90.44621	['P', 'AA1', 'R', 'T']
91.136183	91.449806	['AO1', 'L']
91.512531	91.700706	['AH1', 'V']
91.76343	92.014329	['M', 'AY1']
92.077054	92.578852	['HH', 'AA1', 'R', 'T']
101.736668	101.987567	['S', 'P', 'IH1']
101.987567	102.301191	['L', 'IH0', 'NG']
102.363915	102.55209	['AH1', 'P']
102.614814	102.802989	['IH0', 'N']
102.865713	103.179337	['S', 'IH1', 'L', 'K']
103.304787	103.681135	['AH0', 'N', 'D']
103.74386	104.057484	['K', 'AA1']
104.057484	104.433833	['F', 'IY0']
104.559282	104.998355	['L', 'EY1', 'S']
105.562878	105.813777	['Y', 'UW1']
105.876502	106.127401	['HH', 'UH1', 'K']
106.190126	106.50375	['M', 'IY1']
106.629199	107.005548	['AH1', 'P']
107.068273	107.256447	['AH0']
107.319172	107.570071	['R', 'AA1', 'N']
107.570071	107.82097	['D', 'IH0']
107.82097	108.009144	['V', 'UW2']
108.071869	108.322768	['AE1', 'T']
108.385493	108.573667	['Y', 'AO1', 'R']
108.636392	109.200915	['P', 'L', 'EY1', 'S']
109.514538	109.828162	['Y', 'AO1', 'R']
109.890887	110.016337	['L', 'IH1', 'P']
110.016337	110.267236	['S', 'T', 'IH2', 'K']
110.32996	110.518135	['AH0', 'N', 'D']
110.580859	110.831758	['Y', 'AO1', 'R']
110.894483	111.208107	['L', 'IH1', 'P']
111.333557	111.77263	['G', 'L', 'AA2', 'S']
111.898079	112.588052	['S', 'IY1', 'L', 'Z']
112.650777	113.027125	['M', 'AY1']
113.08985	113.654373	['F', 'EY1', 'T']
114.28162	114.846143	['HH', 'UW1']
114.971593	115.72429	['HH', 'UW1']
117.856932	118.107831	['S', 'EH2', 'N']
118.107831	118.35873	['T', 'AH0']
118.35873	118.609629	['M', 'EH1', 'N']
118.609629	118.860528	['T', 'AH0', 'L']
118.923253	119.111427	['P', 'AW1']
119.111427	119.362326	['ER0', 'Z']
119.425051	119.67595	['M', 'AY1', 'T']
119.8014	120.052299	['HH', 'EH1', 'L', 'P']
120.177748	120.491372	['Y', 'UW1']
120.616822	121.055895	['N', 'AW1']
121.620418	121.808592	['B', 'AH1', 'T']
121.871317	122.059491	['S', 'K', 'IH1', 'P']
122.122216	122.31039	['DH', 'AH0']
122.373115	122.624014	['HH', 'AA1', 'R', 'T', 'S']
122.686739	122.812188	['AH0', 'N', 'D']
122.874913	123.125812	['F', 'L', 'AW1']
123.125812	123.313986	['ER0', 'Z']
123.439436	123.62761	['S', 'K', 'IH1', 'P']
123.690335	123.878509	['DH', 'AH0']
123.941234	124.192133	['AY1']
124.192133	124.505757	['V', 'ER0']
124.192133	124.505757	['IY0']
124.631206	124.882106	['T', 'AW1']
124.882106	125.195729	['ER0', 'Z']
125.822977	126.073876	['Y', 'UW1', 'L']
126.136601	126.324775	['B', 'IY1']
126.3875	126.638399	['D', 'IH2']
126.638399	126.889298	['S', 'AH0']
126.889298	127.328371	['P', 'OY1', 'N']
127.328371	127.641995	['T', 'IH0', 'D']
127.767445	127.892894	['AH0', 'N', 'D']
127.955619	128.269243	['AY1', 'L']
128.331968	128.708316	['L', 'UW1', 'Z']
128.833766	129.147389	['AH0']
129.272839	129.774637	['F', 'R', 'EH1', 'N', 'D']
132.409077	132.722701	['N', 'OW1']
132.785426	132.910875	['AY1']
132.9736	133.224499	['W', 'OW1', 'N', 'T']
133.287224	133.600848	['B', 'IY1']
133.663572	134.165371	['T', 'OW1', 'L', 'D']
134.41627	134.667169	['DH', 'EH1', 'R', 'Z']
134.729893	134.855343	['AH0']
134.918068	135.231692	['K', 'R', 'AA1', 'K']
135.294416	135.670765	['AH1', 'V']
135.73349	136.172563	['G', 'OW1', 'L', 'D']
136.486187	136.674361	['AE1', 'T']
136.737086	136.92526	['DH', 'AH0']
136.987985	137.301609	['EH1', 'N', 'D']
137.364334	137.677957	['AH1', 'V']
137.740682	137.928856	['DH', 'AH0']
137.991581	138.493379	['R', 'EY1', 'N']
138.493379	139.120627	['B', 'OW2']
140.437847	140.626021	['AO1', 'R']
140.688746	140.87692	['DH', 'AE1', 'T']
140.939645	141.190544	['P', 'L', 'EH1']
141.190544	141.441443	['ZH', 'ER0']
141.504168	141.692342	['AH0', 'N', 'D']
141.755067	142.19414	['P', 'EY1', 'N']
142.821388	143.260461	['S', 'AH1', 'N']
143.260461	143.63681	['SH', 'AY2', 'N']
143.699535	143.950434	['AH0', 'N', 'D']
144.013158	144.389507	['R', 'EY1', 'N']
144.452232	144.82858	['M', 'AY1', 'T']
144.891305	145.267654	['M', 'EY1', 'K']
145.330379	145.706727	['DH', 'IH1', 'S']
145.769452	146.1458	['L', 'AH1', 'V']
146.27125	146.835773	['G', 'R', 'OW1']
148.529341	148.717516	['B', 'AH1', 'T']
148.780241	148.90569	['AY1']
148.968415	149.156589	['HH', 'OW1', 'P']
149.219314	149.407488	['AH0', 'N', 'D']
149.470213	149.721112	['AY1']
149.783837	150.285635	['P', 'R', 'EY1']
150.724708	150.975607	['DH', 'AE1', 'T']
151.038332	151.226506	['M', 'EY1']
151.226506	151.414681	['B', 'IY0']
151.477405	151.728304	['S', 'AH1', 'M']
151.728304	152.167378	['D', 'EY2']
152.669176	152.920075	['Y', 'UW1', 'L']
152.9828	153.233699	['W', 'AO1', 'K']
153.296424	153.484598	['IH0', 'N']
153.547323	153.735497	['DH', 'AH0']
153.798222	154.237295	['R', 'UW1', 'M']
154.30002	154.488194	['W', 'IH1', 'DH']
154.550919	154.739093	['M', 'AY1']
154.801818	155.429065	['HH', 'AA1', 'R', 'T']
156.997185	157.248084	['AE1', 'D']
157.310808	157.498983	['AH0', 'N', 'D']
157.561707	157.749882	['S', 'AH0', 'B']
157.749882	158.12623	['T', 'R', 'AE1', 'K', 'T']
158.25168	158.439854	['B', 'AH1', 'T']
158.502579	158.753478	['AE1', 'Z']
158.816203	158.941652	['AH0']
