start_time	end_time	syllable
4.587	4.86139	['Y', 'AO1', 'R']
4.952854	5.13578	['L', 'AY1', 'T']
5.318707	5.410171	['IH1', 'Z']
5.501634	5.593098	['IH0', 'N']
5.684561	5.776024	['S', 'AY1', 'D']
5.867488	5.958951	['AH1', 'V']
6.050415	7.056512	['M', 'IY1']
9.343098	9.526024	['L', 'AY1', 'K']
9.708951	9.800415	['AH0']
9.891878	10.257732	['R', 'EY1']
10.440659	10.989439	['JH', 'IH0', 'NG']
11.172366	12.178463	['R', 'AO1', 'R']
15.196756	15.471146	['L', 'AY1', 'K']
15.56261	15.654073	['AE1', 'N']
15.745537	16.019927	['OW1']
16.294317	16.751634	['SH', 'AH0', 'N']
17.026024	18.032122	['B', 'AO1', 'R', 'N']
18.489439	18.672366	['Y', 'UH1', 'R']
18.855293	19.03822	['IH0', 'N']
19.221146	19.769927	['M', 'AY1']
19.952854	20.958951	['V', 'EY1', 'N', 'Z']
22.147976	22.422366	['Y', 'AO1', 'R']
22.513829	22.696756	['V', 'OY1', 'S']
22.879683	22.971146	['IH1', 'Z']
23.06261	23.154073	['S', 'IH0']
23.245537	23.337	['R', 'EH1']
23.428463	23.519927	['N', 'IH0']
23.61139	24.434561	['T', 'IY0']
26.904073	27.087	['W', 'EH1', 'N']
27.269927	27.36139	['DH', 'AH0']
27.452854	27.818707	['S', 'AH1', 'N']
28.001634	28.550415	['G', 'OW1', 'Z']
28.733341	29.739439	['D', 'AW1', 'N']
32.757732	33.032122	['AH0', 'N', 'D']
33.123585	33.215049	['DH', 'AH0']
33.306512	33.672366	['S', 'T', 'R', 'EH1', 'NG', 'K', 'TH']
33.855293	34.404073	['AY1']
34.587	35.593098	['F', 'AW1', 'N', 'D']
36.050415	36.233341	['IH1', 'Z']
36.416268	36.599195	['IH0', 'N']
36.782122	37.330902	['M', 'AY1']
37.513829	38.337	['V', 'EY1', 'N', 'Z']
39.708951	39.800415	['AW1']
39.891878	39.983341	['ER0']
40.074805	40.349195	['S', 'T', 'AO1']
40.440659	40.623585	['R', 'IY0']
40.806512	41.355293	['B', 'AY1', 'N', 'D', 'Z']
41.53822	42.178463	['AH1', 'S']
42.63578	42.818707	['L', 'AY1', 'K']
43.001634	43.276024	['R', 'AY1', 'T']
43.367488	43.550415	['AH0', 'N', 'D']
43.733341	44.556512	['R', 'AO1', 'NG']
45.56261	45.837	['Y', 'AO1', 'R']
45.928463	46.11139	['HH', 'AE1', 'N', 'D']
46.294317	46.477244	['IH0', 'N']
46.660171	47.300415	['M', 'AY1', 'N']
48.123585	48.397976	['M', 'AA1', 'R']
48.489439	48.672366	['CH', 'IH0', 'NG']
48.855293	49.129683	['T', 'UW1']
49.221146	49.404073	['B', 'IY1']
49.587	49.86139	['B', 'IY1', 'T']
49.952854	50.227244	['AH1', 'V']
50.318707	50.501634	['DH', 'AH0']
50.684561	52.422366	['S', 'T', 'AO1', 'R', 'M']
53.61139	53.702854	['AH0', 'N', 'D']
53.794317	53.88578	['W', 'IY1']
53.977244	54.160171	['W', 'AO1', 'K']
54.343098	54.526024	['T', 'AH0']
54.708951	54.983341	['G', 'EH1']
55.074805	55.257732	['DH', 'ER0']
55.440659	55.715049	['IH0', 'N']
55.806512	55.989439	['T', 'UW1']
56.172366	56.446756	['DH', 'AH0']
56.53822	58.367488	['L', 'AY1', 'T']
59.465049	59.556512	['AH0', 'N', 'D']
59.647976	59.739439	['M', 'AY1']
59.830902	60.013829	['L', 'AH1', 'V']
