start_time	end_time	syllable
27.374308	27.951231	['Y', 'UW1']
27.951231	28.528154	['F', 'IY1', 'L']
28.528154	29.297385	['B', 'AE1', 'D']
29.297385	29.585846	['L', 'EH1', 'T']
29.585846	29.778154	['M', 'IY1']
29.778154	29.970462	['T', 'EH1', 'L']
29.970462	30.162769	['Y', 'AA1']
30.547385	31.124308	['W', 'IY1']
31.124308	31.508923	['AO1', 'L']
31.508923	31.893538	['G', 'EH1', 'T']
31.893538	32.085846	['DH', 'AH0']
32.085846	32.566615	['B', 'L', 'UW1', 'Z']
33.624308	34.297385	['S', 'AH0', 'M']
34.297385	34.874308	['T', 'AY1', 'M', 'Z']
34.874308	35.451231	['L', 'AY1', 'F']
35.643538	35.835846	['IH1', 'Z']
35.835846	36.028154	['AH0']
36.028154	36.220462	['B', 'ER1']
36.220462	36.412769	['D', 'AH0', 'N']
36.797385	37.470462	['W', 'EY1']
37.470462	37.855077	['D', 'AW1', 'N']
37.855077	38.239692	['IH0', 'N']
38.239692	38.432	['Y', 'AO1', 'R']
38.432	39.008923	['SH', 'UW1', 'Z']
39.393538	39.585846	['W', 'EH1', 'N']
39.585846	39.970462	['IH1', 'T', 'S']
39.970462	40.547385	['B', 'AE1', 'D']
40.547385	41.124308	['W', 'ER1', 'S']
41.124308	41.893538	['W', 'ER1', 'S', 'T']
42.566615	42.758923	['AH0', 'N', 'D']
42.758923	43.143538	['Y', 'UW1']
43.143538	43.720462	['TH', 'IH1', 'NG', 'K']
43.720462	44.297385	['Y', 'UH1', 'R']
44.297385	45.066615	['K', 'ER1', 'S', 'T']
45.643538	45.835846	['W', 'EH1', 'L']
45.835846	46.220462	['IH1', 'F']
46.220462	46.893538	['DH', 'EH1', 'R', 'Z']
46.893538	47.470462	['W', 'AH1', 'N']
47.470462	48.239692	['TH', 'IH1', 'NG']
48.239692	48.432	['F', 'AO1', 'R']
48.432	48.624308	['DH', 'AH0']
48.624308	48.816615	['B', 'EH1']
