start_time	end_time	syllable
17.896	18.0835	['S', 'ER2']
18.0835	18.271	['K', 'AH0', 'M']
18.271	18.4585	['V', 'EH1', 'N']
18.4585	18.646	['T', 'IH0', 'NG']
18.646	18.8335	['S', 'ER1']
18.8335	19.021	['K', 'AH0']
19.021	19.2085	['S', 'AH0', 'Z']
19.2085	19.396	['L', 'AH0']
19.396	19.5835	['M', 'EH1', 'N']
19.5835	19.771	['T', 'IH0', 'NG']
19.771	19.9585	['IH0', 'N']
19.9585	20.3335	['P', 'R', 'AA1']
20.3335	20.61475	['S', 'EH2', 'S']
20.61475	20.80225	['T', 'UW1']
20.80225	20.896	['V', 'IH1']
20.896	20.98975	['Z', 'AH0']
20.98975	21.17725	['B', 'AH0', 'L']
21.271	21.55225	['P', 'AH0']
21.55225	21.92725	['L', 'IY1', 'S']
22.11475	22.48975	['P', 'R', 'EH1']
22.48975	22.67725	['Z', 'AH0', 'N', 'S']
22.67725	22.86475	['S', 'P', 'AA1', 'N']
22.86475	23.05225	['S', 'ER0', 'D']
23.05225	23.42725	['F', 'IH1', 'R']
23.521	23.7085	['B', 'AH0']
23.7085	23.896	['T', 'AO1', 'L']
23.896	24.17725	['Y', 'AH0', 'N', 'Z']
24.271	24.4585	['AH1', 'V']
24.4585	24.646	['R', 'AY1']
24.646	24.8335	['AH0', 'T']
24.8335	24.92725	['P', 'AH0']
24.92725	25.021	['L', 'IY1', 'S']
25.021	25.2085	['W', 'IH1', 'DH']
25.2085	25.396	['R', 'AH1']
25.396	25.5835	['B', 'ER0']
25.5835	25.771	['B', 'UH1']
25.771	25.9585	['L', 'AH0', 'T']
25.9585	26.146	['K', 'IH1']
26.146	26.3335	['S', 'AH0', 'Z']
26.521	26.7085	['B', 'AH0']
26.7085	27.17725	['T', 'AA1', 'N']
27.271	27.646	['K', 'ER1']
27.646	27.73975	['T', 'AH0']
27.73975	27.8335	['S', 'IY0']
28.021	28.2085	['S', 'ER1']
28.2085	28.5835	['V', 'AH0', 'S']
28.5835	28.771	['W', 'IH1', 'DH']
28.771	28.9585	['AH0']
28.9585	29.3335	['S', 'M', 'AY1', 'L']
29.61475	29.7085	['B', 'IH0']
29.7085	29.80225	['AA1', 'N', 'D']
29.80225	29.98975	['DH', 'AH0']
29.98975	30.17725	['S', 'T', 'EY1']
30.17725	30.36475	['P', 'AH0', 'L', 'Z']
30.36475	30.73975	['S', 'EH1', 'N']
30.73975	30.92725	['T', 'ER0']
31.021	31.2085	['Y', 'UW1']
31.2085	31.396	['K', 'AE1', 'N']
31.396	31.5835	['S', 'IY1']
31.67725	31.86475	['AH0']
31.86475	32.05225	['M', 'EH1']
32.05225	32.23975	['R', 'AH0']
32.23975	32.61475	['K', 'AH0']
32.61475	32.80225	['W', 'IH1', 'DH']
32.80225	32.98975	['IH1', 'T', 'S']
32.98975	33.17725	['T', 'AY1']
33.17725	33.36475	['ER0', 'D']
33.36475	33.55225	['P', 'UH1', 'R']
33.646	33.73975	['AH0']
33.73975	34.11475	['V', 'EH1', 'N']
34.11475	34.48975	['JH', 'IH0', 'NG']
34.5835	34.86475	['D', 'IH0', 'S']
34.86475	35.3335	['G', 'R', 'EY1', 'S']
35.521	35.7085	['P', 'IY1']
35.7085	35.896	['S', 'F', 'AH0', 'L']
35.896	36.0835	['L', 'AH1']
36.0835	36.271	['V', 'IH0', 'NG']
36.271	36.4585	['Y', 'UW1', 'TH']
36.55225	36.8335	['AH0']
36.8335	37.021	['G', 'EH1', 'N', 'S', 'T']
37.11475	37.396	['DH', 'AH0']
37.48975	37.67725	['B', 'R', 'UW0']
37.67725	37.86475	['T', 'AE1']
37.86475	38.23975	['L', 'AH0']
38.23975	38.98975	['T', 'IY0']
39.73975	39.8335	['AH1', 'V']
39.8335	40.021	['P', 'L', 'AE1']
40.021	40.2085	['S', 'T', 'IH0', 'K']
40.2085	40.48975	['EH0', 'G']
40.48975	40.86475	['Z', 'IH1']
40.86475	41.3335	['S', 'T', 'AH0', 'N', 'S']
41.3335	41.521	['P', 'UH1']
41.521	41.7085	['SH', 'IH0', 'NG']
41.7085	41.896	['L', 'IH1']
41.896	42.0835	['T', 'AH0', 'L']
42.0835	42.55225	['CH', 'IH1', 'L']
42.55225	42.92725	['D', 'R', 'AH0', 'N']
43.30225	43.48975	['W', 'IH1', 'DH']
43.48975	43.67725	['DH', 'EH1', 'R']
43.67725	43.86475	['F', 'UH1']
43.86475	44.05225	['L', 'IY0']
44.05225	44.23975	['AO2']
44.23975	44.42725	['T', 'AH0']
44.42725	44.80225	['M', 'AE1']
44.80225	44.98975	['T', 'IH0', 'K', 'S']
45.36475	45.55225	['DH', 'EY1']
45.55225	45.73975	['L', 'AY1', 'K']
45.73975	45.92725	['T', 'UW1']
45.92725	46.30225	['P', 'UH1', 'SH']
46.30225	46.48975	['DH', 'AH0']
46.48975	46.86475	['W', 'IY1', 'K']
46.9585	47.146	['ER0']
47.146	47.3335	['AW1', 'N', 'D']
47.521	47.7085	['P', 'UH1']
47.7085	47.896	['SH', 'IH0', 'NG']
47.896	48.0835	['L', 'IH1']
48.0835	48.271	['T', 'AH0', 'L']
48.271	48.646	['CH', 'IH1', 'L']
48.646	49.021	['D', 'R', 'AH0', 'N']
49.30225	49.48975	['W', 'IH1', 'DH']
49.48975	49.67725	['DH', 'EH1', 'R']
49.67725	49.86475	['F', 'UH1']
49.86475	50.05225	['L', 'IY0']
50.05225	50.23975	['AO2']
50.23975	50.42725	['T', 'AH0']
50.42725	50.80225	['M', 'AE1']
50.80225	50.98975	['T', 'IH0', 'K', 'S']
51.4585	51.646	['DH', 'EY1']
51.646	51.8335	['L', 'AY1', 'K']
51.8335	52.021	['T', 'UW1']
52.021	52.2085	['P', 'UH1', 'SH']
52.2085	52.48975	['DH', 'AH0']
52.5835	52.771	['W', 'IY1', 'K']
52.86475	53.05225	['ER0']
53.05225	54.36475	['AW1', 'N', 'D']
59.3335	59.42725	['AH0']
59.42725	59.61475	['R', 'AH1', 'SH']
59.61475	59.80225	['AH1', 'V']
59.896	60.8335	['W', 'ER1', 'D', 'Z']
60.92725	61.11475	['P', 'L', 'IY1']
61.11475	61.30225	['D', 'IH0', 'NG']
61.30225	61.48975	['T', 'UW1']
61.5835	61.771	['D', 'IH0']
61.771	62.3335	['S', 'P', 'ER1', 'S']
62.61475	62.80225	['AH0']
62.80225	62.98975	['P', 'AA1', 'N']
62.98975	63.17725	['Y', 'AO1', 'R']
63.17725	63.36475	['N', 'EY1']
63.36475	63.55225	['K', 'AH0', 'D']
63.73975	64.30225	['W', 'AO1', 'L', 'Z']
64.48975	64.5835	['AH0']
64.5835	65.3335	['L', 'AY1', 'V']
65.521	65.61475	['AH0']
65.61475	65.80225	['P', 'AH0']
65.80225	65.896	['L', 'IH1']
65.896	65.98975	['T', 'AH0']
65.98975	66.17725	['K', 'AH0', 'L']
66.17725	66.646	['K', 'AO1', 'L']
66.73975	66.92725	['DH', 'AH0']
66.92725	67.11475	['F', 'AO1', 'L']
67.11475	67.30225	['G', 'AY1']
67.396	67.5835	['AH0']
67.5835	68.42725	['K', 'AO1', 'R', 'D']
68.42725	68.61475	['W', 'IY1']
68.61475	68.80225	['K', 'AE1', 'N', 'T']
68.80225	68.98975	['AH0']
68.98975	69.17725	['F', 'AO1', 'R', 'D']
69.17725	69.271	['T', 'UW1']
69.271	69.36475	['B', 'IY1']
69.36475	69.55225	['N', 'UW1']
69.55225	69.73975	['T', 'R', 'AH0', 'L']
69.73975	69.8335	['AA1', 'N']
69.8335	69.92725	['AH0']
69.92725	70.11475	['M', 'UW1']
70.11475	70.30225	['V', 'IH0', 'NG']
70.396	70.9585	['T', 'R', 'EY1', 'N']
71.23975	71.3335	['B', 'IH0']
71.3335	71.42725	['AA1', 'N', 'D']
71.521	71.61475	['DH', 'AH0']
71.61475	71.80225	['S', 'T', 'EY1']
71.80225	71.98975	['P', 'AH0', 'L', 'Z']
71.98975	72.36475	['S', 'EH1', 'N']
72.36475	72.55225	['T', 'ER0']
72.646	73.021	['Y', 'UW1']
73.021	73.2085	['K', 'AE1', 'N']
73.2085	73.396	['S', 'IY1']
73.396	73.5835	['AH0']
73.5835	73.771	['M', 'EH1']
73.771	73.9585	['R', 'AH0']
73.9585	74.3335	['K', 'AH0']
74.3335	74.521	['W', 'IH1', 'DH']
74.521	74.7085	['IH1', 'T', 'S']
74.7085	74.896	['T', 'AY1']
74.896	75.0835	['ER0', 'D']
